variant,task_id,task_seed,direction,difficulty,true_pair_count,success,strict_success,severe_failure,steps,crossings,total_volume_ml,final_abs_error,controller_ms_per_step,benchmark_seed
full,10,5000101,base,far,1,1,1,0,6,3,16.96,0.010524750794960624,35.49836666570627,101
no_ph_rate_bonus,10,5000101,base,far,1,1,0,0,11,4,17.27,0.08926833365022446,51.88161817998414,101
no_uncertainty_factor,10,5000101,base,far,1,1,1,0,5,1,16.42,0.010648119363466435,42.312439999659546,101
no_buffering_factor,10,5000101,base,far,1,1,0,0,8,4,17.35,0.08928000176337747,42.903937504888745,101
no_required_volume_term,10,5000101,base,far,1,1,1,0,6,3,16.96,0.010524750794960624,38.25700000137052,101
linear_clip_instead_of_tanh,10,5000101,base,far,1,1,1,0,11,5,19.77,0.032666914363513655,68.2976272735025,101
full,11,5000101,acid,medium,2,1,1,0,15,1,19.54,0.04601552215934701,23.03965333364128,101
no_ph_rate_bonus,11,5000101,acid,medium,2,1,1,0,21,0,18.51,0.015017940443201372,16.29618095120393,101
no_uncertainty_factor,11,5000101,acid,medium,2,1,0,0,14,1,19.92,0.06896413998329054,21.13924285783599,101
no_buffering_factor,11,5000101,acid,medium,2,1,1,0,14,1,19.520000000000003,0.044814090285984154,20.30042857378638,101
no_required_volume_term,11,5000101,acid,medium,2,1,0,0,16,0,17.34,0.08233977485267152,28.867187500509317,101
linear_clip_instead_of_tanh,11,5000101,acid,medium,2,1,1,0,15,1,19.6,0.04962367626800068,22.115080000367016,101
full,12,5000101,acid,far,1,1,1,0,5,3,11.530000000000001,0.013094428531655211,79.97601999522885,101
no_ph_rate_bonus,12,5000101,acid,far,1,1,1,0,5,3,8.170000000000002,0.03442327507235099,83.98897999868495,101
no_uncertainty_factor,12,5000101,acid,far,1,1,1,0,5,3,12.36,0.005017949862443416,76.51816000143299,101
no_buffering_factor,12,5000101,acid,far,1,1,1,0,5,3,12.21,0.02987957338176006,71.27031999989413,101
no_required_volume_term,12,5000101,acid,far,1,1,0,0,5,3,10.670000000000002,0.08748400565926051,93.50915999966674,101
linear_clip_instead_of_tanh,12,5000101,acid,far,1,1,1,0,3,2,12.280000000000001,0.04126578781221646,91.15903333683188,101
full,13,5000101,base,near,1,1,1,0,1,0,1.03,0.03215336905559418,79.84440000291215,101
no_ph_rate_bonus,13,5000101,base,near,1,1,0,0,1,0,0.69,0.09863051594893335,62.568100009229966,101
no_uncertainty_factor,13,5000101,base,near,1,1,1,0,1,0,1.14,0.010541658899848372,54.50819999532541,101
no_buffering_factor,13,5000101,base,near,1,1,1,0,1,0,1.06,0.02626730480810835,102.21579999779351,101
no_required_volume_term,13,5000101,base,near,1,1,0,0,2,0,0.9199999999999999,0.05369547141728326,38.95149999880232,101
linear_clip_instead_of_tanh,13,5000101,base,near,1,1,1,0,1,0,1.03,0.03215336905559418,67.27870000031544,101
full,14,5000101,acid,medium,1,1,1,0,3,0,6.54,0.004475687775723269,49.348533330582235,101
no_ph_rate_bonus,14,5000101,acid,medium,1,1,1,0,4,0,6.46,0.035955103248174414,39.83825000250363,101
no_uncertainty_factor,14,5000101,acid,medium,1,1,1,0,2,0,6.4799999999999995,0.028226701962494882,35.15164999771514,101
no_buffering_factor,14,5000101,acid,medium,1,1,0,0,2,0,6.319999999999999,0.0876750679994136,54.59014999360079,101
no_required_volume_term,14,5000101,acid,medium,1,1,0,0,3,0,6.3,0.0947510456657219,42.36720000335481,101
linear_clip_instead_of_tanh,14,5000101,acid,medium,1,1,1,0,1,1,6.62,0.02862288990271944,63.00550000014482,101
full,15,5000101,acid,medium,2,1,0,0,2,0,4.96,0.06376924393580996,55.81275000440655,101
no_ph_rate_bonus,15,5000101,acid,medium,2,1,0,0,3,0,4.95,0.06621090197746327,52.2510666657278,101
no_uncertainty_factor,15,5000101,acid,medium,2,1,1,0,2,1,5.21,0.0003862374069285579,69.83304999448592,101
no_buffering_factor,15,5000101,acid,medium,2,1,1,0,2,0,5.06,0.03885071675567264,57.32069999794476,101
no_required_volume_term,15,5000101,acid,medium,2,1,0,0,4,0,4.87,0.08543444632331809,63.66554999658547,101
linear_clip_instead_of_tanh,15,5000101,acid,medium,2,1,1,0,2,0,5.04,0.043909511690305436,61.81925000055344,101
