benchmark_seed,variant,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,successful_steps_mean,crossings_mean,total_volume_mean_ml,final_abs_error_mean,controller_ms_per_step_mean
101,full,300,94.33333333333334,43.0,1.0,4.939929328621908,3.62,7.910566666666667,0.06601004646280936,57.5523803296775
101,no_ph_rate_bonus,300,94.0,35.66666666666667,1.6666666666666667,5.464539007092198,3.49,6.643833333333332,0.09516020651227551,55.73961780729407
101,no_uncertainty_factor,300,94.33333333333334,42.333333333333336,1.3333333333333335,4.901060070671378,3.9133333333333336,8.433533333333333,0.09361308165390679,56.43316279727636
101,no_buffering_factor,300,94.0,40.0,1.3333333333333335,4.790780141843972,3.65,8.0036,0.09598721486523346,57.05515370003627
101,no_required_volume_term,300,94.33333333333334,38.333333333333336,1.3333333333333335,5.204946996466431,3.236666666666667,7.176566666666666,0.07942952383424297,58.3187278692322
101,linear_clip_instead_of_tanh,300,95.0,41.333333333333336,1.0,5.03859649122807,3.6733333333333333,8.520433333333333,0.08387823810614854,57.504267806530734
202,full,300,96.66666666666667,46.33333333333333,0.0,4.7827586206896555,2.6733333333333333,7.473933333333333,0.05580729749685174,59.1303103028193
202,no_ph_rate_bonus,300,95.66666666666667,35.333333333333336,1.3333333333333335,5.348432055749129,2.26,6.356999999999999,0.07833693352883662,56.34943376596234
202,no_uncertainty_factor,300,97.0,45.0,1.0,4.446735395189004,2.7066666666666666,7.8211666666666675,0.0690978662036743,58.41105567438397
202,no_buffering_factor,300,96.66666666666667,46.33333333333333,0.6666666666666667,4.610344827586207,2.65,7.5100333333333325,0.06274242069969488,58.996410449531325
202,no_required_volume_term,300,96.0,36.333333333333336,1.0,4.913194444444445,2.3033333333333332,6.6362000000000005,0.07208066177697216,58.6925070786663
202,linear_clip_instead_of_tanh,300,96.33333333333334,45.666666666666664,0.6666666666666667,4.539792387543253,2.4633333333333334,7.848433333333334,0.066635668143737,58.49474131047791
303,full,300,94.66666666666667,42.0,1.3333333333333335,4.799295774647887,3.6466666666666665,7.760366666666667,0.06925057964249348,52.075121426704264
303,no_ph_rate_bonus,300,94.33333333333334,33.666666666666664,2.0,5.434628975265018,3.52,6.603999999999999,0.08764287916094536,50.230006594507635
303,no_uncertainty_factor,300,94.33333333333334,42.0,1.6666666666666667,4.69964664310954,3.723333333333333,8.224133333333333,0.08105737144643628,51.96566338424423
303,no_buffering_factor,300,95.0,42.333333333333336,1.3333333333333335,4.947368421052632,3.776666666666667,7.91723333333333,0.06976440143929599,51.53427575586568
303,no_required_volume_term,300,94.33333333333334,34.333333333333336,2.0,5.176678445229682,3.42,7.135433333333333,0.08897268618184598,51.70871465605259
303,linear_clip_instead_of_tanh,300,94.0,41.0,2.0,4.75177304964539,3.736666666666667,8.367766666666666,0.08735648512222043,51.9273211764052
404,full,300,96.66666666666667,45.666666666666664,0.6666666666666667,5.068965517241379,2.8733333333333335,7.696766666666666,0.05886670027828308,50.35785294795884
404,no_ph_rate_bonus,300,96.33333333333334,41.0,0.6666666666666667,5.42560553633218,2.6733333333333333,6.477666666666667,0.06169814906504084,48.49615281075378
404,no_uncertainty_factor,300,97.0,45.666666666666664,0.33333333333333337,5.034364261168385,2.9633333333333334,8.138266666666667,0.05850995337303183,50.100018693613684
404,no_buffering_factor,300,97.0,47.66666666666667,0.33333333333333337,5.0687285223367695,2.9366666666666665,7.820599999999998,0.05867239024182735,49.867736675185355
404,no_required_volume_term,300,96.66666666666667,39.666666666666664,0.33333333333333337,5.175862068965517,2.6066666666666665,6.924533333333332,0.059901420737196155,51.08892933793806
404,linear_clip_instead_of_tanh,300,97.0,46.0,0.0,5.1271477663230245,2.67,8.187766666666667,0.053524794570462435,50.041760407855755
555,full,300,95.66666666666667,42.66666666666667,0.6666666666666667,4.585365853658536,3.0433333333333334,7.609966666666666,0.06713247168055246,59.189676431798944
555,no_ph_rate_bonus,300,95.33333333333334,43.0,0.6666666666666667,5.213286713286713,2.6266666666666665,6.487533333333334,0.06321866321106247,56.54029670391084
555,no_uncertainty_factor,300,94.66666666666667,45.666666666666664,1.0,4.46830985915493,3.15,8.011833333333334,0.06950880514032212,58.40721590024231
555,no_buffering_factor,300,95.66666666666667,46.0,1.6666666666666667,4.550522648083624,3.1166666666666667,7.721066666666665,0.07215811876515098,59.61035599662377
555,no_required_volume_term,300,95.66666666666667,36.0,0.6666666666666667,4.986062717770035,2.72,6.879766666666666,0.07109251801638587,59.905102135855536
555,linear_clip_instead_of_tanh,300,96.33333333333334,49.333333333333336,1.0,4.695501730103806,3.006666666666667,8.152066666666666,0.06780254770323822,59.192917580817785
