stage,observations_used,map_k,probability_k1,probability_k2,probability_k3,smc_sampling_seconds_k1_to_k3,posterior_to_dose_median_ms,posterior_to_dose_p95_ms,lower_bound_total_update_to_dose_seconds,recommended_volume_ml
1,1,3,0.20022753403443128,0.3571418343967971,0.4426306315687718,29.146947100001853,2.3532,2.58921,29.149300300001855,0.01
2,2,3,0.005098917263718787,0.3490253149440924,0.6458757677921889,113.58317770000212,2.3485500000000004,3.1751700000000014,113.58552625000212,0.01
3,3,2,0.0004047124484379814,0.5572396093821911,0.4423556781693708,151.90273039999738,111.8534,134.521265,152.01458379999738,5.33
4,4,3,0.00021930613345234792,0.46173324440696967,0.5380474494595784,225.8564047999971,123.92005,136.806935,225.98032484999712,8.700000000000001
5,5,3,2.7344969206497937e-05,0.16058204807459742,0.8393906069561958,319.4115779999993,124.27065,140.59609,319.5358486499993,4.93
6,6,3,8.029042337666414e-06,0.01908204200606667,0.9809099289515957,351.3052585999976,127.80785,146.44619,351.4330664499976,2.81
7,7,3,3.377642796641641e-06,0.0016663333236552845,0.9983302890335479,366.1541133999999,122.95,141.41092500000002,366.2770633999999,1.4000000000000001
8,8,3,4.838403588211369e-06,0.001969161164784544,0.9980260004316275,366.60630500000116,125.7608,143.271855,366.7320658000012,0.88
