method,backend,tasks,pair_count_accuracy_percent,concentration_relative_error_median_percent,pka_matched_mae_median,pka_penalized_mae_median,local_rmse_0p10ml_median_ph,full_curve_rmse_median_ph,runtime_median_seconds
pf_pka_only_k3,particle_filter,15,20.0,56.2148406298997,0.8867198397795333,2.1178018684594164,0.09085490086255517,2.79972565867358,0.15656769999986864
pymc_pka_only_k3,pymc_smc,15,20.0,56.2148406298997,1.4322231834161414,2.1519058462571237,0.09085490086299294,2.659345529480283,153.99994369999877
pf_pka_conc_k3,particle_filter,15,20.0,24.04075446268209,0.2238765487305996,1.2577567448876283,0.039416010529782074,0.5987208611752871,0.1923270000006596
pymc_pka_conc_k3,pymc_smc,15,20.0,22.70736106190529,0.2198999312184986,1.3045241956093596,0.023688262638975936,0.4296978638806345,236.82601830000021
pf_pka_conc_variable_k,particle_filter,15,40.0,4.315987444645462,0.22897843307978483,1.105519487556432,0.02394965660150823,0.1677182381529373,0.25310669999998936
pymc_pka_conc_variable_k,pymc_smc,15,46.666666666666664,8.462884689955409,0.21605693139958682,1.0563433761989036,0.014426144869042784,0.26960556749176534,777.3122878999984
