controller,episodes,total_decisions,mean_decision_ms,median_decision_ms,p95_decision_ms,mean_episode_controller_ms,median_episode_controller_ms,decision_fraction_of_20s,episode_fraction_of_20s,times_20s_longer_than_decision
Adaptive PID,3000,89915,0.009151113829728077,0.0033,0.0078,0.27427413333333334,0.11545,1.65e-07,5.7725e-06,6060606.060606061
Expert rule,3000,77186,0.0064433731505713476,0.0033,0.0069,0.1657794,0.08715,1.65e-07,4.3575e-06,6060606.060606061
Reinforcement learning,3000,38654,7.927878912919749,1.1976499999999999,44.20267999999995,102.14807716666667,93.98434999999998,5.9882499999999995e-05,0.004699217499999999,16699.369598797646
Imitation learning,3000,45818,7.047621072504256,1.2344,30.544795000000015,107.63596743333333,89.47565,6.172e-05,0.0044737825,16202.203499675958
Bayesian (1000 particles),3000,28131,63.30651014539121,45.0784,167.70875,593.6251456333333,402.96515,0.00225392,0.0201482575,443.6714701497835
