method,benchmark_seed,task_id,repeats,median_wall_ms,median_process_cpu_ms
pf_100000,101,1,1,879.4254,828.125
pf_100000,101,159,1,871.1658,859.375
pf_100000,101,317,1,940.8678,906.25
pf_100000,101,475,1,897.0037,843.75
pf_100000,101,632,1,907.5988,875.0
pf_100000,101,790,1,899.1238,875.0
pf_100000,101,948,1,914.6047,906.25
pf_100000,101,1106,1,870.5698,859.375
pf_100000,101,1264,1,928.4996,906.25
pf_100000,101,1422,1,887.8203,843.75
pf_100000,101,1579,1,869.3602,875.0
pf_100000,101,1737,1,871.241,875.0
pf_100000,101,1895,1,895.8687,890.625
pf_100000,101,2053,1,880.0675,875.0
pf_100000,101,2211,1,892.1847,812.5
pf_100000,101,2369,1,869.5147,859.375
pf_100000,101,2526,1,920.6556,906.25
pf_100000,101,2684,1,886.9471,859.375
pf_100000,101,2842,1,920.0622,921.875
pf_100000,101,3000,1,935.5756,921.875
pf_100000,202,1,1,888.6333,890.625
pf_100000,202,159,1,897.5093,906.25
pf_100000,202,317,1,898.8665,890.625
pf_100000,202,475,1,862.7754,843.75
pf_100000,202,632,1,865.5078,859.375
pf_100000,202,790,1,937.6579,875.0
pf_100000,202,948,1,901.2613,890.625
pf_100000,202,1106,1,888.9525,890.625
pf_100000,202,1264,1,902.8464,906.25
pf_100000,202,1422,1,916.2303,890.625
pf_100000,202,1579,1,906.1529,906.25
pf_100000,202,1737,1,894.6313,890.625
pf_100000,202,1895,1,895.8976,828.125
pf_100000,202,2053,1,907.8407,890.625
pf_100000,202,2211,1,951.6636,890.625
pf_100000,202,2369,1,942.7027,953.125
pf_100000,202,2526,1,907.9528,843.75
pf_100000,202,2684,1,935.2053,890.625
pf_100000,202,2842,1,906.0926,890.625
pf_100000,202,3000,1,878.2668,875.0
pf_100000,303,1,1,869.1159,875.0
pf_100000,303,159,1,903.69,890.625
pf_100000,303,317,1,919.7121,906.25
pf_100000,303,475,1,896.3399,859.375
pf_100000,303,632,1,881.4831,859.375
pf_100000,303,790,1,906.8307,859.375
pf_100000,303,948,1,895.9398,890.625
pf_100000,303,1106,1,886.3003,875.0
pf_100000,303,1264,1,866.9711,843.75
pf_100000,303,1422,1,889.1849,890.625
pf_100000,303,1579,1,867.8104,843.75
pf_100000,303,1737,1,889.0531,875.0
pf_100000,303,1895,1,900.6123,890.625
pf_100000,303,2053,1,936.5603,937.5
pf_100000,303,2211,1,871.7653,875.0
pf_100000,303,2369,1,888.7133,890.625
pf_100000,303,2526,1,903.8606,906.25
pf_100000,303,2684,1,900.8501,890.625
pf_100000,303,2842,1,904.8923,875.0
pf_100000,303,3000,1,894.2928,875.0
pf_100000,404,1,1,923.2812,890.625
pf_100000,404,159,1,904.9086,906.25
pf_100000,404,317,1,918.6068,921.875
pf_100000,404,475,1,905.1416,890.625
pf_100000,404,632,1,902.5368,890.625
pf_100000,404,790,1,918.95,906.25
pf_100000,404,948,1,909.3587,906.25
pf_100000,404,1106,1,916.541,875.0
pf_100000,404,1264,1,933.13,890.625
pf_100000,404,1422,1,900.9937,890.625
pf_100000,404,1579,1,868.2041,843.75
pf_100000,404,1737,1,900.3914,890.625
pf_100000,404,1895,1,935.1621,937.5
pf_100000,404,2053,1,905.9436,890.625
pf_100000,404,2211,1,930.1616,937.5
pf_100000,404,2369,1,906.5106,875.0
pf_100000,404,2526,1,909.2665,906.25
pf_100000,404,2684,1,899.0501,859.375
pf_100000,404,2842,1,925.3335,921.875
pf_100000,404,3000,1,895.1396,890.625
pf_100000,555,1,1,898.0581,890.625
pf_100000,555,159,1,896.3928,875.0
pf_100000,555,317,1,919.4596,921.875
pf_100000,555,475,1,913.8331,890.625
pf_100000,555,632,1,874.3446,875.0
pf_100000,555,790,1,903.3747,859.375
pf_100000,555,948,1,894.1219,843.75
pf_100000,555,1106,1,923.5501,859.375
pf_100000,555,1264,1,900.8772,859.375
pf_100000,555,1422,1,946.0607,937.5
pf_100000,555,1579,1,911.9777,875.0
pf_100000,555,1737,1,905.7469,875.0
pf_100000,555,1895,1,865.55,859.375
pf_100000,555,2053,1,872.8448,859.375
pf_100000,555,2211,1,906.9072,859.375
pf_100000,555,2369,1,890.9806,859.375
pf_100000,555,2526,1,927.9744,921.875
pf_100000,555,2684,1,905.47,906.25
pf_100000,555,2842,1,867.5159,859.375
pf_100000,555,3000,1,895.1994,875.0
