suite,method,training_seed,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean
nominal_locked,teacher,0,1000,95.1,42.199999999999996,1.7999999999999998,1.0999999999999999,4.86540483701367,6.598,3.546,7.85816,0.07888514556326218
nominal_locked,imitation,0,1000,89.1,32.6,3.9,2.6,8.62962962962963,12.319,3.509,7.910310000000001,0.13821788935280868
nominal_locked,ppo,101,1000,89.3,37.4,4.3999999999999995,2.1999999999999997,7.2665173572228445,10.965,3.659,8.25407,0.14212518496970494
nominal_locked,ppo,202,1000,88.8,41.6,5.0,1.5,6.126126126126126,10.367,3.38,8.21627,0.17020644748285377
nominal_locked,ppo,303,1000,93.4,44.9,2.9000000000000004,1.2,5.676659528907923,8.033,3.418,8.58582,0.11631072691951323
nominal_locked,ppo,404,1000,87.8,38.4,4.7,2.9000000000000004,6.472665148063781,10.507,4.896,8.4721,0.15079042184512406
nominal_locked,ppo,555,1000,88.4,30.8,3.5999999999999996,3.1,8.440045248868778,12.213,3.673,7.86383,0.1319577333591921
close_pka,teacher,0,300,95.0,41.0,2.0,1.3333333333333335,5.628070175438596,7.303333333333334,3.48,8.881300000000001,0.07982127919893714
close_pka,imitation,0,300,85.0,32.33333333333333,3.6666666666666665,4.0,8.87843137254902,13.986666666666666,3.9266666666666667,8.987366666666667,0.15264690282188226
close_pka,ppo,101,300,87.66666666666667,37.333333333333336,4.666666666666667,4.333333333333334,7.159695817490494,10.713333333333333,4.016666666666667,10.125233333333332,0.1692241463381525
close_pka,ppo,202,300,88.66666666666667,35.66666666666667,3.6666666666666665,4.0,7.31203007518797,10.426666666666666,3.736666666666667,9.469433333333333,0.14420639843476304
close_pka,ppo,303,300,91.33333333333333,41.66666666666667,3.0,3.6666666666666665,6.386861313868613,8.526666666666667,3.2466666666666666,10.043633333333334,0.11668889415405304
close_pka,ppo,404,300,86.66666666666667,33.0,5.0,3.0,6.5115384615384615,11.07,5.086666666666667,9.929733333333331,0.1845338107006949
close_pka,ppo,555,300,86.66666666666667,29.666666666666668,4.333333333333334,5.0,9.123076923076923,12.666666666666666,3.6333333333333333,9.416899999999998,0.14753066342455612
wide_concentration,teacher,0,300,93.33333333333333,46.0,1.6666666666666667,2.0,5.5285714285714285,7.61,4.42,8.503133333333333,0.07441443005578309
wide_concentration,imitation,0,300,85.66666666666667,33.33333333333333,3.6666666666666665,2.0,8.88715953307393,13.84,4.943333333333333,8.7431,0.13609985676392033
wide_concentration,ppo,101,300,86.33333333333333,34.66666666666667,5.666666666666666,2.666666666666667,7.772200772200772,12.156666666666666,5.026666666666666,9.6492,0.17456900444569737
wide_concentration,ppo,202,300,86.66666666666667,36.0,5.333333333333334,1.6666666666666667,7.507692307692308,12.163333333333334,4.29,9.475766666666667,0.1830277035990178
wide_concentration,ppo,303,300,90.33333333333333,41.333333333333336,4.0,0.6666666666666667,6.468634686346864,10.173333333333334,4.363333333333333,9.664399999999999,0.14164674912278974
wide_concentration,ppo,404,300,84.33333333333334,36.0,7.000000000000001,2.666666666666667,6.8142292490118574,12.29,5.8933333333333335,9.578566666666665,0.2198495066207863
wide_concentration,ppo,555,300,85.66666666666667,33.33333333333333,4.666666666666667,3.3333333333333335,8.381322957198444,12.976666666666667,5.0,8.816199999999998,0.15765892723322972
