suite,method,runs,success_rate_percent_mean,success_rate_percent_sd,strict_success_rate_percent_mean,strict_success_rate_percent_sd,severe_failure_rate_percent_mean,severe_failure_rate_percent_sd,successful_steps_mean_mean,successful_steps_mean_sd,overshoots_mean_mean,overshoots_mean_sd,total_volume_mean_ml_mean,total_volume_mean_ml_sd,final_abs_error_mean_mean,final_abs_error_mean_sd
close_pka,imitation,1,85.0,,32.33333333333333,,3.6666666666666665,,8.87843137254902,,3.9266666666666667,,8.987366666666667,,0.15264690282188226,
close_pka,ppo,5,88.20000000000002,1.937925580499814,35.46666666666667,4.519095288021955,4.133333333333335,0.8027729719194865,7.298640518232491,1.0953223350438694,3.944,0.6958344311368586,9.796986666666665,0.3308924259567688,0.15243678261044394,0.025892834681571393
close_pka,teacher,1,95.0,,41.0,,2.0,,5.628070175438596,,3.48,,8.881300000000001,,0.07982127919893714,
nominal_locked,imitation,1,89.1,,32.6,,3.9,,8.62962962962963,,3.509,,7.910310000000001,,0.13821788935280868,
nominal_locked,ppo,5,89.54,2.2266566866043833,38.620000000000005,5.2680167046052535,4.12,0.85848704125339,6.79640268183789,1.087482192568308,3.8052000000000006,0.6243826551082277,8.278417999999999,0.2776450591492669,0.14227810291527762,0.02020699156001666
nominal_locked,teacher,1,95.1,,42.199999999999996,,1.7999999999999998,,4.86540483701367,,3.546,,7.85816,,0.07888514556326218,
wide_concentration,imitation,1,85.66666666666667,,33.33333333333333,,3.6666666666666665,,8.88715953307393,,4.943333333333333,,8.7431,,0.13609985676392033,
wide_concentration,ppo,5,86.66666666666666,2.236067977499785,36.266666666666666,3.0404678002643695,5.333333333333334,1.1303883305208782,7.3888159944900496,0.7620808855660975,4.914666666666667,0.6464888071558377,9.436826666666667,0.35485069583323864,0.17535037820430419,0.02953238201838686
wide_concentration,teacher,1,93.33333333333333,,46.0,,1.6666666666666667,,5.5285714285714285,,4.42,,8.503133333333333,,0.07441443005578309,
