environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean,actor_loss,critic_loss,entropy,post_final_batch
0,500,87.6,38.0,4.0,3.4000000000000004,7.723744292237443,11.904,3.208,7.611299999999999,0.14208785590424344,,,,
10001,500,89.8,33.800000000000004,3.4000000000000004,2.4,7.759465478841871,11.31,3.502,7.63544,0.13457994858730754,-0.055670973741345935,4.611909243795607,4.560865309503344,
20004,500,84.0,34.8,8.0,2.1999999999999997,7.130952380952381,10.864,2.948,10.61458,0.2892698325927794,-0.05759191709674067,5.092436452706655,4.804011543591817,
30001,500,82.19999999999999,34.8,7.6,2.8000000000000003,7.678832116788321,12.718,3.326,9.468119999999999,0.2474917917160574,-0.06424094733989073,3.933448853178157,4.656880391968621,
40000,500,80.80000000000001,34.0,7.3999999999999995,3.8,9.502475247524753,14.858,3.384,8.66234,0.2428609127254548,-0.04655604131726755,3.925398372941547,4.527777711550395,
50000,500,86.0,34.4,5.0,2.6,7.997674418604651,12.982,4.02,8.00644,0.15851251277276124,-0.04160718419007026,3.753501497209072,4.3953413516283035,
60002,500,86.0,37.2,5.6000000000000005,2.6,7.186046511627907,11.854,4.136,8.58954,0.15173230965883527,-0.007073733955621719,3.687990072700712,4.218893183602227,
70040,500,87.8,37.0,5.2,2.4,6.455580865603645,10.826,3.692,7.953159999999999,0.1662814825200763,-0.014894468140684895,3.6252823405795627,4.263439562585619,
80005,500,88.2,38.2,4.8,3.0,5.596371882086168,9.628,3.088,7.513739999999999,0.14181730974445816,-0.025754296033281006,3.8099143505096436,4.023205876350403,
90004,500,87.8,36.8,5.6000000000000005,2.1999999999999997,5.671981776765376,10.506,3.288,7.571719999999999,0.15601678944901806,-0.03937926606482102,3.805803292327457,4.0385207997428045,
100004,500,85.6,36.8,4.6,3.5999999999999996,7.065420560747664,12.006,4.316,7.993159999999999,0.13700877540925369,-0.03415589849464595,2.784889906644821,3.735748847325643,1
