method,regime,distribution,task_seed,task_id,direction,difficulty,pka_family,true_pair_count,true_success,strict_success,severe_failure,measured_success,false_stop,steps,crossings,total_volume_ml,final_true_ph,final_measured_ph,final_abs_error,decision_time_ms_total,update_time_ms_total,controller_time_ms_per_step,stop_reason,benchmark_seed
new_pf,episode_bias_0p10,nominal,3000101,1,acid,medium,single,1,1,1,0,1,0,1,1,5.6,2.741515561145693,2.7,0.01948443885430695,43.96429999906104,48.487799998838454,92.4520999978995,measured_success,101
new_ppo,episode_bias_0p10,nominal,3000101,1,acid,medium,single,1,0,0,0,1,1,3,2,7.66,2.8693194509326547,2.83,0.1083194509326546,0.2497000023140572,0.03189999551977962,0.09386666594461228,measured_success,101
new_pf,episode_bias_0p10,nominal,3000101,2,acid,medium,single,1,1,1,0,1,0,8,0,16.0,3.3977904333773834,3.44,0.03379043337738352,170.35650000616442,148.09760000935057,39.806762501939374,measured_success,101
new_ppo,episode_bias_0p10,nominal,3000101,2,acid,medium,single,1,1,1,0,1,0,7,0,16.220000000000002,3.364188717337636,3.4,0.00018871733763603515,1.2380000043776818,0.1536999989184551,0.19881428618516242,measured_success,101
new_pf,episode_bias_0p10,nominal,3000101,3,acid,far,single,1,0,0,0,1,1,6,5,13.930000000000001,2.9382437476660304,3.14,0.15875625233396962,345.6663000106346,170.12139999860665,85.96461666820687,measured_success,101
new_ppo,episode_bias_0p10,nominal,3000101,3,acid,far,single,1,0,0,0,1,1,5,3,13.139999999999999,2.9727273477490916,3.17,0.12427265225090833,0.4305000038584694,0.0557999883312732,0.09725999843794852,measured_success,101
new_pf,episode_bias_0p10,nominal,3000101,4,base,far,separated,2,1,1,0,1,0,15,8,18.979999999999993,8.073447701794947,8.04,0.047552298205053134,777.8589000008651,355.3126000188058,75.54476666797807,measured_success,101
new_ppo,episode_bias_0p10,nominal,3000101,4,base,far,separated,2,1,1,0,1,0,6,4,17.54,8.073801466347,8.04,0.04719853365300075,0.5761999927926809,0.062200000684242696,0.10639999891282059,measured_success,101
new_pf,episode_bias_0p10,nominal,3000101,5,base,near,separated,2,0,0,0,1,1,1,1,1.07,2.8867558857953783,2.72,0.15775588579537825,2.207300000009127,30.545399997208733,32.75269999721786,measured_success,101
new_ppo,episode_bias_0p10,nominal,3000101,5,base,near,separated,2,0,0,0,1,1,3,1,3.3299999999999996,2.940520023507225,2.77,0.21152002350722476,0.24290000146720558,0.03480000304989517,0.09256666817236692,measured_success,101
new_pf,episode_bias_0p10,nominal,3000101,6,base,medium,overlapping,3,1,0,0,1,0,6,0,11.42,4.406701678021337,4.45,0.05029832197866302,25.921699998434633,146.60949999961304,28.755199999674613,measured_success,101
new_ppo,episode_bias_0p10,nominal,3000101,6,base,medium,overlapping,3,1,1,0,1,0,3,0,11.48,4.43357284673742,4.47,0.02342715326258027,0.5309000043780543,0.06959999882383272,0.20016666773396233,measured_success,101
new_pf,episode_bias_0p10,nominal,3000101,7,base,far,separated,2,0,0,0,1,1,7,0,12.790000000000001,4.583697493176295,4.66,0.1473025068237046,29.8521999939112,158.46729999611853,26.90278571286139,measured_success,101
new_ppo,episode_bias_0p10,nominal,3000101,7,base,far,separated,2,0,0,0,1,1,7,0,12.659999999999998,4.56526660021218,4.64,0.1657333997878201,0.8612000019638799,0.12650000280700624,0.14110000068155518,measured_success,101
new_pf,episode_bias_0p10,nominal,3000101,8,acid,near,separated,2,0,0,0,1,1,2,2,2.4899999999999998,3.5475329190171854,3.41,0.20253291901718518,57.594000005337875,61.371399999188725,59.4827000022633,measured_success,101
