environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean,actor_loss,critic_loss,entropy,post_final_batch
0,500,86.2,31.2,3.2,2.8000000000000003,7.7981438515081205,12.668,3.754,7.99174,0.13402311425802382,,,,
10004,500,81.39999999999999,27.800000000000004,5.4,3.2,8.447174447174447,15.056,3.656,7.72376,0.16766356584772363,-0.07189639362817009,5.63732812139723,4.616604838106367,
20012,500,71.39999999999999,26.6,13.600000000000001,1.7999999999999998,7.915966386554622,15.51,3.126,12.375960000000001,0.46550156818801,-0.027933422269092664,4.8927604092492,4.6650504271189375,
30002,500,72.8,30.8,10.8,2.1999999999999997,8.024725274725276,16.186,3.022,10.83286,0.3328087496335371,-0.031244850407044094,4.028175801866585,4.464385800891453,
40003,500,70.19999999999999,28.799999999999997,10.4,1.7999999999999998,8.811965811965813,19.69,3.194,8.755240000000002,0.21572256973757012,-0.004044919041916728,2.9751501050260334,4.460911552111308,
50004,500,82.19999999999999,37.4,4.6,1.4000000000000001,7.240875912408759,14.256,3.146,8.13072,0.14516402688507538,-0.06396221576465501,3.5199894549118147,4.32971453666687,
60005,500,87.0,36.199999999999996,4.8,1.6,6.710344827586207,11.408,3.234,8.86384,0.15591417276239303,-0.09493238473724988,3.442500882264641,4.095956067244212,
70007,500,85.6,37.6,5.2,1.6,6.109813084112149,11.348,2.88,8.480879999999999,0.1471784799416634,-0.04156058877965228,3.7526241872045727,4.269869618945652,
80001,500,84.39999999999999,37.0,5.6000000000000005,1.4000000000000001,6.729857819905213,12.546,3.03,8.3933,0.15449830038769352,-0.04001907470066928,3.711058106687334,4.161931600835588,
90001,500,84.8,40.0,4.2,1.7999999999999998,6.742924528301887,12.458,4.142,8.470720000000002,0.15001189579743981,-0.059641809564911656,2.9240999867518744,4.079579962624444,
100010,500,87.0,38.2,3.2,1.7999999999999998,6.705747126436782,11.456,3.318,8.598840000000001,0.13977125856332162,-0.0296320547349751,2.418398688236872,3.878801852464676,1
