mixture,system,checkpoint,measured_ph,cumulative_base_ml,cumulative_acid_ml,net_naoh_equivalent_ml
1,pHBA + TPA,0,3.01,0.0,0.0,0.0
1,pHBA + TPA,1,10.52,5.0,0.0,5.0
1,pHBA + TPA,2,8.1,5.0,2.43939393939394,2.5038759689922476
1,pHBA + TPA,3,4.15,5.0,4.87878787878788,0.00775193798449525
1,pHBA + TPA,4,5.69,6.248062015503876,4.87878787878788,1.2558139534883717
1,pHBA + TPA,5,6.08,6.698062015503877,4.87878787878788,1.7058139534883718
