mixture,system,checkpoint,naoh_volume_ml,measured_titration_linear_interpolation_ph,pf_posterior_mean_ph,pf_credible_lower_2p5_ph,pf_credible_upper_97p5_ph
1,pHBA + TPA,0,0.0,2.99,2.672810875979761,1.2974505465525774,4.771129638013994
1,pHBA + TPA,0,0.02,3.0192,2.819649685006956,1.2989329687783417,5.877164329211414
1,pHBA + TPA,0,0.04,3.0484,2.8920659807591855,1.3004143956778185,6.175975509751808
1,pHBA + TPA,0,0.06,3.0776000000000003,2.9444055735588837,1.3018948314931444,6.351482963947735
1,pHBA + TPA,0,0.08,3.1068000000000002,2.986481651745143,1.3033742804510884,6.476088743578277
1,pHBA + TPA,0,0.1,3.136,3.0221455806877886,1.3048527467631774,6.572744239744271
1,pHBA + TPA,0,0.12,3.1652,3.053358986001126,1.3063302346258214,6.651706658074021
1,pHBA + TPA,0,0.14,3.1944000000000004,3.081274097054842,1.3078067482204356,6.718455566762099
1,pHBA + TPA,0,0.16,3.2236000000000002,3.1066324012424094,1.3092822917135618,6.776264353328678
1,pHBA + TPA,0,0.18,3.2528,3.129942516704029,1.3107568692569886,6.827245405249492
1,pHBA + TPA,0,0.2,3.282,3.151570219173859,1.312230484987872,6.872841470656706
1,pHBA + TPA,0,0.22,3.3112000000000004,3.171788332446084,1.3137031430288522,6.914081800697842
1,pHBA + TPA,0,0.24,3.3404000000000003,3.1908063437405216,1.3151265505497918,6.951726452186
1,pHBA + TPA,0,0.26,3.3696,3.2087889602681745,1.316535784501164,6.9863526673097205
1,pHBA + TPA,0,0.28,3.3988000000000005,3.22586825595159,1.3179437361969142,7.018409167107405
1,pHBA + TPA,0,0.3,3.4280000000000004,3.2421519145552957,1.3193504094857773,7.048251676389741
1,pHBA + TPA,0,0.32,3.4572000000000003,3.257728995838668,1.3207558082064028,7.076166964404363
1,pHBA + TPA,0,0.34,3.4864,3.2726740744902405,1.322159936187448,7.10238958682851
1,pHBA + TPA,0,0.36,3.5156,3.287050277870132,1.323562797247686,7.12711383647142
1,pHBA + TPA,0,0.38,3.5448000000000004,3.300911559146409,1.3249643951960937,7.15050245934942
1,pHBA + TPA,0,0.4,3.5740000000000003,3.3143044274804048,1.3263647338319542,7.172693132959969
1,pHBA + TPA,0,0.42,3.6032,3.3272692849588954,1.3277638169449504,7.193803362638278
1,pHBA + TPA,0,0.44,3.6324,3.3398414736536646,1.329161648315258,7.213934238019116
1,pHBA + TPA,0,0.46,3.6616,3.352052105633819,1.3305582317136397,7.235071087658639
1,pHBA + TPA,0,0.48,3.6908000000000003,3.363928728151838,1.3319535709015389,7.256253413689549
1,pHBA + TPA,0,0.5,3.72,3.375495862054339,1.3333476696311655,7.276698039434322
1,pHBA + TPA,0,0.52,3.7492,3.3867754415480507,1.334740531645592,7.296464379884867
1,pHBA + TPA,0,0.54,3.7784000000000004,3.397787176393961,1.336132160678837,7.315605149096093
1,pHBA + TPA,0,0.56,3.8076000000000003,3.4085488525070216,1.3375225604559575,7.334167336039023
1,pHBA + TPA,0,0.58,3.8368,3.419076583210141,1.338911734693132,7.352193009176858
1,pHBA + TPA,0,0.6,3.866,3.4293850206290704,1.340299687097751,7.369719984622449
1,pHBA + TPA,0,0.62,3.8952,3.439487534644967,1.3416864213684874,7.38678238472998
1,pHBA + TPA,0,0.64,3.9244000000000003,3.4493963652541697,1.3430719411954084,7.404365394586945
1,pHBA + TPA,0,0.66,3.9536000000000002,3.4591227529866915,1.3444562502600301,7.422619071945556
1,pHBA + TPA,0,0.68,3.9828,3.4686770511098404,1.3458393522354144,7.440529461320596
1,pHBA + TPA,0,0.7000000000000001,4.0120000000000005,3.4780688226242473,1.3472212507862449,7.458120977656366
1,pHBA + TPA,0,0.72,4.0412,3.48730692449544,1.3486019495689088,7.475416125414961
1,pHBA + TPA,0,0.74,4.0704,3.4963995811177218,1.3499814522315754,7.492435715025504
1,pHBA + TPA,0,0.76,4.099600000000001,3.5053544486530765,1.3513597624142744,7.50582218000817
1,pHBA + TPA,0,0.78,4.1288,3.5141786716033128,1.3527368837489733,7.517828009455535
1,pHBA + TPA,0,0.8,4.158,3.5228789327452033,1.3541128198596524,7.529549431363744
1,pHBA + TPA,0,0.8200000000000001,4.187200000000001,3.5314614973726672,1.355487574362383,7.541000556341277
1,pHBA + TPA,0,0.84,4.2164,3.539932252639327,1.3568611508653974,7.552194475090504
1,pHBA + TPA,0,0.86,4.2456000000000005,3.5482967426710363,1.358332268808288,7.564266562894645
1,pHBA + TPA,0,0.88,4.2748,3.556560200016275,1.3598072010434579,7.577333268102599
1,pHBA + TPA,0,0.9,4.304,3.5647275739185478,1.361281572300383,7.590197627820613
1,pHBA + TPA,0,0.92,4.3332,3.5728035558252524,1.3627553873674438,7.602869823042909
1,pHBA + TPA,0,0.9400000000000001,4.3624,3.580792602489628,1.3642286510257686,7.615359405203796
1,pHBA + TPA,0,0.96,4.3916,3.5886989569742895,1.3657013680493386,7.627675349984184
1,pHBA + TPA,0,0.98,4.4208,3.596526667824454,1.3671735432050895,7.639826105598166
1,pHBA + TPA,0,1.0,4.45,3.6042796066454583,1.3686451812530125,7.649380846955044
1,pHBA + TPA,0,1.02,4.485,3.6119614842908736,1.3701162869462542,7.658556671790967
1,pHBA + TPA,0,1.04,4.5200000000000005,3.61957586584405,1.371586865031218,7.668145752032856
1,pHBA + TPA,0,1.06,4.555000000000001,3.6271261845567007,1.373056920247664,7.684358817644188
1,pHBA + TPA,0,1.08,4.59,3.6346157548916738,1.3745264573288059,7.698365942606371
1,pHBA + TPA,0,1.1,4.625,3.6420477848044213,1.375995481001409,7.709678412013531
1,pHBA + TPA,0,1.12,4.66,3.6494253873869438,1.377463995985892,7.7208732287859565
1,pHBA + TPA,0,1.1400000000000001,4.695,3.6567515919904277,1.378932006996418,7.7319558815875205
1,pHBA + TPA,0,1.16,4.73,3.664029354936851,1.3803995187409943,7.742931603432867
1,pHBA + TPA,0,1.18,4.765,3.6712615699267004,1.3818665359215658,7.753805390129077
1,pHBA + TPA,0,1.2,4.8,3.6784510782484654,1.3833330632341139,7.7645820172051465
1,pHBA + TPA,0,1.22,4.835,3.68560067889684,1.3847991053687458,7.775266055481104
1,pHBA + TPA,0,1.24,4.87,3.6927131387101433,1.3862646670097925,7.7858618854113395
1,pHBA + TPA,0,1.26,4.905,3.699791202643553,1.3877297528358983,7.796373710321799
1,pHBA + TPA,0,1.28,4.94,3.7068376043044062,1.3891943675201173,7.806805568647581
1,pHBA + TPA,0,1.3,4.9750000000000005,3.7138550768890033,1.3906585157300024,7.817161345266063
1,pHBA + TPA,0,1.32,5.01,3.7208463646780943,1.3921222021276982,7.827444782010577
1,pHBA + TPA,0,1.34,5.045,3.7278142352716857,1.3935854313700315,7.835104839507066
1,pHBA + TPA,0,1.36,5.08,3.73476149277442,1.395048208108602,7.84226241099887
1,pHBA + TPA,0,1.3800000000000001,5.115,3.741690992182971,1.3965105369898718,7.849327258112961
1,pHBA + TPA,0,1.4000000000000001,5.15,3.7486056552783547,1.3979724226552532,7.8563020880665775
