family,policy,training_seed,domain,benchmark_seed,checkpoint_sha256,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_additions_mean,additions_per_task_mean,overshoots_per_task_mean,total_volume_mean_ml,final_abs_error_mean
F2,imitation,,fixed_two_independent,101,d5c99681b0e52f19900a93250db79f19822576e8e03ac360373f4519504744a1,3000,88.0,35.56666666666667,4.1000000000000005,2.9000000000000004,8.113636363636363,12.200666666666667,4.611,7.061459999999999,0.1292934729723696
F2,imitation,,fixed_two_independent,202,d5c99681b0e52f19900a93250db79f19822576e8e03ac360373f4519504744a1,3000,87.76666666666667,36.03333333333333,4.766666666666667,2.5,8.452335738701102,12.708666666666666,4.747,7.263556666666666,0.14588942281443323
F2,imitation,,fixed_two_independent,303,d5c99681b0e52f19900a93250db79f19822576e8e03ac360373f4519504744a1,3000,88.53333333333333,35.86666666666667,3.966666666666667,2.2666666666666666,8.196159638554217,12.232,4.458333333333333,7.202610000000001,0.1360622904994308
F2,imitation,,fixed_two_independent,404,d5c99681b0e52f19900a93250db79f19822576e8e03ac360373f4519504744a1,3000,88.0,36.3,3.6666666666666665,2.7333333333333334,8.037121212121212,12.172,4.529,7.2572133333333335,0.1268386828758826
F2,imitation,,fixed_two_independent,555,d5c99681b0e52f19900a93250db79f19822576e8e03ac360373f4519504744a1,3000,87.56666666666668,35.63333333333333,4.033333333333333,2.1999999999999997,8.476208602969166,12.954666666666666,4.593,7.196996666666666,0.13667355936270761
F2,ppo_seed_101,101,fixed_two_independent,101,68b82abfab355d332abbc0dff2ec3561dcc737e3938f9476f0f2f69fe30081ba,3000,86.9,41.16666666666667,4.733333333333333,1.9,6.203298810893748,11.028333333333334,3.965,7.74475,0.13499636620307148
F2,ppo_seed_101,101,fixed_two_independent,202,68b82abfab355d332abbc0dff2ec3561dcc737e3938f9476f0f2f69fe30081ba,3000,86.23333333333333,41.766666666666666,4.966666666666667,1.633333333333333,6.309625048318516,11.453333333333333,4.182666666666667,8.048876666666668,0.14118287855357878
F2,ppo_seed_101,101,fixed_two_independent,303,68b82abfab355d332abbc0dff2ec3561dcc737e3938f9476f0f2f69fe30081ba,3000,86.16666666666667,41.96666666666667,4.933333333333334,1.7666666666666668,6.188394584139265,11.360666666666667,3.9323333333333332,7.981906666666667,0.13692406541792915
F2,ppo_seed_101,101,fixed_two_independent,404,68b82abfab355d332abbc0dff2ec3561dcc737e3938f9476f0f2f69fe30081ba,3000,85.8,41.53333333333333,4.3999999999999995,2.166666666666667,6.5998445998446,11.710666666666667,4.007333333333333,8.144376666666666,0.1349001774612502
F2,ppo_seed_101,101,fixed_two_independent,555,68b82abfab355d332abbc0dff2ec3561dcc737e3938f9476f0f2f69fe30081ba,3000,85.76666666666667,40.56666666666667,4.766666666666667,1.8333333333333333,6.4881461329187715,11.815333333333333,4.058333333333334,7.847739999999999,0.13663106064070082
