domain,family,policy,training_seed,benchmark_sets,tasks_total,success_rate_percent_mean,success_rate_percent_sample_sd,strict_success_rate_percent_mean,strict_success_rate_percent_sample_sd,severe_failure_rate_percent_mean,severe_failure_rate_percent_sample_sd,false_stop_rate_percent_mean,false_stop_rate_percent_sample_sd,successful_additions_mean_mean,successful_additions_mean_sample_sd,additions_per_task_mean_mean,additions_per_task_mean_sample_sd,overshoots_per_task_mean_mean,overshoots_per_task_mean_sample_sd,total_volume_mean_ml_mean,total_volume_mean_ml_sample_sd,final_abs_error_mean_mean,final_abs_error_mean_sample_sd
fixed_two_independent,F2,imitation,,5,15000,87.97333333333333,0.36163210280307695,35.879999999999995,0.2996294007232544,4.1066666666666665,0.40442002368274943,2.52,0.2987008908962649,8.255092311196412,0.19924333691371302,12.4536,0.35654845393017737,4.587666666666666,0.1073881847421877,7.196367333333333,0.08132649900930904,0.1349514857049648,0.007444269121454449
fixed_two_independent,F2,ppo_seed_101,101,5,15000,86.17333333333333,0.45728668372380354,41.4,0.5527707983925652,4.76,0.2253392504154079,1.86,0.19776529298921783,6.357861835222979,0.1805999182520194,11.473666666666668,0.3100037634180158,4.029133333333333,0.09795877817848822,7.953530000000001,0.1589805685715504,0.13692690965530607,0.0025512471165874038
fixed_two_independent,F2,ppo_seed_202,202,5,15000,87.52000000000001,0.738466880322562,40.96666666666666,0.6506407098647715,6.3,0.5137011669140812,1.5266666666666666,0.2178174567027272,6.491061491763576,0.15804814127884345,10.9744,0.28943521631695823,5.276866666666666,0.1013080012196034,7.992403333333334,0.19392796176816715,0.16527550813946082,0.011809689218689336
fixed_two_independent,F2,ppo_seed_303,303,5,15000,90.65333333333332,0.5031014918593559,45.18666666666667,0.620304584682217,4.373333333333333,0.1320774183743928,1.5999999999999999,0.1333333333333333,5.716313688500468,0.15090397115742638,8.894133333333333,0.2613196850177532,3.832066666666667,0.1600011111072532,8.007066,0.15150840433967844,0.14379498520950712,0.0025240955378177314
fixed_two_independent,F2,ppo_seed_404,404,5,15000,87.61333333333333,0.5215361924162146,41.12,0.7610665031534518,4.3,0.12018504251546644,2.1466666666666665,0.30055504210266265,6.425400660796969,0.08145770885230155,10.669333333333332,0.20837919495210822,4.088133333333333,0.11289980808959188,8.1985,0.09105439897238463,0.13652177228380763,0.0033057842393620137
fixed_two_independent,F2,ppo_seed_555,555,5,15000,84.06666666666666,0.4242640687119273,37.013333333333335,0.7639808025511292,6.6933333333333325,0.47807484304819414,2.3333333333333335,0.34960294939005065,7.407137478864973,0.2502494203989426,11.6974,0.34474091721175215,3.1533333333333333,0.0848524863775037,9.537138,0.10997912336237117,0.22330319977022883,0.012164733823816939
fixed_two_independent,F3,imitation,,5,15000,88.78,0.7104771479630959,37.18,0.874198045194692,3.9333333333333327,0.3018461712712473,2.4533333333333336,0.19522067285795114,6.821063423551121,0.15833502980711564,10.762133333333335,0.3608566659122889,5.300466666666667,0.30018324033459604,7.362367333333333,0.09328430397922757,0.12886556737132354,0.00639879280425759
fixed_two_independent,F3,ppo_seed_101,101,5,15000,88.51333333333332,0.40865633483405306,46.586666666666666,0.5124017521003962,5.999999999999999,0.4314059701848257,1.7,0.23570226039551573,5.414086676101798,0.10656511214177895,9.208866666666667,0.19406178855657732,4.2512,0.1336023536053497,8.697672666666666,0.26069955907561904,0.17207069486938642,0.008967486058308147
fixed_two_independent,F3,ppo_seed_202,202,5,15000,88.25999999999999,0.5775426872150297,39.71333333333333,0.5757121194177215,4.906666666666666,0.3847076812334269,2.006666666666667,0.2532017201977726,7.06157470808084,0.12775679618202523,10.999266666666665,0.23190939322646373,5.179466666666667,0.06462567429263508,8.477741333333332,0.1829431157582417,0.15011853306331926,0.007098551256556538
fixed_two_independent,F3,ppo_seed_303,303,5,15000,89.10666666666665,0.15347819244294986,44.513333333333335,0.9203260291874842,4.986666666666667,0.3167543738187896,2.2133333333333334,0.15740958604156796,6.3520528379018115,0.11038516812718398,10.2948,0.14396288101837604,4.225133333333334,0.08750701559176721,7.572969333333333,0.13332753454890287,0.1478903199171089,0.00842417501433788
fixed_two_independent,F3,ppo_seed_404,404,5,15000,89.52000000000001,0.5429344138823564,42.54666666666667,0.5838569078883005,4.013333333333334,0.17094508539944114,1.9600000000000002,0.335327369065581,6.069029687626812,0.06807634080854223,9.7672,0.18205060346569107,5.3036666666666665,0.0995040479355266,8.353888666666666,0.17982925947810746,0.1183857288285517,0.0037696376826031807
fixed_two_independent,F3,ppo_seed_555,555,5,15000,90.70666666666666,0.4172662352876322,42.666666666666664,0.9952665751222395,3.753333333333333,0.3236939569682727,1.9866666666666668,0.16431676725154967,5.971692099256961,0.12159638722643311,9.109399999999999,0.21620892673522984,4.325666666666667,0.16148340127978736,8.063512,0.11525746865653064,0.12046373902127124,0.005710201830690233
fixed_two_independent,F4,imitation,,5,15000,88.74666666666667,0.15018507101424747,37.26,0.6925797186365383,3.7333333333333334,0.17795130420052174,2.6266666666666665,0.32266253440880166,7.251520634813123,0.10492764262294714,11.176066666666667,0.19236328478515138,5.2742666666666675,0.12138629796370504,7.6222639999999995,0.08084216193711512,0.12493220988561579,0.0033874204595775743
fixed_two_independent,F4,ppo_seed_101,101,5,15000,88.45333333333333,0.4317921310589638,34.04666666666667,0.9705668446840738,4.76,0.10381607668264956,2.4266666666666667,0.14414498873626436,8.102905454418242,0.15019493050234967,11.159200000000002,0.21778896513215118,4.140733333333333,0.22333226367903064,8.748484000000001,0.08865063822543902,0.1625800975685994,0.004454034009239459
fixed_two_independent,F4,ppo_seed_202,202,5,15000,90.74000000000001,0.3796196927335409,41.593333333333334,1.1698527922587314,2.8133333333333335,0.23404652908722606,2.1266666666666665,0.38035071534922454,6.281267551069269,0.06942626399361737,9.567,0.1240535278731633,3.7196666666666665,0.07809573896471199,6.644836666666666,0.07234699225875883,0.10866765172585395,0.0051423793077246625
fixed_two_independent,F4,ppo_seed_303,303,5,15000,92.39333333333335,0.20736441353327778,42.126666666666665,0.8597157152868093,2.6733333333333333,0.23617319445224463,2.033333333333333,0.26666666666666655,6.015159288603335,0.08492340370501171,8.6082,0.1372958282120931,4.049933333333334,0.1399312132601029,6.957830666666666,0.08803481629446358,0.1000428028766562,0.0019680247599275762
fixed_two_independent,F4,ppo_seed_404,404,5,15000,88.74666666666667,0.15018507101424747,37.26,0.6925797186365383,3.7333333333333334,0.17795130420052174,2.6266666666666665,0.32266253440880166,7.251520634813123,0.10492764262294714,11.176066666666667,0.19236328478515138,5.2742666666666675,0.12138629796370504,7.6222639999999995,0.08084216193711512,0.12493220988561579,0.0033874204595775743
fixed_two_independent,F4,ppo_seed_555,555,5,15000,88.91333333333333,0.6589554023014165,37.17333333333333,1.3198063831065872,4.206666666666666,0.4064753648405059,2.7199999999999998,0.2255856575425151,8.170881843740904,0.08514331068455365,11.7328,0.18935073276858488,4.171866666666666,0.04929142363986295,7.749836666666667,0.04487917191996974,0.14014399281001103,0.009498557172112588
fixed_two_independent,F5,imitation,,5,15000,86.79333333333332,0.463920491272182,35.42666666666666,1.2354486364609953,3.9199999999999995,0.31675437381878946,2.7666666666666666,0.22110831935702657,8.075855136391237,0.14443384455740577,12.711066666666667,0.2604646915717282,4.839266666666666,0.11933994395097632,7.524367333333333,0.10802452932346175,0.12818304947602022,0.006807537587563257
fixed_two_independent,F5,ppo_seed_101,101,5,15000,88.18666666666667,0.5074993158178183,38.980000000000004,0.8719709475282608,3.7600000000000002,0.21781745670272706,2.293333333333333,0.22533925041540764,7.2016369834128735,0.15367574321908958,11.293733333333334,0.35137384333182503,5.000533333333332,0.24424266166617556,8.428407333333334,0.14558042527910248,0.1236039418185861,0.004233904825021752
fixed_two_independent,F5,ppo_seed_202,202,5,15000,90.87333333333333,0.19776529298922188,44.64666666666666,0.7170928965079915,3.586666666666667,0.28828997747252877,2.1533333333333333,0.16931233465600384,5.7043796523858905,0.12135472203918805,8.772133333333333,0.20291221418797464,4.7300666666666675,0.10306831607132129,8.374242,0.19385489041204737,0.11698528268183601,0.00486002368596968
fixed_two_independent,F5,ppo_seed_303,303,5,15000,86.74666666666667,0.27345525735991816,38.27333333333333,1.0786823237429781,4.1466666666666665,0.22435091560618448,2.466666666666667,0.3366501646120693,7.208784916879901,0.1799245268946035,11.715599999999998,0.2635228642831588,4.080466666666667,0.05057810242036022,7.775282666666667,0.08243868884746326,0.13979140432198903,0.005992266523562723
fixed_two_independent,F5,ppo_seed_404,404,5,15000,87.9,0.6064468466220071,42.14,0.7376388758133022,2.986666666666667,0.130384048104053,2.04,0.32266253440880177,6.332676414773959,0.12029135241469946,10.845533333333334,0.2401689914298768,4.3162666666666665,0.07337097518774015,8.191370000000001,0.12991228587867343,0.1144164517512408,0.00307122888750931
fixed_two_independent,F5,ppo_seed_555,555,5,15000,90.15333333333334,0.5145656204778757,45.733333333333334,0.7172478263783336,3.7399999999999998,0.30947985035827075,1.6866666666666668,0.31937438845342614,5.895769161120422,0.09375929036646925,9.240666666666668,0.20717611938745384,4.0687999999999995,0.1496600963665479,8.855448666666666,0.10792734527861307,0.12761582627232637,0.007928115765341356
fixed_two_independent,F6,imitation,,5,15000,88.88,0.3114482300479524,37.486666666666665,0.41539806879131613,3.56,0.19350567031599986,2.88,0.18348478592697182,7.4230220960992295,0.16253095145746635,11.217333333333334,0.1124490007860356,4.898066666666667,0.10506780879243872,7.386790666666665,0.08381334365388626,0.11288823149896517,0.0042622144635403965
fixed_two_independent,F6,ppo_seed_101,101,5,15000,91.28,0.3701351104664373,41.94666666666667,0.9406262689175667,2.9733333333333336,0.13207741837439296,2.48,0.3185034449491003,6.438216985443053,0.09707024128892275,9.302933333333334,0.22580047731471975,3.7681333333333336,0.09403385915013099,7.44452,0.1440883383167728,0.11197582429931238,0.007220223633650053
fixed_two_independent,F6,ppo_seed_202,202,5,15000,88.88,0.3114482300479524,37.486666666666665,0.41539806879131613,3.56,0.19350567031599986,2.88,0.18348478592697182,7.4230220960992295,0.16253095145746635,11.217333333333334,0.1124490007860356,4.898066666666667,0.10506780879243872,7.386790666666665,0.08381334365388626,0.11288823149896517,0.0042622144635403965
fixed_two_independent,F6,ppo_seed_303,303,5,15000,91.75999999999999,0.3507135583349992,45.413333333333334,0.685403368665325,4.153333333333333,0.22186081723058326,1.4933333333333334,0.17543596489254365,5.1497426550910435,0.06581127007728145,8.0394,0.16172531582216138,4.871133333333334,0.14101548378340095,7.685624,0.13475103748106024,0.11724033898814365,0.0027344326122605623
fixed_two_independent,F6,ppo_seed_404,404,5,15000,88.88,0.3114482300479524,37.486666666666665,0.41539806879131613,3.56,0.19350567031599986,2.88,0.18348478592697182,7.4230220960992295,0.16253095145746635,11.217333333333334,0.1124490007860356,4.898066666666667,0.10506780879243872,7.386790666666665,0.08381334365388626,0.11288823149896517,0.0042622144635403965
fixed_two_independent,F6,ppo_seed_555,555,5,15000,90.1,0.4898979485566312,41.66666666666667,0.24381231397212963,3.4666666666666672,0.1615893285805444,2.2600000000000002,0.19350567031599988,6.127112110575509,0.06696126934651074,9.6394,0.23104994650027075,4.745933333333334,0.2542329858832465,7.419578666666666,0.1318972302295316,0.12955754691725324,0.004680526167239183
independent_j123,F2,imitation,,5,15000,83.33333333333334,0.6980130530457295,33.233333333333334,1.3116994913300666,7.073333333333333,0.7146871887600745,2.593333333333333,0.27828841952989064,8.77203450923761,0.21562270826166277,14.785933333333332,0.387092538462489,4.768333333333333,0.25001144418250565,7.286841333333333,0.20288330354883566,0.18358357857049573,0.01199436268505399
independent_j123,F2,ppo_seed_101,101,5,15000,79.46000000000001,0.7139094246938247,37.459999999999994,0.41257995858042285,8.953333333333335,0.7018230229591756,2.006666666666667,0.13824294235551818,6.996842964832753,0.18276666402397668,14.620666666666665,0.23389016890650002,4.0216,0.14522518912212007,8.302854,0.2939275526894339,0.21436147671606248,0.016678027079197483
independent_j123,F2,ppo_seed_202,202,5,15000,83.28666666666666,0.8331999893316264,37.96666666666667,0.99498743710662,9.32,0.7132087118555593,1.8133333333333332,0.27648588471103636,7.622680145618405,0.08241734132281107,13.4834,0.33115114038423293,5.3293333333333335,0.2532849734543638,8.363150666666666,0.24443236289411424,0.2341003624160863,0.01538570877723017
independent_j123,F2,ppo_seed_303,303,5,15000,84.76000000000002,0.7477373276165323,40.96666666666667,1.1962905629950906,7.753333333333335,0.6457553716385173,1.7933333333333334,0.17543596489254357,6.316631843654905,0.09543346542870791,11.752933333333333,0.3362225949179102,3.7686,0.22427592133104438,8.318917333333333,0.19324116799423824,0.218262855640166,0.013139025344789066
independent_j123,F2,ppo_seed_404,404,5,15000,81.94,0.5309320944234669,38.06666666666667,0.7245688373094723,7.88,0.5852824579257057,2.3600000000000003,0.24877477542727058,7.164553007159482,0.12814997865531447,13.296666666666667,0.23082400703181208,4.013599999999999,0.22640467702275457,8.697807333333333,0.3171270082352212,0.20792871082527126,0.011536031327183633
independent_j123,F2,ppo_seed_555,555,5,15000,78.18,1.190844704867561,34.32,0.9982206391597216,10.2,0.9709674442419677,2.5333333333333337,0.34960294939005054,7.933099988341224,0.1701425558925913,14.178933333333333,0.31107460698538403,3.170733333333333,0.16962186703894572,10.031362,0.5106820233036955,0.29411302763230285,0.02449619493999109
independent_j123,F3,imitation,,5,15000,85.72,0.7267125367785434,35.64666666666666,0.6681649829528962,6.04,0.4554606947305601,2.3733333333333335,0.14981470036162825,7.615233095706725,0.16977080692437793,12.821266666666668,0.4069600990542218,5.485200000000001,0.4389759927629553,7.446002666666667,0.16618076258166045,0.16925039419768112,0.010410864922266304
independent_j123,F3,ppo_seed_101,101,5,15000,82.69333333333334,0.5214296586203035,41.98,0.6627384266980624,9.833333333333332,0.5920773222777203,1.7333333333333332,0.14337208778404378,5.883364190837612,0.12689057590362207,12.103066666666667,0.2903344240316287,4.3907333333333325,0.2808281799724997,8.836296666666666,0.17407518038990397,0.24290681047303586,0.011856708546655345
independent_j123,F3,ppo_seed_202,202,5,15000,84.49333333333333,0.8674355563639518,37.059999999999995,0.5235562158079234,7.5600000000000005,0.6845111800077155,2.2133333333333334,0.19522067285795106,8.004784428450467,0.2339609823373529,13.257200000000001,0.22723685636113009,5.1166,0.28980744565237704,8.609276,0.18324717239595045,0.20129951907372026,0.014005809493996622
independent_j123,F3,ppo_seed_303,303,5,15000,83.96000000000001,0.3939825151224634,39.94,0.7790307368062513,8.446666666666667,0.6538773245460923,2.28,0.35870136139505604,7.095381098717515,0.12287937706256348,13.1214,0.29650533066221724,4.086,0.2580373573298597,7.711216666666665,0.25410544474686114,0.20696329221413193,0.010499494897397522
independent_j123,F3,ppo_seed_404,404,5,15000,86.31333333333333,0.8183995221026105,39.75333333333332,0.5862308987648699,6.460000000000001,0.5932022327072691,2.1,0.3666666666666668,7.118631275616241,0.19265851567428346,11.742466666666667,0.32644087434701646,5.354466666666666,0.2768865190731476,8.926991333333334,0.27149065055111304,0.16676656116141314,0.009222149278295975
independent_j123,F3,ppo_seed_555,555,5,15000,86.85999999999999,0.6478168465443485,40.13333333333333,0.48534065928537007,5.806666666666667,0.5171503112678596,2.1666666666666665,0.22730302828309765,6.715760402487829,0.151130921299556,11.184999999999999,0.28799643130505037,4.401933333333334,0.24695831857038356,8.568957333333334,0.22133124496253745,0.16143176911461193,0.011072018844543641
