method,particle_count,n_first_steps,step_scope,n_tasks_with_ge_n_steps,n_step_measurements,observe_mean_ms,observe_median_ms,observe_sd_ms,observe_iqr_ms,observe_p95_ms,observe_p99_ms,recommend_mean_ms,recommend_median_ms,recommend_sd_ms,recommend_iqr_ms,recommend_p95_ms,recommend_p99_ms,total_decision_mean_ms,total_decision_median_ms,total_decision_sd_ms,total_decision_iqr_ms,total_decision_p95_ms,total_decision_p99_ms
pf_1000,1000,all,all_recorded_steps,100,592,15.203071452702703,12.25005,7.23553895264253,8.947500000000002,30.873194999999978,37.102595,20.202210979729728,29.94445,15.475789521259518,29.299699999999998,39.057209999999955,42.877452000000005,35.40528243243243,40.1311,17.65996134610294,32.561875,62.38552999999999,69.74352300000001
pf_10000,10000,all,all_recorded_steps,100,589,79.75086112054329,64.8853,36.575958848137006,48.7782,161.26382,181.59792800000002,20.98669388794567,30.2354,16.185713939292963,30.4996,41.19974,47.661724,100.73755500848897,93.0455,41.737698692786836,53.13730000000001,187.8982,215.97162400000002
pf_100000,100000,all,all_recorded_steps,100,577,761.4436471403814,566.0012,347.968693180862,478.16970000000003,1559.29428,1717.244356,23.259707105719237,30.5732,16.951385650268637,32.260099999999994,46.772559999999984,54.37153200000001,784.7033542461005,594.127,350.04345710685146,483.7976,1591.3399599999998,1743.017612
