method,particle_count,tasks,successful_tasks,success_rate_percent,strict_success_rate_percent,measured_success_rate_percent,false_stop_rate_percent,severe_failure_rate_percent,steps_mean,total_volume_mean_ml,overshoots_mean,final_abs_error_ph_mean,final_abs_error_ph_median,final_abs_error_ph_sd,final_abs_error_ph_iqr,final_abs_error_ph_p95,final_abs_error_ph_p99,final_signed_error_ph_mean,final_signed_error_ph_median,final_signed_error_ph_sd,final_signed_error_ph_iqr,final_signed_error_ph_p95,final_signed_error_ph_p99
pf_1000,1000,100,97,97.0,39.0,98.0,1.0,1.0,5.92,8.4129,2.94,0.06000232336082756,0.056950615661344184,0.06017111906529259,0.04912246728435643,0.09884401394586215,0.14680195033146573,0.002630954032917887,-0.009769072628217579,0.08514820604911019,0.11373355403602403,0.09781868187858146,0.14680195033146573
pf_10000,10000,100,97,97.0,35.0,98.0,1.0,1.0,5.89,8.3954,2.9,0.0640039490755104,0.05692126309586776,0.06320419315633523,0.038557283879908644,0.09858537681040928,0.31278223738301103,-0.0037720969760885615,-0.023240527421204193,0.09010150905070095,0.11207068137788834,0.09066947001695091,0.10831856562045228
pf_100000,100000,100,97,97.0,34.0,98.0,1.0,0.0,5.77,8.311399999999999,2.78,0.05953077002847626,0.05814377542772364,0.036760623301885176,0.03715915816494042,0.09492142772397714,0.13504044159810943,-0.009514815695320969,-0.02290762926336032,0.06956728342392653,0.11414947193195057,0.08926451651409924,0.09285849002062431
