task_seed,task_id,acid_type,difficulty,direction,pka_family,true_pair_count,initial_ph,target_ph,overshoot_cap_events,overshoot_cap_applied_steps,overshoot_cap_final_ml,true_success,strict_success,severe_failure,measured_success,false_stop,steps,overshoots,final_abs_error,total_volume_ml,acid_added_ml,base_added_ml,final_true_ph,final_measured_ph,stop_reason,label,training_seed,benchmark_seed,checkpoint_sha256,checkpoint_reward_variant,step_cost
1000202,1337,diprotic,near,base,overlapping,2,3.389,3.849,0,0,,0,0,0,1,1,31,0,0.10373100312398975,2.7899999999999996,0.0,2.7899999999999996,3.7452689968760104,3.75,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1338,diprotic,medium,base,separated,2,4.501,5.458,1,0,1.265,1,1,0,1,0,2,1,0.04286812439702814,3.7699999999999996,1.24,2.53,5.500868124397028,5.5,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1339,monoprotic,far,acid,single,1,8.41,6.006,2,2,0.175,1,1,0,1,0,30,3,0.0007296737938098374,7.39,7.04,0.35,6.00527032620619,6.01,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1340,monoprotic,medium,base,single,1,6.921,8.432,1,0,0.925,1,1,0,1,0,2,1,0.014629215290964837,7.220000000000001,0.0,7.220000000000001,8.446629215290965,8.45,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1341,monoprotic,near,base,single,1,8.135,8.633,0,0,,0,0,0,0,0,50,0,0.1998032840983477,2.2800000000000016,0.0,2.2800000000000016,8.433196715901651,8.43,max_steps,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1342,triprotic,medium,base,separated,3,7.032,8.552,6,1,0.03,1,0,0,1,0,8,6,0.05100770861078985,10.94,4.02,6.92,8.50099229138921,8.5,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1343,monoprotic,near,base,single,1,3.803,4.127,0,0,,1,0,0,1,0,8,0,0.0963365867939503,0.6599999999999999,0.0,0.6599999999999999,4.0306634132060495,4.03,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1344,monoprotic,medium,base,single,1,6.859,8.08,2,0,0.385,1,1,0,1,0,3,2,0.0076805635069820966,6.83,0.77,6.0600000000000005,8.072319436493018,8.07,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1345,monoprotic,near,acid,single,1,5.695,5.336,0,0,,1,0,0,1,0,16,0,0.07931748862806742,0.4800000000000002,0.4800000000000002,0.0,5.415317488628068,5.42,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1346,diprotic,medium,acid,separated,2,5.102,4.203,2,0,0.35,1,1,0,1,0,3,2,0.013748457603846909,5.500000000000001,4.800000000000001,0.7,4.216748457603847,4.22,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1347,monoprotic,near,acid,single,1,6.024,5.553,0,0,,1,0,0,1,0,44,0,0.09829152811926978,1.320000000000001,1.320000000000001,0.0,5.65129152811927,5.65,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1348,triprotic,near,acid,separated,3,3.095,2.677,1,1,1.095,1,1,0,1,0,2,1,0.009574535840013443,3.2800000000000002,2.19,1.09,2.6674254641599866,2.67,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1349,monoprotic,near,base,single,1,7.083,7.393,0,0,,1,0,0,1,0,27,0,0.09118943377138411,0.2700000000000001,0.0,0.2700000000000001,7.301810566228616,7.3,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1350,diprotic,medium,base,separated,2,6.44,7.764,0,0,,1,0,0,1,0,6,0,0.051752972018049626,11.409999999999998,0.0,11.409999999999998,7.712247027981951,7.71,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1351,monoprotic,far,base,single,1,7.839,10.079,6,4,0.045,1,0,0,1,0,9,6,0.0659401072901602,15.389999999999999,7.359999999999999,8.03,10.01305989270984,10.01,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1352,monoprotic,medium,base,single,1,3.132,4.986,4,0,0.165,1,1,0,1,0,5,4,0.03323184504914689,8.64,2.56,6.08,4.952768154950853,4.95,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1353,monoprotic,medium,base,single,1,7.778,9.76,6,4,0.03,1,1,0,1,0,9,6,0.016626236793120697,10.94,3.4799999999999995,7.46,9.743373763206879,9.74,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1354,triprotic,medium,acid,separated,3,4.733,3.612,0,0,,1,1,0,1,0,2,0,0.03998957815298976,4.88,4.88,0.0,3.65198957815299,3.65,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
1000202,1355,triprotic,medium,acid,separated,3,6.798,5.623,0,0,,1,1,0,1,0,1,0,0.008689277328850942,3.24,3.24,0.0,5.631689277328851,5.63,measured_success,step_cost_0p01,303,202,bf3ea5023694769de1e9bd2b01fd61e5d443c8ee96667fb451581af256b51762,full,0.01
