BASE,,SSA1,,SSA2,,SSA3,,SSA4R,,SSA5R,,SSA6,,SSA7,,SSA8,,SSA9,,SSA10,,SSA11,,SSAP,,CUP,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs
769.9849243,0.0005477299565,769.9849243,0.06952884,769.9849243,0.101358078,769.9849243,0.108309522,770.0144653,0.103161432,770.0144653,0.106006585,769.9849243,0.088483252,769.9849243,0.081279136,769.9849243,0.061133921,769.9849243,0.046659701,769.9849243,0.028967706,769.9849243,0.015456979,769.9849243,0.002118125,769.9849243,0.165951014
767.9828491,-0.000532148,767.9828491,0.067875139,767.9828491,0.102220818,767.9828491,0.10740865,768.0126953,0.101981051,768.0126953,0.106774144,767.9828491,0.088693075,767.9828491,0.081418179,767.9828491,0.062809512,767.9828491,0.047034461,767.9828491,0.02805537,767.9828491,0.012997769,767.9828491,0.002273682,767.9828491,0.163764343
766.0144043,0.0003337206726,766.0144043,0.067725651,766.0144043,0.101079017,766.0144043,0.107553378,766.0093994,0.10214562,766.0093994,0.106644608,766.0144043,0.088300869,766.0144043,0.080542713,766.0144043,0.062219054,766.0144043,0.046943605,766.0144043,0.029450899,766.0144043,0.012057838,766.0144043,0.002110321,766.0144043,0.16289334
764.0093384,8.266176155E-005,764.0093384,0.068193093,764.0093384,0.100814216,764.0093384,0.106724493,764.0045166,0.101443633,764.0045166,0.107544452,764.0093384,0.089680634,764.0093384,0.08051797,764.0093384,0.063352346,764.0093384,0.047034897,764.0093384,0.029134072,764.0093384,0.014903741,764.0093384,0.001568984,764.0093384,0.160611287
762.0028076,4.840945985E-005,762.0028076,0.066401139,762.0028076,0.099696912,762.0028076,0.106378771,761.99823,0.10200505,761.99823,0.105670773,762.0028076,0.089814313,762.0028076,0.080109075,762.0028076,0.061695274,762.0028076,0.046756353,762.0028076,0.028624246,762.0028076,0.012833791,762.0028076,0.0003998633765,762.0028076,0.159036115
759.9946899,0.0006321810652,759.9946899,0.064700238,759.9946899,0.099933602,759.9946899,0.106250703,759.9903564,0.100657426,759.9903564,0.105844609,759.9946899,0.089812852,759.9946899,0.08129137,759.9946899,0.062578849,759.9946899,0.046485394,759.9946899,0.028958576,759.9946899,0.013760682,759.9946899,0.0001168390882,759.9946899,0.157336548
757.9851685,-0.00015917,757.9851685,0.064863622,757.9851685,0.099819608,757.9851685,0.107144035,758.0163574,0.10108918,758.0163574,0.105546683,757.9851685,0.086398497,757.9851685,0.079693697,757.9851685,0.060874153,757.9851685,0.046899162,757.9851685,0.029836435,757.9851685,0.013876366,757.9851685,0.002365574,757.9851685,0.15684776
756.0093994,-0.001283495,756.0093994,0.065191984,756.0093994,0.099045075,756.0093994,0.105232664,756.0056152,0.100969628,756.0056152,0.104997821,756.0093994,0.087465763,756.0093994,0.08008875,756.0093994,0.062696725,756.0093994,0.046516623,756.0093994,0.029262038,756.0093994,0.013355941,756.0093994,0.001879785,756.0093994,0.155367866
753.9968872,0.001058498,753.9968872,0.064212948,753.9968872,0.099562638,753.9968872,0.107180186,753.9934082,0.101973325,753.9934082,0.106794238,753.9968872,0.088554628,753.9968872,0.082256876,753.9968872,0.063762389,753.9968872,0.048723612,753.9968872,0.030828305,753.9968872,0.015585512,753.9968872,0.001934619,753.9968872,0.153967127
751.9829712,-9.50E-05,751.9829712,0.065252386,751.9829712,0.098293059,751.9829712,0.105774693,752.0150146,0.100715466,752.0150146,0.105426781,751.9829712,0.09019307,751.9829712,0.0806017,751.9829712,0.063184559,751.9829712,0.047864921,751.9829712,0.029034097,751.9829712,0.015290328,751.9829712,0.002218831,751.9829712,0.153227866
750.0029297,-0.001664174,750.0029297,0.064335108,750.0029297,0.097108565,750.0029297,0.103440352,749.999939,0.100275472,749.999939,0.105204694,750.0029297,0.088362098,750.0029297,0.081130736,750.0029297,0.061326016,750.0029297,0.046808477,750.0029297,0.028920475,750.0029297,0.013330688,750.0029297,0.001049935,750.0029297,0.151004225
747.9860229,-0.001337021,747.9860229,0.063742727,747.9860229,0.097054735,747.9860229,0.105171651,747.9832764,0.100024127,747.9832764,0.106461585,747.9860229,0.0891416,747.9860229,0.080811121,747.9860229,0.062177952,747.9860229,0.046265911,747.9860229,0.028825058,747.9860229,0.013098522,747.9860229,0.001660104,747.9860229,0.148445979
746.0031128,0.0002267167001,746.0031128,0.062515952,746.0031128,0.096720919,746.0031128,0.103380837,746.0006714,0.100242473,746.0006714,0.105538167,746.0031128,0.088471539,746.0031128,0.080163434,746.0031128,0.06251628,746.0031128,0.047038704,746.0031128,0.029312382,746.0031128,0.013553978,746.0031128,0.002726646,746.0031128,0.149212569
743.9833984,-0.00015948,743.9833984,0.061443698,743.9833984,0.094746098,743.9833984,0.101808749,744.0165405,0.099060297,744.0165405,0.10561458,743.9833984,0.087272823,743.9833984,0.077481642,743.9833984,0.062007364,743.9833984,0.04501228,743.9833984,0.027882047,743.9833984,0.014452461,743.9833984,0.001103132,743.9833984,0.14469184
741.9976196,-0.000340112,741.9976196,0.062243015,741.9976196,0.094443038,741.9976196,0.10177727,741.9956055,0.099552281,741.9956055,0.105414636,741.9976196,0.086873427,741.9976196,0.080405347,741.9976196,0.062472843,741.9976196,0.047170207,741.9976196,0.028544817,741.9976196,0.012930853,741.9976196,0.001749164,741.9976196,0.142979205
740.010437,0.0001460472995,740.010437,0.060781095,740.010437,0.094497964,740.010437,0.102257177,740.008728,0.098164603,740.008728,0.104889244,740.010437,0.087821402,740.010437,0.08010114,740.010437,0.062056933,740.010437,0.047267117,740.010437,0.029936818,740.010437,0.015637649,740.010437,0.001675591,740.010437,0.142915562
737.9863892,0.0004712766968,737.9863892,0.060964607,737.9863892,0.094011925,737.9863892,0.101731271,737.9848633,0.099049076,737.9848633,0.104456499,737.9863892,0.088479951,737.9863892,0.081031084,737.9863892,0.062384017,737.9863892,0.047339886,737.9863892,0.029387908,737.9863892,0.015299471,737.9863892,0.001100459,737.9863892,0.141412854
735.9963989,-0.000155081,735.9963989,0.060758587,735.9963989,0.093639269,735.9963989,0.102075242,735.9951782,0.09821026,735.9951782,0.103512585,735.9963989,0.087603569,735.9963989,0.07981687,735.9963989,0.061362207,735.9963989,0.046330333,735.9963989,0.028699625,735.9963989,0.014024295,735.9963989,0.002949578,735.9963989,0.138739705
734.0050659,-0.000286101,734.0050659,0.059646945,734.0050659,0.091867238,734.0050659,0.09970659,734.0040283,0.096584998,734.0040283,0.102774411,734.0050659,0.086109795,734.0050659,0.079228289,734.0050659,0.060883861,734.0050659,0.046895329,734.0050659,0.028684583,734.0050659,0.014258053,734.0050659,0.0005482482957,734.0050659,0.13554211
732.0122681,-0.001076866,732.0122681,0.058696322,732.0122681,0.090949439,732.0122681,0.098723508,732.0115356,0.096650869,732.0115356,0.100694373,732.0122681,0.084946595,732.0122681,0.077619791,732.0122681,0.060156398,732.0122681,0.045194644,732.0122681,0.028016631,732.0122681,0.013770889,732.0122681,0.0008099761326,732.0122681,0.133669481
729.9825439,-0.000510896,729.9825439,0.058400396,729.9825439,0.090479977,729.9825439,0.100323804,730.0176392,0.09562628,730.0176392,0.102497757,729.9825439,0.084403209,729.9825439,0.077639133,729.9825439,0.061246365,729.9825439,0.046192776,729.9825439,0.029256195,729.9825439,0.014105097,729.9825439,0.001426586,729.9825439,0.131621853
727.9869995,-1.96E-05,727.9869995,0.056662027,727.9869995,0.089004852,727.9869995,0.098478675,727.9867554,0.095232993,727.9867554,0.101870149,727.9869995,0.084049039,727.9869995,0.077815138,727.9869995,0.060901463,727.9869995,0.044242512,727.9869995,0.028227435,727.9869995,0.012346837,727.9869995,0.00153916,727.9869995,0.128996089
725.9901123,-0.000959877,725.9901123,0.055193111,725.9901123,0.087601766,725.9901123,0.096527547,725.9901123,0.09419363,725.9901123,0.10099043,725.9901123,0.083210394,725.9901123,0.076258197,725.9901123,0.060061149,725.9901123,0.044890929,725.9901123,0.027439559,725.9901123,0.012383884,725.9901123,0.001401759,725.9901123,0.127642274
723.9917603,-0.000206676,723.9917603,0.054971509,723.9917603,0.087889723,723.9917603,0.097241797,723.9921265,0.092866056,723.9921265,0.100116208,723.9917603,0.084435657,723.9917603,0.078016184,723.9917603,0.06104498,723.9917603,0.045873113,723.9917603,0.028588746,723.9917603,0.013782432,723.9917603,0.001291584,723.9917603,0.125787243
721.9921265,-0.001767826,721.9921265,0.053948741,721.9921265,0.084873259,721.9921265,0.095274866,721.9926758,0.093774207,721.9926758,0.10001155,721.9921265,0.081797712,721.9921265,0.076624684,721.9921265,0.059050892,721.9921265,0.043422177,721.9921265,0.026694534,721.9921265,0.012690824,721.9921265,0.0007734880783,721.9921265,0.12305443
719.9910889,0.0005344857345,719.9910889,0.053419407,719.9910889,0.086100735,719.9910889,0.096048824,719.9918823,0.091339916,719.9918823,0.099605903,719.9910889,0.083259523,719.9910889,0.077221006,719.9910889,0.059393972,719.9910889,0.045718301,719.9910889,0.02796155,719.9910889,0.013550853,719.9910889,0.002329606,719.9910889,0.1211951
717.9887085,0.0009953161934,717.9887085,0.052763078,717.9887085,0.084910274,717.9887085,0.094398998,717.9897461,0.090639703,717.9897461,0.100086838,717.9887085,0.08197666,717.9887085,0.075752221,717.9887085,0.058946218,717.9887085,0.04458094,717.9887085,0.028099388,717.9887085,0.011898045,717.9887085,0.001398175,717.9887085,0.118009314
715.9850464,-0.001648135,715.9850464,0.051489443,715.9850464,0.082703248,715.9850464,0.0927158,715.9862671,0.090214193,715.9862671,0.097081698,715.9850464,0.080728531,715.9850464,0.074538514,715.9850464,0.058204915,715.9850464,0.044459481,715.9850464,0.027350778,715.9850464,0.013487831,715.9850464,-0.000110157,715.9850464,0.114236385
714.0157471,0.0002935943194,714.0157471,0.053171963,714.0157471,0.081880756,714.0157471,0.092658371,714.017334,0.087356858,714.017334,0.097436652,714.0157471,0.081687942,714.0157471,0.076034985,714.0157471,0.057630051,714.0157471,0.04389498,714.0157471,0.027938167,714.0157471,0.01336248,714.0157471,0.002570432,714.0157471,0.113591522
712.0093384,-0.000822911,712.0093384,0.050426044,712.0093384,0.080766097,712.0093384,0.090271488,712.0111084,0.089504339,712.0111084,0.096883245,712.0093384,0.079887152,712.0093384,0.073852919,712.0093384,0.057530947,712.0093384,0.043258797,712.0093384,0.026898282,712.0093384,0.012523472,712.0093384,-0.000145093,712.0093384,0.110634819
710.0015869,-0.001627349,710.0015869,0.050371479,710.0015869,0.078880735,710.0015869,0.090848051,710.0036011,0.088153772,710.0036011,0.095725171,710.0015869,0.080535203,710.0015869,0.074770056,710.0015869,0.058090176,710.0015869,0.043786909,710.0015869,0.027364232,710.0015869,0.012257947,710.0015869,0.001590287,710.0015869,0.108934872
