variant,seed_runs,tasks_mean,tasks_sd,success_rate_percent_mean,success_rate_percent_sd,strict_success_rate_percent_mean,strict_success_rate_percent_sd,severe_failure_rate_percent_mean,severe_failure_rate_percent_sd,successful_steps_mean_mean,successful_steps_mean_sd,crossings_mean_mean,crossings_mean_sd,total_volume_mean_ml_mean,total_volume_mean_ml_sd,final_abs_error_mean_mean,final_abs_error_mean_sd,controller_ms_per_step_mean_mean,controller_ms_per_step_mean_sd
full,5,300.0,0.0,95.60000000000001,1.090361815586407,43.93333333333332,1.9350567031599963,0.7333333333333334,0.49441323247304425,4.835263018971874,0.18170776112211443,3.171333333333333,0.4417113184976007,7.69032,0.16335279067779138,0.06341341911219803,0.005770008813742848,55.66106828779177,4.154722754401027
no_ph_rate_bonus,5,300.0,0.0,95.13333333333335,0.9603240193925311,37.733333333333334,4.03043973338449,1.2666666666666668,0.5962847939999439,5.377298457545048,0.10119831645780913,2.914,0.5628518652560568,6.514006666666667,0.11360709680492845,0.07721136629563216,0.014736857499435672,53.47110153648573,3.811355819012755
no_uncertainty_factor,5,300.0,0.0,95.46666666666667,1.406334873981928,44.13333333333333,1.819645875194156,1.0666666666666667,0.4944132324730442,4.710023245858648,0.2595889491837603,3.291333333333333,0.5106129214537717,8.125786666666666,0.2293003132720635,0.07435741556347426,0.013397611968192735,55.06342328995212,3.824110339027166
no_buffering_factor,5,300.0,0.0,95.66666666666667,1.22474487139159,44.46666666666666,3.1850344494910012,1.0666666666666669,0.5477225575051662,4.793548912180641,0.21909896559404046,3.226,0.4770883915306821,7.794506666666666,0.1909065411253487,0.07186490920224053,0.014522793190436645,55.412786515448474,4.442683408212824
no_required_volume_term,5,300.0,0.0,95.4,1.0381607668264927,36.93333333333333,2.0869967789998025,1.0666666666666669,0.6411794687223782,5.0913489345752225,0.13243142068760227,2.8573333333333335,0.46073250856049275,6.9505,0.21781209664397508,0.07429536210932863,0.010771862821925205,55.94279621554894,4.195035744122194
linear_clip_instead_of_tanh,5,300.0,0.0,95.73333333333335,1.211060141638999,44.66666666666667,3.5039660069381067,0.9333333333333333,0.7226494462892933,4.830562284968709,0.24507009663369397,3.1100000000000003,0.5771722254039758,8.215293333333335,0.2528339995596579,0.07183954672916133,0.013824917063639527,55.432201656417476,4.158023435496204
