"method","particle_count","benchmark_seed","task_seed","task_id","true_k","initial_ph","measured_initial_ph","target_ph","steps","overshoots","total_volume_ml","final_true_ph","final_measured_ph","final_signed_error_ph","final_abs_error_ph","final_measured_abs_error_ph","true_success","strict_success","severe_failure","measured_success","false_stop","stop_reason","trajectory_records"
"pf_1000","1000","101","1000101","1","3","6.428","6.43","6.221","2","0","0.9400000000000001","6.324575965881568","6.32","0.10357596588156781","0.10357596588156781","0.0990000000000002","0","0","0","1","1","measured_success","3"
"pf_1000","1000","101","1000101","159","1","5.217","5.22","8.932","50","45","18.730000000000057","9.507991755522522","9.51","0.5759917555225211","0.5759917555225211","0.5779999999999994","0","0","1","0","0","max_steps","51"
"pf_1000","1000","101","1000101","317","2","3.118","3.12","2.461","3","1","6.460000000000001","2.4131329136807276","2.41","-0.04786708631927228","0.04786708631927228","0.05099999999999971","1","1","0","1","0","measured_success","4"
"pf_1000","1000","101","1000101","475","2","4.81","4.81","5.474","5","0","4.85","5.375578949971359","5.38","-0.09842105002864088","0.09842105002864088","0.0940000000000003","1","0","0","1","0","measured_success","6"
"pf_1000","1000","101","1000101","632","2","5.927","5.93","5.424","2","1","2.02","5.342140749134977","5.34","-0.08185925086502355","0.08185925086502355","0.08400000000000052","1","0","0","1","0","measured_success","3"
"pf_1000","1000","101","1000101","790","3","4.766","4.77","5.288","4","0","3.2899999999999996","5.188050140998872","5.19","-0.09994985900112852","0.09994985900112852","0.09799999999999986","1","0","0","1","0","measured_success","5"
"pf_1000","1000","101","1000101","948","2","4.488","4.49","2.494","3","2","7.4799999999999995","2.592872684833992","2.59","0.09887268483399181","0.09887268483399181","0.09599999999999964","1","0","0","1","0","measured_success","4"
"pf_1000","1000","101","1000101","1106","2","4.101","4.1","6.054","8","6","10.940000000000001","6.029387092938206","6.03","-0.024612907061793976","0.024612907061793976","0.02400000000000002","1","1","0","1","0","measured_success","9"
"pf_1000","1000","101","1000101","1264","1","6.679","6.68","3.077","8","5","14.76","3.0365543113067934","3.04","-0.04044568869320653","0.04044568869320653","0.03699999999999992","1","1","0","1","0","measured_success","9"
"pf_1000","1000","101","1000101","1422","2","3.238","3.24","3.569","6","0","3.21","3.479994256417352","3.48","-0.08900574358264812","0.08900574358264812","0.08899999999999997","1","0","0","1","0","measured_success","7"
"pf_1000","1000","101","1000101","1579","3","3.41","3.41","7.003","5","1","17.38","7.008672722753733","7.01","0.005672722753732984","0.005672722753732984","0.006999999999999673","1","1","0","1","0","measured_success","6"
"pf_1000","1000","101","1000101","1737","1","4.071","4.07","5.119","5","4","6.58","5.031098971941674","5.03","-0.08790102805832589","0.08790102805832589","0.08899999999999952","1","0","0","1","0","measured_success","6"
"pf_1000","1000","101","1000101","1895","3","8.55","8.55","9.034","4","2","2.44","8.954068131557463","8.950000000000001","-0.07993186844253763","0.07993186844253763","0.08399999999999963","1","0","0","1","0","measured_success","5"
"pf_1000","1000","101","1000101","2053","3","2.622","2.62","4.456","8","2","20.189999999999994","4.400358130812986","4.4","-0.055641869187014414","0.055641869187014414","0.05600000000000005","1","0","0","1","0","measured_success","9"
