regime,benchmark_seed,method,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,steps_mean,successful_steps_mean,crossings_mean,total_volume_mean_ml,final_abs_error_mean,controller_time_ms_per_step_mean
nominal,101,new_pf,1000,95.89999999999999,44.2,1.0,0.6,6.332,4.768508863399374,3.271,7.883060000000001,0.06782290775443078,60.7670883120458
nominal,101,new_ppo,1000,93.10000000000001,43.0,3.2,1.5,7.787,5.578947368421052,3.016,8.5177,0.10870834879985171,0.14492482468833195
nominal,202,new_pf,1000,95.19999999999999,44.0,1.2,1.6,6.357,4.942226890756302,3.258,7.906320000000001,0.06666079478641374,59.84375759147293
nominal,202,new_ppo,1000,93.10000000000001,40.400000000000006,2.9000000000000004,1.0999999999999999,8.083,5.591836734693878,3.403,8.4488,0.10571439869394379,0.14182544655861817
nominal,303,new_pf,1000,95.6,43.9,1.2,1.5,6.12,4.785564853556485,3.009,7.928400000000001,0.07390343774153713,57.22074333776362
nominal,303,new_ppo,1000,92.9,41.199999999999996,2.8000000000000003,1.4000000000000001,8.344,5.86221743810549,3.44,8.897059999999998,0.11544549637933486,0.13722220570148375
nominal,404,new_pf,1000,95.19999999999999,39.5,1.7999999999999998,2.0,6.049,4.834033613445378,2.986,7.607090000000001,0.07679337380723536,59.811295439472715
nominal,404,new_ppo,1000,93.10000000000001,42.8,3.2,1.7999999999999998,7.975,5.728249194414608,3.091,8.29764,0.10584245831986909,0.1404754234817489
nominal,555,new_pf,1000,95.7,44.3,1.2,1.0999999999999999,6.195,4.725182863113898,3.132,7.6737600000000015,0.07092901673499276,58.9922140732975
nominal,555,new_ppo,1000,93.8,42.6,2.9000000000000004,1.5,7.583,5.55863539445629,3.129,8.25933,0.10310298461508334,0.14150890494455784
close_pka,101,new_pf,1000,92.60000000000001,38.4,2.5,2.1,7.921,5.481641468682505,4.109,8.5439,0.09878488422924024,58.4868437608945
close_pka,101,new_ppo,1000,90.3,39.900000000000006,4.7,1.7000000000000002,9.814,6.250276854928018,4.083,9.25259,0.15150214616766106,0.13735506139772188
close_pka,202,new_pf,1000,93.4,41.3,2.3,1.6,7.68,5.400428265524625,3.962,8.427930000000002,0.08541985760485525,58.63872213383751
close_pka,202,new_ppo,1000,90.4,40.2,3.5000000000000004,1.7999999999999998,9.659,6.295353982300885,3.768,9.36344,0.11977391630911169,0.14092684695249325
close_pka,303,new_pf,1000,93.10000000000001,39.1,2.5,1.2,8.315,5.775510204081633,4.512,8.744100000000001,0.0964650147177326,58.23505562149483
close_pka,303,new_ppo,1000,90.60000000000001,39.800000000000004,4.3999999999999995,1.0999999999999999,10.065,6.5739514348785875,4.587,10.19198,0.14384424070253424,0.13858404054410317
close_pka,404,new_pf,1000,93.8,40.400000000000006,1.7000000000000002,1.7999999999999998,7.532,5.5341151385927505,3.775,8.4152,0.08673280512544385,61.61616267847079
close_pka,404,new_ppo,1000,91.4,41.699999999999996,3.4000000000000004,1.6,9.29,6.338074398249453,3.837,9.336549999999999,0.12119922061186884,0.1455409525396845
close_pka,555,new_pf,1000,93.30000000000001,39.300000000000004,2.6,1.6,8.048,5.784565916398714,4.075,8.925730000000001,0.09453479401104022,65.47660514040298
close_pka,555,new_ppo,1000,89.9,39.1,4.3999999999999995,2.1999999999999997,10.387,6.99888765294772,3.977,10.00707,0.15672637172191414,0.15192532874075268
wide_concentration,101,new_pf,1000,94.3,43.4,1.7000000000000002,1.5,7.037,5.173913043478261,3.875,8.293430000000003,0.0822976394201737,69.09740117235711
wide_concentration,101,new_ppo,1000,91.3,42.3,3.5999999999999996,1.7999999999999998,9.07,6.168674698795181,3.952,8.86378,0.12473619405473968,0.15629725108917664
wide_concentration,202,new_pf,1000,93.8,41.3,1.9,1.7000000000000002,7.28,5.251599147121535,4.053,8.25918,0.08489874995578722,64.31527854237704
wide_concentration,202,new_ppo,1000,91.0,40.1,3.5999999999999996,1.5,9.347,6.031868131868132,4.25,9.031400000000001,0.1134567937883112,0.14608600478384834
wide_concentration,303,new_pf,1000,94.69999999999999,43.6,1.3,1.9,6.844,5.3769799366420274,3.505,8.247729999999999,0.06998387741138377,63.99100020022027
wide_concentration,303,new_ppo,1000,92.0,43.0,3.2,1.7999999999999998,8.885,6.223913043478261,3.816,9.053859999999998,0.11864434287371148,0.1434282342198461
wide_concentration,404,new_pf,1000,95.1,41.6,1.7000000000000002,1.0999999999999999,6.984,5.2481598317560465,3.707,8.036410000000002,0.08031620786013394,64.72625684959007
wide_concentration,404,new_ppo,1000,91.7,40.699999999999996,4.0,1.9,8.887,6.2082878953107965,3.848,8.840789999999997,0.12697567756729622,0.145692147269647
