scenario,candidate,baseline,baseline_method,matched_tasks,success_difference_pp,success_difference_cluster_ci95_low,success_difference_cluster_ci95_high,success_p_value_exact,strict_success_005_difference_pp,strict_success_005_p_value_exact,steps_mean_difference,steps_relative_change_percent,steps_p_value,overshoots_mean_difference,overshoots_relative_change_percent,overshoots_p_value,total_added_ml_mean_difference,total_added_ml_relative_change_percent,total_added_ml_p_value,final_abs_error_mean_difference,final_abs_error_relative_change_percent,final_abs_error_p_value,success_p_value_holm,strict_success_005_p_value_holm,steps_p_value_holm,overshoots_p_value_holm,total_added_ml_p_value_holm,final_abs_error_p_value_holm,clear_success_gain
nominal,sac_precision_efficient,bayesian,bayesian_original,5000,-0.44,-0.9,-0.04,0.012774595538064901,5.0200000000000005,5.028164340076774e-07,-0.0488,-0.5211002904493417,0.012099106824765683,-0.5598,-13.571567106283933,2.9590897283151874e-36,1.5896520376168048,7.930261666206402,8.242815936293126e-76,0.0004212871860959213,0.7076175525663614,3.852922862945588e-06,0.8686724965884133,4.022531472061419e-05,0.5202615934649244,2.0417719125374792e-34,5.028117721138807e-74,0.00026970460040619113,False
out_of_range,sac_precision_efficient,bayesian,bayesian_common,1000,0.1,-0.9,1.2,1.0,5.800000000000001,0.00877224446846536,0.371,3.5887018765718754,0.00016376568114544914,-0.96,-17.666543982333454,2.2100783940684295e-15,1.1578817607712046,5.739125456171752,4.211502358014759e-10,0.0031019612075599856,3.883029662894306,0.030496642012720322,1.0,0.5438791570448523,0.00949840950643605,6.630235182205288e-14,2.5269014148088558e-09,1.0,False
partial_bias,sac_precision_efficient,bayesian,bayesian_common,1000,3.3000000000000003,-2.8,9.6,0.06315379277550683,0.5,0.758421988621096,-3.412,-16.52460286710577,1.800076688831387e-07,0.692,43.71446620341124,7.26594520943526e-27,2.7683337346847376,13.373883657783587,8.048074298679011e-44,-0.2759259748747144,-37.69810998098241,3.118775761155717e-12,1.0,1.0,1.2420529152936571e-05,4.068929317283746e-25,4.1849986353130855e-42,2.4326450937014593e-10,False
partial_response,sac_precision_efficient,bayesian,bayesian_common,1000,6.6000000000000005,-0.5,15.702499999999986,0.001095496512003383,2.7,0.09239942566307607,-3.853,-18.158254394646317,8.110098902806375e-07,0.794,52.20249835634452,1.2679186634009245e-32,2.8084587114924706,13.993135671847153,8.496754101922084e-41,-0.34413826015444227,-46.79936580928584,1.4521418652761897e-21,0.08216223840025373,1.0,5.433766264880271e-05,7.861095713085732e-31,4.248377050961042e-39,1.2197991668319993e-19,False
tetra_noise,sac_precision_efficient,bayesian,bayesian_common,1000,3.9,0.0,7.802499999999986,0.006086946806157245,11.700000000000001,2.2939525020106704e-07,-0.156,-2.0069471246622888,0.00855994617185211,0.709,74.63157894736842,5.236313469560014e-60,3.6101404342881525,12.4007861802501,9.6067243389557e-125,-0.008709769578089926,-15.075920954666623,6.6065262552301914e-09,0.4321732232371644,1.858101526628643e-05,0.38519757773334495,3.9272351021700104e-58,7.205043254216775e-123,4.888829428870341e-07,False
tetraprotic,sac_precision_efficient,bayesian,bayesian_common,1000,0.0,0.0,0.0,1.0,16.0,7.407668679093007e-13,-0.159,-2.034809316611208,0.008289270912341334,0.608,64.74973375931843,2.0429150143387716e-50,3.5042578430501305,11.959618245437834,2.785117877940226e-119,-0.009172448170314599,-16.07547838704009,8.000838732207354e-13,1.0,6.222441690438126e-11,0.38130646196770135,1.4913279604673033e-48,2.060987229675767e-117,6.32066259844381e-11,False
titrant_low,sac_precision_efficient,bayesian,bayesian_common,1000,-0.4,-1.1,0.2,0.21875,8.0,0.0004224897513215927,0.632,6.794968282980321,2.423639249446291e-09,-0.912,-26.07949671146697,3.4983701541535525e-23,-2.2568772461274498,-5.723399842264992,1.4012323821668174e-10,-0.003195360977657401,-5.94150852562853,0.0016422057990472842,1.0,0.03041926209515467,1.7692566520957925e-07,1.784168778618312e-21,1.120985905733454e-09,0.10838558273712076,False
volume_large,sac_precision_efficient,bayesian,bayesian_common,1000,76.3,73.5,79.1,2.36477399922557e-222,39.900000000000006,5.027673479579388e-84,-30.397,-74.77368887139623,4.838723894844473e-144,1.803,159.41644562334218,1.3371980728409706e-112,12.506992127129914,52.50581230148908,2.0973303684618017e-155,-1.3313746012016585,-96.13342973484514,5.2167772375244845e-151,2.1046488593107573e-220,4.5249061316214495e-82,4.354851505360026e-142,1.136618361914825e-110,1.7198109021386773e-153,4.695099513772036e-149,True
volume_small,sac_precision_efficient,bayesian,bayesian_common,1000,0.5,-0.8,1.8,0.4995598332025112,-3.4000000000000004,0.12624933627159513,0.882,10.502500595379848,1.106094274159791e-33,0.149,3.609496124031008,0.022444265777449183,0.8863498280271551,7.007482460751888,5.2760308589826906e-05,0.0070102400216916,10.937814209426815,0.02021086797051108,1.0,1.0,8.959363620694308e-32,0.06733279733234755,0.00015828092576948072,1.0,False
stress_all,sac_precision_efficient,bayesian,bayesian_common,22000,17.463636363636365,16.54534090909091,18.422840909090908,0.0,12.222727272727273,1.0635572165018895e-163,-6.986318181818182,-39.993286704552546,7.614160793346968e-295,0.3607727272727273,12.808636994480844,1.1971676053150983e-155,4.945345523798261,23.15368884185702,0.0,-0.4192027564965799,-81.33387692718067,0.0,0.0,1.0210149278418139e-161,7.30959436161309e-293,1.1133658729430415e-153,0.0,0.0,True
