"seed","candidate","environment_steps","success_rate_percent","successful_steps_mean","overshoot_rate_percent","total_volume_mean","final_error_mean","false_stop_percent"
"101","sac_precision_efficient","0","81.0","12.567901234567902","21.41732283464567","30.908681454699664","0.11042396343599249","19.0"
"101","sac_precision_efficient","10000","81.0","10.037037037037036","25.123966942148762","36.15304434164586","0.1253433177408122","17.0"
"101","sac_precision_efficient","20000","86.0","10.988372093023257","26.37075718015666","34.4127076540912","0.17626210379903143","12.0"
"101","sac_precision_efficient","30000","84.0","9.69047619047619","24.354243542435423","33.04190907882455","0.12187669739127018","15.0"
"101","sac_precision_efficient","40000","81.0","9.617283950617283","27.793167128347182","34.65914361968018","0.18092490428190217","17.0"
"101","sac_precision_efficient","50000","85.0","10.447058823529412","26.595744680851062","34.47070195526149","0.12458553785075349","15.0"
"101","sac_precision_efficient","60000","82.0","9.71951219512195","26.494940202391906","34.47747316931056","0.1563423387111041","15.0"
"101","td3_precision_efficient","0","81.0","11.802469135802468","26.554105909439755","31.38658759737707","0.09776023441015855","16.0"
"101","td3_precision_efficient","10000","83.0","9.542168674698795","46.111111111111114","45.52233894638717","0.08362845066987944","16.0"
"101","td3_precision_efficient","20000","75.0","13.293333333333333","22.93471981513576","41.801803759032865","0.18137139533730662","13.0"
"101","td3_precision_efficient","30000","87.0","11.367816091954023","29.421221864951768","41.69732852643656","0.09403577160045827","10.0"
"101","td3_precision_efficient","40000","85.0","9.458823529411765","36.627906976744185","41.441170080553185","0.10052985535514314","13.0"
"101","td3_precision_efficient","50000","83.0","9.759036144578314","34.188817598533454","40.934217370347916","0.10377327930562025","15.0"
"101","td3_precision_efficient","60000","84.0","10.583333333333334","33.15926892950392","41.21776328575914","0.08498570490875576","15.0"
"202","sac_precision_efficient","0","79.0","10.025316455696203","44.44444444444444","35.25996918822247","0.15763371197055231","19.0"
"202","sac_precision_efficient","10000","79.0","11.835443037974683","22.17074784910655","33.15838158085617","0.14990811435912182","14.0"
"202","sac_precision_efficient","20000","83.0","11.421686746987952","27.53834915997078","34.837505362014866","0.13165455846535326","10.0"
"202","sac_precision_efficient","30000","84.0","11.0","26.083650190114067","31.982598899438226","0.1445212151737374","10.0"
"202","sac_precision_efficient","40000","81.0","11.493827160493828","27.380015735641226","32.90637161271645","0.09811517836369887","16.0"
"202","sac_precision_efficient","50000","81.0","10.308641975308642","29.73384030418251","32.81103208710085","0.12290248659312052","11.0"
"202","sac_precision_efficient","60000","81.0","9.666666666666666","28.62776025236593","31.43342951687911","0.1537612214884677","12.0"
"202","td3_precision_efficient","0","78.0","11.974358974358974","30.717488789237667","32.330200249859274","0.11734355709283552","18.0"
"202","td3_precision_efficient","10000","80.0","11.1","49.3649449618967","45.952292116045946","0.12169720666853688","18.0"
"202","td3_precision_efficient","20000","80.0","11.1","49.3649449618967","45.9522921875","0.12169720720281045","18.0"
"202","td3_precision_efficient","30000","80.0","11.1","49.3649449618967","45.9522921875","0.12169720720281045","18.0"
"202","td3_precision_efficient","40000","80.0","11.1","49.3649449618967","45.9522921875","0.12169720720281045","18.0"
"202","td3_precision_efficient","50000","80.0","11.1","49.3649449618967","45.9522921875","0.12169720720281045","18.0"
"202","td3_precision_efficient","60000","80.0","11.1","49.3649449618967","45.9522921875","0.12169720720281045","18.0"
"303","sac_precision_efficient","0","86.0","13.488372093023257","16.46471846044191","28.490354640839538","0.06809288070343897","11.0"
"303","sac_precision_efficient","10000","80.0","10.3","24.612579762989974","31.534283827956077","0.114297187185513","18.0"
"303","sac_precision_efficient","20000","79.0","9.91139240506329","27.167019027484145","32.771581067253244","0.16587673501391265","21.0"
"303","sac_precision_efficient","30000","85.0","10.6","25.434583714547117","33.533316516581685","0.11998722983442126","14.0"
"303","sac_precision_efficient","40000","86.0","9.767441860465116","23.770491803278688","30.520937823078768","0.11548317774677129","14.0"
"303","sac_precision_efficient","50000","86.0","9.313953488372093","23.970432946145724","29.914522689765164","0.1598591750104082","14.0"
"303","sac_precision_efficient","60000","87.0","9.241379310344827","22.542735042735043","29.67106310779873","0.12979858420829266","13.0"
"303","td3_precision_efficient","0","82.0","10.817073170731707","24.06417112299465","29.323233319227196","0.10186516560118472","17.0"
"303","td3_precision_efficient","10000","77.0","11.012987012987013","22.48427672955975","34.22396436119934","0.25595752723450055","20.0"
