scenario,method,seeds,success_rate_percent_mean,success_rate_percent_seed_sd,strict_success_005_percent_mean,strict_success_005_percent_seed_sd,wide_success_020_percent_mean,wide_success_020_percent_seed_sd,severe_failure_050_percent_mean,severe_failure_050_percent_seed_sd,successful_steps_mean_mean,successful_steps_mean_seed_sd,all_steps_mean_mean,all_steps_mean_seed_sd,steps_p95_mean,steps_p95_seed_sd,steps_cvar95_mean,steps_cvar95_seed_sd,overshoot_rate_percent_mean,overshoot_rate_percent_seed_sd,overshoots_per_task_mean_mean,overshoots_per_task_mean_seed_sd,total_added_ml_mean_mean,total_added_ml_mean_seed_sd,total_added_ml_p95_mean,total_added_ml_p95_seed_sd,final_abs_error_mean_mean,final_abs_error_mean_seed_sd,total_added_ml_cvar95_mean,total_added_ml_cvar95_seed_sd,final_abs_error_p95_mean,final_abs_error_p95_seed_sd,final_abs_error_cvar95_mean,final_abs_error_cvar95_seed_sd,final_signed_error_mean_mean,final_signed_error_mean_seed_sd,false_stop_rate_percent_mean,false_stop_rate_percent_seed_sd,decision_time_ms_mean_mean,decision_time_ms_mean_seed_sd,decision_time_ms_p95_mean,decision_time_ms_p95_seed_sd
actuator_over,sac_precision_efficient,5,97.7,1.1510864433221337,52.1,2.534758371127315,98.5,1.0,0.8,0.6708203932499369,7.924271530647121,0.7645715845597982,8.896,0.6166583332770262,19.849999999999984,0.8077747210701851,33.70909090909091,5.97667643067824,45.86017199302614,2.03575156647211,4.084,0.39820534903489185,22.73561424152099,3.8068266035409173,44.053352371750876,3.0339693646601473,0.05690243792979702,0.006902283305934466,46.81765449322069,3.4184525619837145,0.09611563791969098,0.0008692267526297691,0.2588364262331478,0.11985185996171535,-0.0017175791599908677,0.011102142128740587,0.0,0.0,3.6740247000852833,0.2692921071107521,8.371115998816084,0.7352221979614671
actuator_over,td3_precision_efficient,5,98.1,0.8215838362577492,51.4,2.9453352950046283,98.9,0.6519202405202649,0.6,0.6519202405202649,8.91535579450698,1.2231642736665673,9.703,0.9221347515412269,21.209999999999997,1.0818964830333861,33.49090909090909,2.757858793333506,53.68966748867874,13.623839777229248,5.279999999999999,1.7264522872063393,31.463094891634885,8.990785734725861,51.68202641174019,7.137082211482162,0.05665802192134231,0.005408863646634525,55.05708836945593,6.127480100732299,0.09718498739229417,0.000607178331889508,0.22447607707161335,0.10790257469546448,0.003231833146397827,0.006980837409183966,0.0,0.0,4.820276099810144,0.28891761191323434,10.651639000279825,0.6514167944442171
actuator_random,sac_precision_efficient,5,99.1,0.7416198487095663,47.1,2.5099800796022267,99.2,0.8366600265340756,0.5,0.5,8.759322152920861,0.7354926637886734,9.129,0.8800383514370266,22.21999999999999,3.1210174623029565,30.036363636363635,6.356684514472063,36.552549298046664,2.746416184881167,3.341,0.42641529053259797,21.044230686238233,2.651529219232386,40.066473210966734,1.343637967130622,0.05561335285292705,0.005427240921402526,43.68330847062205,2.2141952391197135,0.09586252915382494,0.001416445575994259,0.16067549245774382,0.06033743304688626,0.00043629544190626024,0.0029834359688824487,0.0,0.0,3.810754099962651,0.39668632596543696,8.939866997825442,1.284500616450855
actuator_random,td3_precision_efficient,5,99.2,0.570087712549569,48.8,3.2132538026119257,99.4,0.4183300132670378,0.4,0.4183300132670378,9.008776769557679,0.7286814336275032,9.34,0.4927347156432146,21.819999999999993,0.8281002354787762,29.963636363636365,3.370141130526942,43.11964753113092,10.562333039758538,4.0489999999999995,1.1061159523304958,27.137102857493325,6.799990809567332,48.29087775628893,7.733265364746782,0.054258308466629525,0.0028937047361851363,51.77787196569948,8.159693606508966,0.09525990605906984,0.001118944016439629,0.17921692156468372,0.06675364856171195,-0.00038313159153621973,0.006785671634383752,0.0,0.0,4.693691299886268,0.2969285670796823,10.91521799928159,0.7728518716482862
actuator_under,sac_precision_efficient,5,98.2,0.758287544405155,49.8,4.631414470763764,98.5,0.9354143466934853,0.5,0.6123724356957945,8.96404674690389,0.5164836383775895,9.704,0.4694331688323696,21.019999999999992,1.5813759831235579,32.2,4.227712587086338,29.12157229825308,2.6416233634210378,2.829,0.3345220471060166,18.983138059385375,1.5976137268685706,36.82324248710504,1.3442436839806593,0.05608185071825225,0.0071583579232722214,38.99758190906503,1.2651171408843855,0.09616068877820794,0.002852865778116278,0.20230301240891935,0.09130554933291034,0.0024044428645161593,0.0029123970081230115,0.0,0.0,4.158402899898647,0.42824507043305465,9.357546999017353,1.434649502841581
actuator_under,td3_precision_efficient,5,97.5,1.0,48.0,2.57390753524675,98.4,0.6519202405202649,0.4,0.6519202405202649,9.016602730958414,0.7699903675143893,10.045,0.5927478384608413,22.899999999999967,2.58069758011279,37.18181818181818,5.136162506118375,34.892946096151846,8.183811968723951,3.501,0.8611286198936836,21.99084452931297,3.6297170431031063,42.18122737865249,3.587090502554567,0.0580868840952676,0.00503916799242017,44.004442156375006,2.9317255503457975,0.09682111691771988,0.001276898490091072,0.20627421503186494,0.06518334645224003,0.0042910313325178785,0.003006470815636171,0.0,0.0,5.126543400059745,0.5642919036633885,11.558023000325186,1.8268600951819773
analyte_high,sac_precision_efficient,5,99.2,0.9746794344808964,46.8,0.8366600265340756,99.7,0.27386127875258304,0.1,0.22360679774997896,11.14450650689344,0.6999576631916852,11.458,0.6108559568343419,22.239999999999988,1.324952829349023,28.381818181818183,4.8465715922027925,21.10428982103831,3.2139447718635434,2.419,0.39876998382526235,50.87277440191059,2.513485872444648,107.02386937592541,2.114268953929195,0.05274007691151122,0.0012016463529608945,108.79858536278124,2.6756846025120753,0.09542727983848469,0.0007117639454894212,0.12111848644113749,0.025913798431998113,-0.0011011071840329608,0.006738919395563944,0.0,0.0,4.794010099954903,0.5506199360519517,9.874940999652605,1.175531104610975
analyte_high,td3_precision_efficient,5,97.9,2.4849547279578355,46.0,8.514693182963201,99.0,1.695582495781317,0.5,0.8660254037844386,11.18693298494184,1.6232076942622702,11.971,2.4820012087023655,27.019999999999992,12.965415535184368,33.21818181818182,9.68482667726145,27.746657613708084,9.759163110308629,3.175,0.834752957467058,56.27179471056393,4.8929849876637475,111.23735594122931,2.391679657309183,0.058130377303764844,0.015383950890871412,112.43359697215223,2.0121066934543514,0.10019336848544465,0.008885463363837349,0.2000004116113705,0.1818343669453149,-0.0013899512874867724,0.005511966189649186,0.0,0.0,5.995736999990186,1.439063175470233,13.233535999752347,5.823906541472619
analyte_low,sac_precision_efficient,5,96.1,1.710263137648707,49.3,4.777551674236502,97.3,1.680773631397161,1.8,0.758287544405155,7.696361095618596,0.5293741169097592,9.342,1.1001397638482127,27.409999999999997,12.67538954036522,41.43636363636364,6.346535464069685,49.19645650116689,3.110156279866185,4.602,0.6690347524605879,10.79746566296931,1.6317291522022912,18.864051553392486,2.3819662838897013,0.0703463717566905,0.01188208026446218,20.02885536268167,2.762888234582795,0.11913241113206616,0.04935124639609349,0.43797936490044764,0.17075844668929027,0.0049058838708765685,0.008927265409050427,0.0,0.0,3.7314098999268026,0.1999654015416245,10.22940699986065,2.82365955645482
analyte_low,td3_precision_efficient,5,97.5,1.0606601717798212,48.1,3.9591665789658306,98.2,0.570087712549569,0.8,0.4472135954999579,9.061424934350978,0.9886917883722126,10.08,1.2612741573504151,24.22999999999999,2.1704262254220934,37.07272727272727,5.952775587075547,53.164281755321014,9.006624372457933,5.443,1.6336064397522432,17.118336985295404,5.449803405931251,25.249201279801085,4.639435757568429,0.06045224310571385,0.004957185032136763,26.212211921504593,4.757565410734757,0.09787385651472692,0.001495300105950835,0.26495291496731277,0.04565295766724277,-0.005994290576364147,0.007078129273222157,0.0,0.0,4.892412999892258,0.45821758017640285,11.557393000766737,0.6909800588710738
