environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean,actor_loss,critic_loss,entropy,post_final_batch
0,500,86.4,30.2,4.2,2.8000000000000003,7.673611111111111,12.648,3.822,7.76016,0.1296217974324852,,,,
10023,500,86.0,32.800000000000004,4.2,2.4,6.906976744186046,12.156,3.542,7.98662,0.13749905658841194,-0.06544159130296773,5.024829500251347,4.715031411912706,
20000,500,83.6,30.599999999999998,6.4,2.8000000000000003,7.119617224880383,12.478,3.09,8.779620000000001,0.17520264662038196,-0.04929575524874963,5.4579509645700455,4.744494765996933,
30006,500,83.39999999999999,34.4,6.2,2.4,7.057553956834532,12.544,3.252,8.77664,0.20098698882625743,0.016314347869613104,4.472030222415924,4.409185038672553,
40001,500,85.6,33.800000000000004,5.6000000000000005,2.4,6.044392523364486,10.876,3.32,8.34538,0.1696893756970036,-0.06277388939633965,4.297492278946771,4.409805344210731,
50002,500,88.4,36.8,4.6,2.4,6.149321266968326,10.242,4.102,8.26314,0.13047790865486522,-0.05891869294767579,3.986183696322971,4.29168536927965,
60001,500,86.8,35.199999999999996,5.0,2.8000000000000003,6.935483870967742,11.592,4.302,8.20912,0.13061726494575163,-0.05041199493118458,3.4421556658214993,4.34661011563407,
70000,500,86.0,38.0,5.2,3.8,6.616279069767442,11.074,4.182,8.31456,0.1384996602318578,-0.034967891587358385,3.2644281768136554,4.067527254422505,
80012,500,87.2,36.6,4.6,2.6,6.181192660550459,10.792,4.364,8.198900000000002,0.13674037647540283,-0.024672573561676674,4.324221968650818,4.017003105746375,
90005,500,85.39999999999999,34.2,4.6,2.8000000000000003,6.845433255269321,11.974,2.822,7.828540000000001,0.14481027448826542,-0.08848185467326806,3.6135025554233127,3.9328864018122354,
100047,500,89.2,36.0,4.8,2.4,6.150224215246637,9.898,3.658,8.16682,0.13880053883420615,-0.03287655670040598,3.1858747402826944,4.001776446898778,1
