training_seed,initial_validation_success_percent,final_validation_success_percent,final_minus_initial_pp,best_observed_validation_success_percent,selected_checkpoint_success_percent,selected_environment_steps,checkpoint_source,checkpoint_sha256,parameter_l2_change,relative_parameter_l2_change,changed_parameter_percent
101,86.4,89.2,2.799999999999997,89.2,89.2,100047,ppo_final_batch,8349345169832d8f7a99f507eb8970dfbc3e8c63b432a1ffa50b9f72ab8af678,7.05339333876311,0.1416082319807718,94.17842431119114
202,86.2,87.0,0.7999999999999972,87.0,87.4,100010,ppo,c8453c75552955d2d41cbf98fa1794d4e40b9e12f32817f29059e8d01e2599de,7.060792558247527,0.14175678322963914,94.179040970869
303,88.4,92.2,3.799999999999997,92.2,92.2,100023,ppo_final_batch,bafd85f896945245f4a2275764ee74cfb458aae78cbe91f5c17396c24fd22f1c,7.114427920435401,0.1428335995145516,94.17873264103007
404,87.6,86.2,-1.3999999999999915,89.4,89.4,70010,ppo,145f32a2284a2ea995bb4cb1f470951b5fbacd5217dda3594c7dec1c3ea08c5c,6.371409590976384,0.12791630979163804,94.1768826619965
555,87.6,85.6,-2.0,89.8,89.8,10001,ppo,fe1bac1e8cf5a6b4ff893b2e9fed0dbd54c988a36c1f2d25b05ec3366c5cd80c,3.017892428882686,0.06058905134548703,94.17503268296292
