benchmark_seed,subgroup,subgroup_value,tasks,observations_mean,curve_rmse_ph_mean,curve_rmse_ph_median,curve_mae_ph_mean,curve_correlation_mean,curve_r2_mean,curve_within_0p25_percent_mean,concentration_relative_error_percent_mean,concentration_relative_error_percent_median,concentration_95_coverage_percent,pair_count_accuracy_percent,true_pair_probability_mean,pka_evaluable_tasks,pka_mae_if_k_correct_mean,pka_rmse_if_k_correct_mean,pka_95_coverage_if_k_correct_percent,control_success_rate_percent,control_final_true_error_mean
101,direction,acid,150,4.68,1.4425600591305563,1.1527587065417766,0.576376839185082,0.9593059295713228,0.8968691536874511,78.12422360248446,46.47478778572529,25.487073081470008,98.66666666666667,44.666666666666664,0.38042872123592253,67,0.8059157686159804,0.8513755279443381,96.51741293532339,98.66666666666667,0.05713973021734862
202,direction,acid,150,4.82,1.4048370460299906,1.2349552608072405,0.5340183117614394,0.9621946676006626,0.9023578092934625,80.14078674948239,57.793405500375385,34.358381545167575,96.66666666666667,50.0,0.3883220996764628,75,1.0305669246571845,1.0756779978708924,96.88888888888889,97.33333333333334,0.05646411385146031
303,direction,acid,150,3.6933333333333334,1.2695546011034142,1.1355721322261225,0.4723538060009247,0.9691468578737273,0.9256653234492406,81.25465838509317,53.353035508500916,29.41354446854912,100.0,47.333333333333336,0.38562099388786086,71,0.8752497483055549,0.9194636196206496,97.6525821596244,98.66666666666667,0.05644535061043951
404,direction,acid,150,4.3933333333333335,1.3811005734574842,1.2624805840740345,0.5182355793015793,0.9649131441534824,0.9144839687993469,80.21118012422362,62.66035108636567,35.48410710663575,98.66666666666667,49.333333333333336,0.3871528575594272,74,0.9632123784740596,1.0097298234153351,97.97297297297297,96.66666666666667,0.05195097797881425
555,direction,acid,150,3.9466666666666668,1.4955424887197288,1.362587897593837,0.564179769564481,0.9602992174969663,0.9030112795863618,79.39130434782608,60.866578466282164,40.31181235255346,100.0,42.0,0.37828173649461455,63,1.003897740954563,1.0585539278483715,98.4126984126984,100.0,0.054232480595910494
101,direction,base,150,7.053333333333334,0.8908394228323804,0.758570960772367,0.34474691774747507,0.9800205796351432,0.951807358404814,84.17805383022773,38.97958998566283,23.680591138745662,84.0,43.333333333333336,0.4168143299483933,65,0.73170036394151,0.7732161263199422,85.64102564102565,97.33333333333334,0.06840200425765577
202,direction,base,150,9.26,0.8774956820200515,0.6707972941198685,0.34167719032623617,0.9793372144173724,0.9494174032795295,84.42236024844719,36.46340700207965,26.667516195272803,80.0,46.0,0.41566678172086513,69,0.9025734752559383,0.9624475067493915,79.46859903381642,89.33333333333333,0.08762120211860751
303,direction,base,150,8.14,0.8871649428739556,0.6760403468262164,0.34883829446282855,0.9787858405551845,0.9483474120716541,84.42650103519668,35.574229564263476,22.026872147165566,80.66666666666666,45.33333333333333,0.43772225292749584,68,0.7578926739374591,0.8059013434387333,74.75490196078431,94.0,0.09320086831237812
404,direction,base,150,9.266666666666667,0.8053332028698189,0.5555178540434771,0.3063198866481273,0.9814255001226831,0.9535190849994035,86.38509316770187,41.85302746296209,26.09106815853066,79.33333333333333,48.66666666666667,0.4356936662084167,73,0.7654651115314653,0.8136036624971389,76.48401826484019,92.0,0.09083815794679806
555,direction,base,150,7.98,0.9152156424077396,0.6823718305415936,0.35757346698130127,0.9775671993398927,0.9399941193913651,84.98964803312629,39.25222475963994,27.14584085521821,82.66666666666667,44.0,0.43703320014448443,66,0.6549363028048427,0.7129493513543846,84.5959595959596,94.0,0.06660960673379361
