benchmark_seed,checkpoint_type,observations,tasks,observations_mean,curve_rmse_ph_mean,curve_rmse_ph_median,curve_mae_ph_mean,curve_correlation_mean,curve_r2_mean,curve_within_0p25_percent_mean,concentration_relative_error_percent_mean,concentration_relative_error_percent_median,concentration_95_coverage_percent,pair_count_accuracy_percent,true_pair_probability_mean,pka_evaluable_tasks,pka_mae_if_k_correct_mean,pka_rmse_if_k_correct_mean,pka_95_coverage_if_k_correct_percent,control_success_rate_percent,control_final_true_error_mean
101,fixed_observation_count,0,300,0.0,1.4347270804644674,1.1825834975348022,0.5266830908438135,0.9599269972422119,0.8953145889402304,82.37681159420289,68.88600657758403,41.174259817158514,100.0,36.666666666666664,0.3333333333333333,110,1.5801081622953923,1.5801081622953923,100.0,0.0,1.3949411969916505
101,fixed_observation_count,1,300,1.0,1.2584574279442966,1.0060589932408646,0.4805921885540661,0.9679437394075925,0.9201115427452512,80.7432712215321,45.08109523565701,27.193929226076442,94.66666666666667,44.0,0.3633952267080565,132,0.8531725476025342,0.8908255076881999,96.33838383838383,10.666666666666668,1.2894007538455006
101,fixed_observation_count,2,300,2.0,1.2005413890855048,0.9661432162578528,0.4629454184900684,0.9692714633662431,0.9234969458366507,81.33126293995859,44.10687837300147,24.969378321554387,93.0,45.0,0.3829079129123782,135,0.7887402631048236,0.825286515512694,96.79012345679011,22.666666666666664,0.8504731862355489
101,fixed_observation_count,3,300,3.0,1.1991212308055428,0.9639014630866843,0.46595827610435964,0.9687824587455983,0.9221933065622647,81.18840579710144,43.51945473246475,25.43302098103748,90.33333333333333,42.66666666666667,0.38078192768011,128,0.7300876193382296,0.7692029790855154,96.22395833333333,39.0,0.5949368041140013
101,fixed_observation_count,5,300,5.0,1.164612520029261,0.9575183483583689,0.45707957885856504,0.9694878840678424,0.9238903051062618,81.3623188405797,42.978268379689716,24.972013259874426,90.33333333333333,44.666666666666664,0.39333295768533155,134,0.7658139200535719,0.8098424546139079,93.65671641791045,56.666666666666664,0.43610252176389197
101,fixed_observation_count,8,300,8.0,1.1614777673288357,0.9711264082979656,0.4596115063364101,0.9692384161246773,0.9231000266531332,81.2712215320911,42.32449895837844,24.723111818259436,91.0,44.333333333333336,0.39846216275666585,133,0.7456375387669573,0.785067827996978,92.10526315789474,76.33333333333333,0.1923381945791726
101,fixed_observation_count,12,300,12.0,1.1581983331328027,0.9703277812272906,0.4584895711017795,0.9694574156471238,0.9235767373000552,81.31884057971014,42.28753826812859,24.706084949659008,91.0,44.666666666666664,0.39949400038788124,134,0.7597991372913521,0.8017244077960618,91.91542288557213,89.66666666666666,0.06382913224002418
101,natural_control_end,natural_end,300,5.866666666666666,1.1666997409814681,1.0029345458251178,0.46056187846627855,0.969663254603233,0.9243382560461327,81.1511387163561,42.727188885694055,25.091856577559916,91.33333333333333,44.0,0.3986215255921579,132,0.7693703041929456,0.812887943811113,91.16161616161615,98.0,0.06277086723750219
202,fixed_observation_count,0,300,0.0,1.4598420225197677,1.1551106277918022,0.5312283637145344,0.9584288532379215,0.8898712738634432,82.80124223602485,69.16352371075395,39.68335291409871,100.0,45.33333333333333,0.3333333333333333,136,1.6030411802461255,1.6030411802461255,100.0,0.0,1.3138112485436924
202,fixed_observation_count,1,300,1.0,1.2317316963463691,1.0293256150716612,0.4547168886943706,0.9692538393028457,0.9210737540824543,82.31469979296067,51.677978273354775,28.472254455696078,92.0,47.66666666666667,0.375855846293836,143,1.1225535980608092,1.163022554918018,94.98834498834499,10.0,1.3092631849320266
202,fixed_observation_count,2,300,2.0,1.1934762837709543,0.9911959936838545,0.44373373087624324,0.9700297065269222,0.922914245377594,82.62318840579711,46.740885290869784,27.86202807871428,91.0,48.0,0.39155928286096375,144,1.009809065215084,1.0566357986286319,93.75,25.333333333333336,0.9113995185195245
202,fixed_observation_count,3,300,3.0,1.1739720173108144,0.9956762608799131,0.4452242958632487,0.9699785077742688,0.9225472013858803,82.3457556935818,46.45964447636178,30.264159715138682,89.33333333333333,47.66666666666667,0.3937382595023177,143,1.00501407579526,1.0525026721669717,93.93939393939392,42.333333333333336,0.6702565581364263
202,fixed_observation_count,5,300,5.0,1.1456804510987149,0.9797903848097975,0.4389910875445908,0.970396797314426,0.9238019277644631,82.46376811594203,45.481293369163375,30.166840622077167,89.33333333333333,49.333333333333336,0.4046191626593215,148,0.9246239078164353,0.9718753979636229,92.22972972972973,61.0,0.5145061842715988
