environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean,actor_loss,critic_loss,entropy,post_final_batch
0,500,87.6,28.4,2.8000000000000003,3.2,8.351598173515981,12.374,2.788,8.047139999999999,0.12144280213521268,,,,
10016,500,83.39999999999999,32.2,3.2,2.8000000000000003,7.5875299760191846,13.388,2.604,8.12402,0.1361831397988808,-0.0515093152935151,5.006925031542778,4.750631123781204,
20001,500,87.8,33.0,5.0,2.0,7.24373576309795,10.288,2.982,9.900139999999999,0.2051241858833556,-0.09951935418777996,5.759457760386997,4.682602458530003,
30003,500,88.8,38.0,5.2,2.0,6.506756756756757,9.71,3.448,9.57134,0.1573126703438266,0.012955511687323451,4.252022955152723,4.428224053647783,
40019,500,88.4,41.4,4.8,2.4,6.82579185520362,9.892,2.874,9.55708,0.16109921993115045,-0.04202926280494365,4.30518333779441,4.426018026140001,
50023,500,86.6,37.6,4.8,3.2,7.678983833718245,11.554,3.138,8.96788,0.15584398404573013,-0.043104252894409,4.06962613016367,4.421303078532219,
60004,500,88.0,40.0,4.6,2.0,7.302272727272728,11.36,3.398,8.714459999999999,0.1406590526150913,-0.030337100033648312,3.138753890991211,4.255752190947533,
70010,500,89.4,39.800000000000004,3.8,1.7999999999999998,6.31096196868009,10.338,4.138,8.485019999999999,0.12633934014963555,-0.03519379880162887,3.2805067151784897,4.166245311498642,
80005,500,89.0,39.4,3.8,2.4,6.876404494382022,10.68,3.11,8.15252,0.1302573849908297,0.15655146585777402,4.864485071765052,4.047812975115246,
90003,500,88.4,42.6,3.0,1.4000000000000001,7.108597285067873,11.72,3.172,8.0267,0.12130929922431902,-0.006402793029944102,3.33866204155816,3.878330965836843,
100010,500,86.2,35.6,3.4000000000000004,4.0,6.94431554524362,11.522,3.126,8.085379999999999,0.13795199813772238,-0.040177449506397046,3.200156718492508,4.180814305941264,1
