"method","particle_count","benchmark_seed","task_seed","task_id","true_k","initial_ph","measured_initial_ph","target_ph","steps","overshoots","total_volume_ml","final_true_ph","final_measured_ph","final_signed_error_ph","final_abs_error_ph","final_measured_abs_error_ph","true_success","strict_success","severe_failure","measured_success","false_stop","stop_reason","trajectory_records"
"pf_10000","10000","202","1000202","948","3","2.995","3.0","3.693","2","0","2.18","3.633325322303925","3.63","-0.05967467769607504","0.05967467769607504","0.06300000000000017","1","0","0","1","0","measured_success","3"
"pf_10000","10000","202","1000202","1106","1","7.852","7.85","5.042","12","8","13.759999999999998","5.120613941686209","5.12","0.07861394168620883","0.07861394168620883","0.07800000000000029","1","0","0","1","0","measured_success","13"
"pf_10000","10000","202","1000202","1264","1","5.63","5.63","9.358","12","8","16.06","9.310821759588173","9.31","-0.04717824041182794","0.04717824041182794","0.04800000000000004","1","1","0","1","0","measured_success","13"
"pf_10000","10000","202","1000202","1422","1","3.371","3.37","3.849","2","1","3.5300000000000002","3.9176042494922276","3.92","0.06860424949222743","0.06860424949222743","0.07099999999999973","1","0","0","1","0","measured_success","3"
"pf_10000","10000","202","1000202","1579","3","8.923","8.92","9.277","4","3","2.08","9.329242409410263","9.33","0.05224240941026359","0.05224240941026359","0.053000000000000824","1","0","0","1","0","measured_success","5"
"pf_10000","10000","202","1000202","1737","1","7.952","7.95","8.355","2","1","3.13","8.417079914346221","8.42","0.06207991434622073","0.06207991434622073","0.0649999999999995","1","0","0","1","0","measured_success","3"
"pf_10000","10000","202","1000202","1895","1","9.274","9.27","11.088","7","5","14.18","11.173740741159559","11.17","0.08574074115955987","0.08574074115955987","0.08200000000000074","1","0","0","1","0","measured_success","8"
"pf_10000","10000","202","1000202","2053","2","3.186","3.19","5.657","3","0","9.7","5.605709281456123","5.61","-0.05129071854387668","0.05129071854387668","0.04699999999999971","1","0","0","1","0","measured_success","4"
"pf_10000","10000","202","1000202","2211","2","3.24","3.24","1.83","1","1","4.61","1.8203459880318027","1.82","-0.009654011968197374","0.009654011968197374","0.010000000000000009","1","1","0","1","0","measured_success","2"
"pf_10000","10000","202","1000202","2369","2","2.0","2.0","1.653","1","0","1.83","1.7321273463361462","1.73","0.07912734633614615","0.07912734633614615","0.07699999999999996","1","0","0","1","0","measured_success","2"
