"method","particle_count","benchmark_seed","task_seed","task_id","step_index","before_true_ph","before_measured_ph","target_ph","action_reagent","requested_volume_ml","actual_volume_ml","true_ph_after","measured_ph_after","observe_time_ms","recommend_time_ms","total_decision_time_ms","next_action_stop","next_action_reason","next_action_reagent","next_action_volume_ml"
"pf_100000","100000","101","1000101","1","1","6.428","6.43","6.221","acid","0.55","0.55","6.3666577143262675","6.37","972.5233","3.7017","976.225","0","running","acid","0.39"
"pf_100000","100000","101","1000101","1","2","6.3666577143262675","6.37","6.221","acid","0.39","0.39","6.324575965881568","6.32","480.5915","0.3164","480.9079","1","measured_success","","0.0"
"pf_100000","100000","101","1000101","159","1","5.217","5.22","8.932","base","8.25","8.25","12.220840465590172","12.22","1547.0368","36.4997","1583.5365","0","running","acid","4.12"
"pf_100000","100000","101","1000101","159","2","12.220840465590172","12.22","8.932","acid","4.12","4.12","6.346478337517727","6.35","943.0592","33.4949","976.5541","0","running","base","2.06"
"pf_100000","100000","101","1000101","159","3","6.346478337517727","6.3500000000000005","8.932","base","2.06","2.06","11.729377669004332","11.73","906.9551","41.1429","948.098","0","running","acid","1.03"
"pf_100000","100000","101","1000101","159","4","11.729377669004332","11.73","8.932","acid","1.03","1.03","11.189348953296822","11.19","935.2364","31.2924","966.5288","0","running","acid","1.03"
"pf_100000","100000","101","1000101","159","5","11.189348953296822","11.19","8.932","acid","1.03","1.03","6.3464920694006715","6.35","458.9009","31.0772","489.9781","0","running","base","0.51"
"pf_100000","100000","101","1000101","159","6","6.3464920694006715","6.3500000000000005","8.932","base","0.51","0.51","7.234227004193528","7.23","946.208","30.1146","976.3226","0","running","base","0.51"
"pf_100000","100000","101","1000101","159","7","7.234227004193528","7.23","8.932","base","0.51","0.51","11.149130864604029","11.15","472.2431","36.5485","508.7916","0","running","acid","0.25"
"pf_100000","100000","101","1000101","159","8","11.149130864604029","11.15","8.932","acid","0.25","0.25","10.767130335961237","10.77","440.7966","30.9127","471.7093","0","running","acid","0.25"
"pf_100000","100000","101","1000101","159","9","10.767130335961237","10.77","8.932","acid","0.25","0.25","7.29236304289941","7.29","460.4519","30.137","490.5889","0","running","base","0.12"
"pf_100000","100000","101","1000101","159","10","7.29236304289941","7.29","8.932","base","0.12","0.12","10.204960516570637","10.2","991.0279","29.8731","1020.901","0","running","acid","0.06"
"pf_100000","100000","101","1000101","159","11","10.204960516570637","10.200000000000001","8.932","acid","0.06","0.06","8.115319547294689","8.12","459.8706","30.5557","490.4263","0","running","base","0.03"
"pf_100000","100000","101","1000101","159","12","8.115319547294689","8.120000000000001","8.932","base","0.03","0.03","9.80688122358508","9.81","998.9628","30.506","1029.4688","0","running","acid","0.01"
"pf_100000","100000","101","1000101","159","13","9.80688122358508","9.81","8.932","acid","0.01","0.01","9.514617348983194","9.51","441.5179","33.188","474.7059","0","running","acid","0.01"
"pf_100000","100000","101","1000101","159","14","9.514617348983194","9.51","8.932","acid","0.01","0.01","8.801089312501286","8.8","479.7046","34.119","513.8236","0","running","base","0.01"
"pf_100000","100000","101","1000101","159","15","8.801089312501286","8.8","8.932","base","0.01","0.01","9.514350218236551","9.51","435.2475","30.0479","465.2954","0","running","acid","0.01"
"pf_100000","100000","101","1000101","159","16","9.514350218236551","9.51","8.932","acid","0.01","0.01","8.800957513920665","8.8","529.4865","31.387","560.8735","0","running","base","0.01"
"pf_100000","100000","101","1000101","159","17","8.800957513920665","8.8","8.932","base","0.01","0.01","9.514083264802935","9.51","987.9489","32.462","1020.4109","0","running","acid","0.01"
"pf_100000","100000","101","1000101","159","18","9.514083264802935","9.51","8.932","acid","0.01","0.01","8.80082579739883","8.8","496.8026","36.2942","533.0968","0","running","base","0.01"
"pf_100000","100000","101","1000101","159","19","8.80082579739883","8.8","8.932","base","0.01","0.01","9.513816488453244","9.51","493.1983","46.016","539.2143","0","running","acid","0.01"
"pf_100000","100000","101","1000101","159","20","9.513816488453244","9.51","8.932","acid","0.01","0.01","8.800694162832173","8.8","538.4805","30.4536","568.9341","0","running","base","0.01"
"pf_100000","100000","101","1000101","159","21","8.800694162832173","8.8","8.932","base","0.01","0.01","9.51354988896091","9.51","490.4399","30.1128","520.5527","0","running","acid","0.01"
"pf_100000","100000","101","1000101","159","22","9.51354988896091","9.51","8.932","acid","0.01","0.01","8.800562610118732","8.8","467.4116","30.4029","497.8145","0","running","base","0.01"
"pf_100000","100000","101","1000101","159","23","8.800562610118732","8.8","8.932","base","0.01","0.01","9.513283466098926","9.51","454.7986","31.4978","486.2964","0","running","acid","0.01"
"pf_100000","100000","101","1000101","159","24","9.513283466098926","9.51","8.932","acid","0.01","0.01","8.800431139155648","8.8","515.6751","35.9367","551.6118","0","running","base","0.01"
"pf_100000","100000","101","1000101","159","25","8.800431139155648","8.8","8.932","base","0.01","0.01","9.513017219640489","9.51","497.9881","35.4967","533.4848","0","running","acid","0.01"
"pf_100000","100000","101","1000101","159","26","9.513017219640489","9.51","8.932","acid","0.01","0.01","8.800299749842452","8.8","453.7141","29.4399","483.154","0","running","base","0.01"
"pf_100000","100000","101","1000101","159","27","8.800299749842452","8.8","8.932","base","0.01","0.01","9.512751149359985","9.51","480.4396","30.8431","511.2827","0","running","acid","0.01"
