"method","particle_count","benchmark_seed","task_seed","task_id","true_k","initial_ph","measured_initial_ph","target_ph","steps","overshoots","total_volume_ml","final_true_ph","final_measured_ph","final_signed_error_ph","final_abs_error_ph","final_measured_abs_error_ph","true_success","strict_success","severe_failure","measured_success","false_stop","stop_reason","trajectory_records"
"pf_100000","100000","101","1000101","1","3","6.428","6.43","6.221","2","0","0.9400000000000001","6.324575965881568","6.32","0.10357596588156781","0.10357596588156781","0.0990000000000002","0","0","0","1","1","measured_success","3"
"pf_100000","100000","101","1000101","159","1","5.217","5.22","8.932","50","46","18.600000000000065","8.798729409711314","8.8","-0.13327059028868682","0.13327059028868682","0.13199999999999967","0","0","0","0","0","max_steps","51"
"pf_100000","100000","101","1000101","317","2","3.118","3.12","2.461","3","1","6.24","2.436836837793872","2.44","-0.024163162206127797","0.024163162206127797","0.020999999999999908","1","1","0","1","0","measured_success","4"
"pf_100000","100000","101","1000101","475","2","4.81","4.81","5.474","5","0","4.85","5.375578949971359","5.38","-0.09842105002864088","0.09842105002864088","0.0940000000000003","1","0","0","1","0","measured_success","6"
"pf_100000","100000","101","1000101","632","2","5.927","5.93","5.424","2","1","2.02","5.342140749134977","5.34","-0.08185925086502355","0.08185925086502355","0.08400000000000052","1","0","0","1","0","measured_success","3"
"pf_100000","100000","101","1000101","790","3","4.766","4.77","5.288","4","0","3.2899999999999996","5.188050140998872","5.19","-0.09994985900112852","0.09994985900112852","0.09799999999999986","1","0","0","1","0","measured_success","5"
"pf_100000","100000","101","1000101","948","2","4.488","4.49","2.494","3","2","7.4399999999999995","2.579303526156508","2.58","0.08530352615650783","0.08530352615650783","0.08599999999999985","1","0","0","1","0","measured_success","4"
"pf_100000","100000","101","1000101","1106","2","4.101","4.1","6.054","8","6","10.879999999999999","5.992459427731941","5.99","-0.061540572268059535","0.061540572268059535","0.06400000000000006","1","0","0","1","0","measured_success","9"
"pf_100000","100000","101","1000101","1264","1","6.679","6.68","3.077","4","2","14.14","3.162513088323796","3.16","0.085513088323796","0.085513088323796","0.08300000000000018","1","0","0","1","0","measured_success","5"
"pf_100000","100000","101","1000101","1422","2","3.238","3.24","3.569","6","0","3.21","3.479994256417352","3.48","-0.08900574358264812","0.08900574358264812","0.08899999999999997","1","0","0","1","0","measured_success","7"
"pf_100000","100000","101","1000101","1579","3","3.41","3.41","7.003","4","1","16.78","7.066716130028855","7.07","0.06371613002885468","0.06371613002885468","0.06700000000000017","1","0","0","1","0","measured_success","5"
"pf_100000","100000","101","1000101","1737","1","4.071","4.07","5.119","5","3","5.869999999999999","5.187915244153324","5.19","0.06891524415332384","0.06891524415332384","0.07100000000000062","1","0","0","1","0","measured_success","6"
"pf_100000","100000","101","1000101","1895","3","8.55","8.55","9.034","4","2","2.26","8.978527044888757","8.98","-0.055472955111243394","0.055472955111243394","0.05400000000000027","1","0","0","1","0","measured_success","5"
"pf_100000","100000","101","1000101","2053","3","2.622","2.62","4.456","8","2","20.189999999999994","4.400358130812986","4.4","-0.055641869187014414","0.055641869187014414","0.05600000000000005","1","0","0","1","0","measured_success","9"
"pf_100000","100000","101","1000101","2211","1","7.069","7.07","6.632","2","0","1.5499999999999998","6.685199525246425","6.69","0.05319952524642524","0.05319952524642524","0.05800000000000072","1","0","0","1","0","measured_success","3"
"pf_100000","100000","101","1000101","2369","3","2.332","2.33","2.572","2","0","1.01","2.495026529908313","2.5","-0.07697347009168709","0.07697347009168709","0.07200000000000006","1","0","0","1","0","measured_success","3"
"pf_100000","100000","101","1000101","2526","3","2.437","2.44","1.868","2","0","3.2199999999999998","1.9172465451638803","1.92","0.04924654516388016","0.04924654516388016","0.051999999999999824","1","1","0","1","0","measured_success","3"
