reward_variant,training_seed,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean,cap_activation_rate_percent,label,benchmark_seed,tasks_total
original_full,303,15000,93.94666666666667,45.28666666666666,1.7933333333333332,1.4200000000000002,5.196920238433154,7.325066666666666,3.0491333333333333,7.523136666666666,0.07850947507271246,64.60666666666667,original_full,pooled,15000
step_cost_0,303,15000,89.17333333333333,35.620000000000005,2.2066666666666666,2.7933333333333334,7.828424043062201,11.529533333333333,2.932933333333333,7.467604666666667,0.09528757308793068,51.580000000000005,step_cost_0,pooled,15000
step_cost_0p0025,303,15000,88.66000000000001,40.33333333333333,3.0733333333333333,1.82,6.452064064967291,10.768,2.8176666666666668,7.009898,0.10301407487987609,55.653333333333336,step_cost_0p0025,pooled,15000
step_cost_0p005,303,15000,91.86,38.913333333333334,2.7933333333333334,1.8866666666666667,6.487771246099136,9.333066666666667,2.704066666666667,7.1166393333333335,0.09608590874251995,50.63999999999999,step_cost_0p005,pooled,15000
step_cost_0p01,303,15000,89.17333333333333,35.620000000000005,2.2066666666666666,2.7933333333333334,7.828424043062201,11.529533333333333,2.932933333333333,7.467604666666667,0.09528757308793068,51.580000000000005,step_cost_0p01,pooled,15000
