scenario,seed_runs,tasks_mean,tasks_sd,success_rate_percent_mean,success_rate_percent_sd,strict_success_rate_percent_mean,strict_success_rate_percent_sd,severe_failure_rate_percent_mean,severe_failure_rate_percent_sd,successful_steps_mean_mean,successful_steps_mean_sd,total_volume_mean_ml_mean,total_volume_mean_ml_sd,final_abs_error_mean_mean,final_abs_error_mean_sd,pair_count_accuracy_percent_mean,pair_count_accuracy_percent_sd
nominal,5,300.0,0.0,95.66666666666667,1.5811388300841904,40.93333333333334,3.226625344088016,1.1333333333333333,0.6912147117775908,5.0018582325699885,0.3328284145375317,7.882766666666667,0.6128183186448221,0.07151481711080268,0.010758745521331572,45.666666666666664,2.677063067368168
pka_prior_narrow,5,300.0,0.0,96.13333333333335,1.4063348739819337,41.6,2.919284539441509,1.1333333333333333,0.7673909622147559,4.948685219339591,0.3525912528806355,7.886606666666665,0.6275852644152117,0.07049550334797618,0.012118108111867391,43.86666666666667,3.105550586360564
pka_prior_wide,5,300.0,0.0,95.8,1.1450376024878466,41.0,4.034572812303403,1.0,0.7071067811865476,4.9967779711447635,0.30180184610855676,7.86718,0.5973470946145504,0.07204012332264118,0.013103214090162067,45.266666666666666,2.4198255217175375
concentration_prior_narrow,5,300.0,0.0,95.86666666666667,1.0697871023920837,40.199999999999996,1.9804601036683944,1.0,0.6666666666666667,4.993719592331423,0.35113529488313877,7.8763733333333334,0.6454633118070215,0.0739007066532075,0.012761153859334583,47.4,2.722335598546056
concentration_prior_wide,5,300.0,0.0,95.73333333333333,0.7601169500660906,42.2,4.0661201818605095,0.9333333333333333,0.5477225575051662,4.95744848218804,0.3238699720940103,7.864613333333334,0.5946378966321522,0.06893785464548449,0.008649784572183955,44.06666666666667,2.900191564554161
likelihood_scale_0p05,5,300.0,0.0,95.46666666666667,1.4259499757471636,41.53333333333333,2.375803957494063,1.1333333333333333,0.6912147117775908,4.902203980226553,0.2931376858141692,7.876486666666667,0.6010064445947687,0.07159134139699017,0.010452750639191337,48.533333333333324,3.304878548785449
likelihood_scale_0p10,5,300.0,0.0,95.46666666666667,1.238278374733779,42.13333333333333,2.292499848539919,1.1333333333333333,0.6912147117775908,4.93591205266978,0.31887773772637246,7.872793333333334,0.625610925593713,0.07158000569686998,0.009681583801037579,46.93333333333334,1.9206480387850597
likelihood_scale_0p40,5,300.0,0.0,95.46666666666667,1.215638835254032,42.0,4.696334267868458,1.1333333333333333,0.6912147117775908,5.005599152912005,0.37187830212961975,7.865186666666666,0.6056712137969097,0.07133630451255345,0.010784440222695696,41.2,2.7648588471103617
pair_count_prior_favors_k1,5,300.0,0.0,95.60000000000001,1.4605934866804473,40.4,2.326179509649054,1.1333333333333333,0.6912147117775908,5.020793225528058,0.33911106694217485,7.841193333333334,0.6197276675192819,0.072305992378554,0.01023252854057808,44.8,3.0785999704050173
pair_count_prior_favors_k3,5,300.0,0.0,96.2,1.120515754264777,41.93333333333333,3.6696957185394363,0.9333333333333333,0.596284793999944,4.874542466983679,0.3115663768427224,7.548679999999999,0.5263940289048369,0.06898065164497406,0.009495540066759938,32.2,2.3874672772626657
