benchmark_seed,scenario,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,successful_steps_mean,total_volume_mean_ml,final_abs_error_mean,pair_count_accuracy_percent
101,nominal,300,95.66666666666667,40.666666666666664,1.6666666666666667,5.320557491289199,8.864166666666666,0.08162124557096238,49.666666666666664
101,pka_prior_narrow,300,95.66666666666667,40.666666666666664,2.0,5.320557491289199,8.890233333333333,0.08775102216950835,48.0
101,pka_prior_wide,300,95.33333333333334,39.0,1.6666666666666667,5.248251748251748,8.830833333333333,0.08332453703088362,49.0
101,concentration_prior_narrow,300,94.66666666666667,43.0,1.6666666666666667,5.401408450704225,8.914299999999999,0.08639442142777486,49.333333333333336
101,concentration_prior_wide,300,95.33333333333334,43.666666666666664,1.3333333333333335,5.370629370629371,8.836433333333332,0.07616651790059385,48.333333333333336
101,likelihood_scale_0p05,300,94.0,39.666666666666664,1.6666666666666667,5.24468085106383,8.852733333333333,0.08336756580751992,52.666666666666664
101,likelihood_scale_0p10,300,95.0,44.0,1.6666666666666667,5.294736842105263,8.9011,0.08120033873709606,48.333333333333336
101,likelihood_scale_0p40,300,94.0,42.0,1.6666666666666667,5.390070921985815,8.832866666666666,0.08207098814311274,45.666666666666664
101,pair_count_prior_favors_k1,300,95.0,39.666666666666664,1.6666666666666667,5.389473684210526,8.832533333333334,0.08367591461908008,49.333333333333336
101,pair_count_prior_favors_k3,300,95.0,40.666666666666664,1.3333333333333335,5.2631578947368425,8.4538,0.07912197355141774,34.0
202,nominal,300,97.0,38.333333333333336,1.3333333333333335,5.302405498281787,7.8591,0.07365566566381271,44.0
202,pka_prior_narrow,300,97.66666666666667,39.33333333333333,1.0,5.293515358361775,7.848966666666666,0.0640313002914593,46.0
202,pka_prior_wide,300,96.66666666666667,42.66666666666667,0.6666666666666667,5.317241379310345,7.855,0.06520898426544468,46.0
202,concentration_prior_narrow,300,96.33333333333334,39.33333333333333,0.6666666666666667,5.26643598615917,7.8529333333333335,0.06414448002211669,48.333333333333336
202,concentration_prior_wide,300,96.66666666666667,39.666666666666664,1.0,5.13448275862069,7.799166666666666,0.07178560600857052,42.0
202,likelihood_scale_0p05,300,97.0,40.33333333333333,1.3333333333333335,5.151202749140894,7.810566666666667,0.07343730188036429,47.333333333333336
202,likelihood_scale_0p10,300,97.0,42.0,1.3333333333333335,5.1993127147766325,7.800599999999999,0.07311234491051592,48.333333333333336
202,likelihood_scale_0p40,300,96.66666666666667,36.0,1.3333333333333335,5.341379310344828,7.859933333333333,0.07555576254648434,40.0
202,pair_count_prior_favors_k1,300,97.0,39.666666666666664,1.3333333333333335,5.305841924398625,7.821633333333333,0.07295073219737355,42.66666666666667
202,pair_count_prior_favors_k3,300,97.33333333333334,36.666666666666664,0.6666666666666667,5.123287671232877,7.458533333333332,0.0635016789389416,31.0
303,nominal,300,96.0,46.0,0.0,4.510416666666667,7.189399999999999,0.05548593525215938,43.0
303,pka_prior_narrow,300,97.0,46.33333333333333,0.0,4.501718213058419,7.183999999999999,0.05703317758922073,43.333333333333336
303,pka_prior_wide,300,96.66666666666667,47.333333333333336,0.0,4.562068965517241,7.210233333333332,0.05444830338583181,43.0
303,concentration_prior_narrow,300,96.0,40.0,0.0,4.524305555555555,7.170833333333333,0.058862234706667814,46.666666666666664
303,concentration_prior_wide,300,96.0,47.66666666666667,0.0,4.513888888888889,7.241266666666667,0.05473317300332429,45.33333333333333
303,likelihood_scale_0p05,300,95.66666666666667,45.0,0.0,4.543554006968641,7.220999999999999,0.056958095980942196,45.0
303,likelihood_scale_0p10,300,95.66666666666667,44.666666666666664,0.0,4.498257839721254,7.2082,0.057357975107816005,44.666666666666664
303,likelihood_scale_0p40,300,96.0,49.0,0.0,4.486111111111111,7.182566666666666,0.054372119080216226,38.333333333333336
303,pair_count_prior_favors_k1,300,96.33333333333334,43.333333333333336,0.0,4.546712802768166,7.139533333333333,0.05802360114182405,41.333333333333336
303,pair_count_prior_favors_k3,300,96.66666666666667,42.333333333333336,0.0,4.593103448275862,7.077933333333334,0.05770205652183423,32.0
404,nominal,300,96.66666666666667,41.66666666666667,1.0,4.9655172413793105,7.8573,0.06661577525027941,44.666666666666664
404,pka_prior_narrow,300,96.33333333333334,42.333333333333336,1.0,4.858131487889273,7.893533333333333,0.06621611903786469,41.333333333333336
404,pka_prior_wide,300,96.33333333333334,37.666666666666664,1.0,4.930795847750865,7.8284666666666665,0.07096114094850074,43.333333333333336
404,concentration_prior_narrow,300,97.33333333333334,41.0,1.3333333333333335,4.958904109589041,7.868766666666667,0.07304054292945977,43.0
404,concentration_prior_wide,300,96.0,43.0,1.0,4.954861111111111,7.8592,0.0672192935204827,41.0
404,likelihood_scale_0p05,300,96.66666666666667,43.0,1.0,4.8517241379310345,7.861533333333333,0.06576007597210565,51.33333333333333
404,likelihood_scale_0p10,300,96.0,41.0,1.0,4.840277777777778,7.8238666666666665,0.06707081383900683,45.0
404,likelihood_scale_0p40,300,96.33333333333334,40.33333333333333,1.0,4.9411764705882355,7.838866666666666,0.06773830458671805,40.33333333333333
404,pair_count_prior_favors_k1,300,96.33333333333334,42.0,1.0,4.961937716262976,7.816366666666666,0.06701452651288825,45.0
404,pair_count_prior_favors_k3,300,97.0,46.666666666666664,1.3333333333333335,4.824742268041237,7.368033333333333,0.06601575660431233,28.999999999999996
555,nominal,300,93.0,38.0,1.6666666666666667,4.910394265232975,7.643866666666666,0.08019546381679951,47.0
555,pka_prior_narrow,300,94.0,39.33333333333333,1.6666666666666667,4.7695035460992905,7.6163,0.0774458976518278,40.666666666666664
555,pka_prior_wide,300,94.0,38.333333333333336,1.6666666666666667,4.925531914893617,7.611366666666666,0.08625765098254506,45.0
555,concentration_prior_narrow,300,95.0,37.666666666666664,1.3333333333333335,4.817543859649123,7.575033333333334,0.08706185418001833,49.666666666666664
555,concentration_prior_wide,300,94.66666666666667,37.0,1.3333333333333335,4.813380281690141,7.5870000000000015,0.07478468279445118,43.666666666666664
555,likelihood_scale_0p05,300,94.0,39.666666666666664,1.6666666666666667,4.719858156028369,7.636599999999999,0.07843366734401881,46.33333333333333
555,likelihood_scale_0p10,300,93.66666666666667,39.0,1.6666666666666667,4.846975088967971,7.6301999999999985,0.07915855588991509,48.333333333333336
555,likelihood_scale_0p40,300,94.33333333333334,42.66666666666667,1.6666666666666667,4.869257950530035,7.611700000000001,0.07694434820623591,41.66666666666667
555,pair_count_prior_favors_k1,300,93.33333333333333,37.333333333333336,1.6666666666666667,4.9,7.5958999999999985,0.07986518742160405,45.666666666666664
555,pair_count_prior_favors_k3,300,95.0,43.333333333333336,1.3333333333333335,4.568421052631579,7.3850999999999996,0.07856179260836438,35.0
