task_seed,task_id,acid_type,difficulty,direction,pka_family,true_pair_count,initial_ph,target_ph,overshoot_cap_events,overshoot_cap_applied_steps,overshoot_cap_final_ml,true_success,strict_success,severe_failure,measured_success,false_stop,steps,overshoots,final_abs_error,total_volume_ml,acid_added_ml,base_added_ml,final_true_ph,final_measured_ph,stop_reason,label,training_seed,benchmark_seed,checkpoint_sha256,checkpoint_reward_variant,step_cost
1000555,558,monoprotic,medium,acid,single,1,4.826,3.194,3,2,0.4,1,1,0,1,0,5,3,0.020429792424840443,11.23,8.97,2.2600000000000002,3.1735702075751595,3.17,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,559,monoprotic,medium,acid,single,1,3.793,2.083,1,0,2.35,1,0,0,1,0,5,1,0.07262933479206879,6.960000000000001,4.7,2.2600000000000002,2.0103706652079314,2.0100000000000002,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,560,triprotic,near,acid,separated,3,5.42,4.956,2,1,0.515,1,1,0,1,0,2,2,0.02180982393081532,3.09,2.06,1.03,4.977809823930816,4.98,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,561,monoprotic,near,acid,single,1,3.437,3.068,1,1,1.03,1,0,0,1,0,2,1,0.0904321125101899,3.09,2.06,1.03,2.97756788748981,2.98,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,562,monoprotic,far,base,single,1,5.326,7.924,5,1,0.045,1,0,0,1,0,7,5,0.05805688685421817,11.379999999999999,3.94,7.4399999999999995,7.9820568868542185,7.98,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,563,triprotic,medium,base,separated,3,2.921,3.745,0,0,,1,0,0,1,0,1,0,0.09988156118727787,2.75,0.0,2.75,3.6451184388127222,3.65,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,564,triprotic,medium,acid,separated,3,3.046,2.058,0,0,,1,1,0,1,0,3,0,0.04127107287653242,8.02,8.02,0.0,2.0992710728765323,2.1,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,565,triprotic,medium,base,separated,3,4.283,5.834,0,0,,1,0,0,1,0,5,0,0.07203651711470727,11.43,0.0,11.43,5.761963482885292,5.76,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,566,triprotic,near,acid,separated,3,5.548,4.972,0,0,,1,1,0,1,0,1,0,0.021924780204851224,2.06,2.06,0.0,4.993924780204852,4.99,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,567,diprotic,near,base,separated,2,5.13,5.675,0,0,,1,0,0,1,0,10,0,0.09059535733359159,5.920000000000001,0.0,5.920000000000001,5.584404642666408,5.58,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000555,568,diprotic,medium,acid,separated,2,2.981,1.708,0,0,,1,0,0,1,0,2,0,0.06913225192927563,4.29,4.29,0.0,1.7771322519292756,1.78,measured_success,original_full,303,555,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
