scenario,task_seed,task_id,direction,difficulty,true_pair_count,success,strict_success,severe_failure,steps,total_volume_ml,final_abs_error,estimated_pair_count,estimated_concentration_m,benchmark_seed
nominal,7000202,1,base,far,3,1,1,0,4,11.079999999999998,0.01906009716336321,3,0.0986059095647859,202
pka_prior_narrow,7000202,1,base,far,3,1,0,0,5,10.75,0.0795392415420828,3,0.10785430194106435,202
pka_prior_wide,7000202,1,base,far,3,1,0,0,6,10.870000000000001,0.057752195873133516,3,0.10199290421782028,202
concentration_prior_narrow,7000202,1,base,far,3,1,0,0,5,11.98,0.05327734961998409,3,0.10613961985393305,202
concentration_prior_wide,7000202,1,base,far,3,1,1,0,5,10.959999999999999,0.041264433456255745,3,0.0954709632540427,202
likelihood_scale_0p05,7000202,1,base,far,3,1,0,0,6,10.819999999999999,0.06685607690270778,3,0.08031153056422587,202
likelihood_scale_0p10,7000202,1,base,far,3,1,0,0,5,10.69,0.09035648238504912,3,0.08911204795595927,202
likelihood_scale_0p40,7000202,1,base,far,3,1,0,0,3,10.72,0.08495386005857952,3,0.11281824831141894,202
pair_count_prior_favors_k1,7000202,1,base,far,3,1,1,0,4,11.36,0.033904070407778875,2,0.14476611746916893,202
pair_count_prior_favors_k3,7000202,1,base,far,3,1,1,0,4,11.079999999999998,0.01906009716336321,3,0.0986059095647859,202
nominal,7000202,2,base,near,1,1,1,0,3,6.04,0.007242883714551063,2,0.02990900734571715,202
pka_prior_narrow,7000202,2,base,near,1,1,1,0,3,6.109999999999999,0.023582932284624825,2,0.026212762107397043,202
pka_prior_wide,7000202,2,base,near,1,1,1,0,3,6.01,0.011768283622253684,3,0.02858721918768487,202
concentration_prior_narrow,7000202,2,base,near,1,1,0,0,1,1.37,0.0969239830626547,1,0.08968559233609838,202
concentration_prior_wide,7000202,2,base,near,1,1,1,0,3,6.0,0.0017136161087707436,1,0.047269377064073886,202
likelihood_scale_0p05,7000202,2,base,near,1,1,1,0,3,6.04,0.007242883714551063,2,0.03571832244718991,202
likelihood_scale_0p10,7000202,2,base,near,1,1,1,0,3,6.04,0.007242883714551063,2,0.030140389707559515,202
likelihood_scale_0p40,7000202,2,base,near,1,1,1,0,3,6.04,0.007242883714551063,2,0.03094463798501155,202
pair_count_prior_favors_k1,7000202,2,base,near,1,1,1,0,3,6.0600000000000005,0.0017138189861460873,1,0.04786079901477126,202
pair_count_prior_favors_k3,7000202,2,base,near,1,1,0,0,1,1.37,0.0969239830626547,3,0.08364498829034336,202
nominal,7000202,3,base,medium,1,1,1,0,7,5.22,0.03969905779258642,1,0.1513999967976548,202
pka_prior_narrow,7000202,3,base,medium,1,1,1,0,7,5.3,0.039684176791126013,1,0.15458004196922787,202
pka_prior_wide,7000202,3,base,medium,1,1,0,0,7,5.25,0.05304213212853437,3,0.051227595063634515,202
concentration_prior_narrow,7000202,3,base,medium,1,1,1,0,7,5.22,0.03969905779258642,1,0.15324956127058817,202
concentration_prior_wide,7000202,3,base,medium,1,1,1,0,7,5.43,0.02590447903154658,2,0.07744037803248116,202
likelihood_scale_0p05,7000202,3,base,medium,1,1,0,0,7,5.25,0.05304213212853437,2,0.0701503538959647,202
likelihood_scale_0p10,7000202,3,base,medium,1,1,0,0,7,5.25,0.05304213212853437,1,0.15136467619301902,202
likelihood_scale_0p40,7000202,3,base,medium,1,1,0,0,7,5.21,0.05304958150395134,1,0.1516256227988559,202
pair_count_prior_favors_k1,7000202,3,base,medium,1,1,1,0,7,5.22,0.03969905779258642,1,0.1513999967976548,202
pair_count_prior_favors_k3,7000202,3,base,medium,1,1,1,0,3,4.4399999999999995,0.039844175297642614,1,0.151357265142123,202
nominal,7000202,4,base,medium,2,1,1,0,9,7.58,0.03147046967082279,2,0.15781007015606496,202
pka_prior_narrow,7000202,4,base,medium,2,1,1,0,9,7.58,0.03147046967082279,3,0.10499170928805071,202
pka_prior_wide,7000202,4,base,medium,2,1,1,0,9,7.58,0.03147046967082279,2,0.15783490263937125,202
concentration_prior_narrow,7000202,4,base,medium,2,1,1,0,9,7.58,0.03147046967082279,2,0.15761074056575608,202
concentration_prior_wide,7000202,4,base,medium,2,1,1,0,9,7.58,0.03147046967082279,1,0.316261453958689,202
likelihood_scale_0p05,7000202,4,base,medium,2,1,1,0,9,7.58,0.03147046967082279,3,0.105002564736321,202
likelihood_scale_0p10,7000202,4,base,medium,2,1,1,0,9,7.58,0.03147046967082279,3,0.10513726073303933,202
likelihood_scale_0p40,7000202,4,base,medium,2,1,1,0,9,7.58,0.03147046967082279,2,0.1576155423787705,202
pair_count_prior_favors_k1,7000202,4,base,medium,2,1,1,0,9,7.58,0.03147046967082279,2,0.15781007015606496,202
pair_count_prior_favors_k3,7000202,4,base,medium,2,1,1,0,9,7.58,0.03147046967082279,2,0.15781007015606496,202
nominal,7000202,5,acid,near,3,1,0,0,5,5.18,0.05268804739165667,3,0.07509514360484049,202
pka_prior_narrow,7000202,5,acid,near,3,1,0,0,4,4.6,0.09511461257751463,3,0.07168009633143071,202
pka_prior_wide,7000202,5,acid,near,3,1,1,0,3,5.03,0.04580020092426729,3,0.07255512710910264,202
concentration_prior_narrow,7000202,5,acid,near,3,1,1,0,5,5.33,0.04580161016107631,3,0.07553712558866849,202
concentration_prior_wide,7000202,5,acid,near,3,1,0,0,4,4.640000000000001,0.09511440068354382,3,0.0918043091590473,202
likelihood_scale_0p05,7000202,5,acid,near,3,1,1,0,5,5.17,0.04580085856889404,2,0.0809614331336215,202
likelihood_scale_0p10,7000202,5,acid,near,3,1,1,0,5,5.07,0.032251992855844236,3,0.08774501090331598,202
likelihood_scale_0p40,7000202,5,acid,near,3,1,0,0,5,5.18,0.05268804739165667,3,0.08489802289203517,202
pair_count_prior_favors_k1,7000202,5,acid,near,3,1,0,0,3,4.140000000000001,0.08103616788634582,3,0.07660967868977511,202
pair_count_prior_favors_k3,7000202,5,acid,near,3,1,1,0,2,1.1600000000000001,0.025380964114635418,3,0.09100277964038737,202
nominal,7000202,6,acid,medium,2,1,0,0,6,5.34,0.08332520944292021,1,0.10304622167916513,202
pka_prior_narrow,7000202,6,acid,medium,2,1,0,0,6,5.34,0.08332520944292021,1,0.10323770882346565,202
pka_prior_wide,7000202,6,acid,medium,2,1,0,0,6,5.34,0.08332520944292021,1,0.10299689512815559,202
concentration_prior_narrow,7000202,6,acid,medium,2,1,0,0,6,5.34,0.08332520944292021,3,0.1076215298176976,202
concentration_prior_wide,7000202,6,acid,medium,2,1,0,0,6,5.34,0.08332520944292021,1,0.1053257973197658,202
likelihood_scale_0p05,7000202,6,acid,medium,2,1,0,0,6,5.34,0.08332520944292021,3,0.07766165241644987,202
likelihood_scale_0p10,7000202,6,acid,medium,2,1,0,0,6,5.34,0.08332520944292021,1,0.10262680957325804,202
likelihood_scale_0p40,7000202,6,acid,medium,2,1,0,0,6,5.34,0.08332520944292021,1,0.10455197919356055,202
pair_count_prior_favors_k1,7000202,6,acid,medium,2,1,0,0,6,5.34,0.08332520944292021,1,0.10304622167916513,202
pair_count_prior_favors_k3,7000202,6,acid,medium,2,1,0,0,6,5.34,0.08332520944292021,3,0.1027168004043453,202
