scenario,task_seed,task_id,direction,difficulty,true_pair_count,success,strict_success,severe_failure,steps,total_volume_ml,final_abs_error,estimated_pair_count,estimated_concentration_m,benchmark_seed
nominal,7000404,1,base,near,2,1,0,0,7,3.5,0.09586070797600543,1,0.11227920231444459,404
pka_prior_narrow,7000404,1,base,near,2,1,0,0,7,3.5,0.09586070797600543,1,0.11226641041602456,404
pka_prior_wide,7000404,1,base,near,2,1,0,0,7,3.5,0.09586070797600543,1,0.11139748479720968,404
concentration_prior_narrow,7000404,1,base,near,2,1,0,0,7,3.5,0.09586070797600543,3,0.11210396269557879,404
concentration_prior_wide,7000404,1,base,near,2,1,0,0,7,3.5,0.09586070797600543,1,0.11226847514763102,404
likelihood_scale_0p05,7000404,1,base,near,2,1,0,0,7,3.5,0.09586070797600543,1,0.12320652134801868,404
likelihood_scale_0p10,7000404,1,base,near,2,1,0,0,7,3.5,0.09586070797600543,1,0.1173616692113282,404
likelihood_scale_0p40,7000404,1,base,near,2,1,0,0,7,3.5,0.09586070797600543,1,0.10900331066320247,404
pair_count_prior_favors_k1,7000404,1,base,near,2,1,0,0,7,3.5,0.09586070797600543,1,0.11227920231444459,404
pair_count_prior_favors_k3,7000404,1,base,near,2,1,0,0,7,3.5,0.09586070797600543,3,0.14652750802578843,404
nominal,7000404,2,acid,near,1,1,1,0,1,0.86,0.03656197204436751,1,0.10327408784334506,404
pka_prior_narrow,7000404,2,acid,near,1,1,1,0,1,0.86,0.03656197204436751,2,0.09917829492549163,404
pka_prior_wide,7000404,2,acid,near,1,1,1,0,1,0.86,0.03656197204436751,1,0.10263788826450418,404
concentration_prior_narrow,7000404,2,acid,near,1,1,1,0,1,0.86,0.03656197204436751,1,0.09942931251491115,404
concentration_prior_wide,7000404,2,acid,near,1,1,1,0,1,0.86,0.03656197204436751,1,0.12534176606291098,404
likelihood_scale_0p05,7000404,2,acid,near,1,1,1,0,1,0.86,0.03656197204436751,1,0.08124330943171859,404
likelihood_scale_0p10,7000404,2,acid,near,1,1,1,0,1,0.86,0.03656197204436751,1,0.09774830450003194,404
likelihood_scale_0p40,7000404,2,acid,near,1,1,1,0,1,0.86,0.03656197204436751,1,0.10407617414512596,404
pair_count_prior_favors_k1,7000404,2,acid,near,1,1,1,0,1,0.86,0.03656197204436751,1,0.10327408784334506,404
pair_count_prior_favors_k3,7000404,2,acid,near,1,1,1,0,1,0.86,0.03656197204436751,3,0.09634138153921641,404
nominal,7000404,3,acid,near,2,1,1,0,3,3.5,0.04236864527704398,3,0.06950744643260029,404
pka_prior_narrow,7000404,3,acid,near,2,1,1,0,3,3.5,0.04236864527704398,2,0.07968502918126882,404
pka_prior_wide,7000404,3,acid,near,2,1,1,0,3,3.5,0.04236864527704398,1,0.101544604550122,404
concentration_prior_narrow,7000404,3,acid,near,2,1,1,0,3,3.5,0.04236864527704398,1,0.08268758996113662,404
