scenario,task_seed,task_id,direction,difficulty,true_pair_count,success,strict_success,severe_failure,steps,total_volume_ml,final_abs_error,estimated_pair_count,estimated_concentration_m,benchmark_seed
nominal,7000303,1,base,medium,2,1,1,0,4,4.96,0.008592737862416655,1,0.17223020112810483,303
pka_prior_narrow,7000303,1,base,medium,2,1,1,0,4,4.96,0.008592737862416655,3,0.05771992968865857,303
pka_prior_wide,7000303,1,base,medium,2,1,1,0,4,4.96,0.008592737862416655,2,0.08630396513909395,303
concentration_prior_narrow,7000303,1,base,medium,2,1,1,0,4,4.96,0.008592737862416655,3,0.05798193645135248,303
concentration_prior_wide,7000303,1,base,medium,2,1,1,0,4,4.96,0.008592737862416655,2,0.08619255834499379,303
likelihood_scale_0p05,7000303,1,base,medium,2,1,1,0,4,4.96,0.008592737862416655,1,0.17279765803996294,303
likelihood_scale_0p10,7000303,1,base,medium,2,1,1,0,4,4.96,0.008592737862416655,1,0.17265694718072966,303
likelihood_scale_0p40,7000303,1,base,medium,2,1,1,0,4,4.96,0.008592737862416655,1,0.17233814096282052,303
pair_count_prior_favors_k1,7000303,1,base,medium,2,1,1,0,4,4.96,0.008592737862416655,1,0.17223020112810483,303
pair_count_prior_favors_k3,7000303,1,base,medium,2,1,0,0,8,11.45,0.09815941332051281,3,0.057948217376999955,303
nominal,7000303,2,acid,medium,3,1,1,0,4,9.67,0.01397213960941368,3,0.11792282448147691,303
pka_prior_narrow,7000303,2,acid,medium,3,1,0,0,3,9.239999999999998,0.0684209128746831,3,0.10077062941750385,303
pka_prior_wide,7000303,2,acid,medium,3,1,0,0,3,9.96,0.07232088921768831,3,0.09415519765724749,303
concentration_prior_narrow,7000303,2,acid,medium,3,1,0,0,3,9.19,0.07770577679654256,3,0.10415197529305159,303
concentration_prior_wide,7000303,2,acid,medium,3,1,0,0,3,9.219999999999999,0.07214185307171928,3,0.10664919706018428,303
likelihood_scale_0p05,7000303,2,acid,medium,3,1,1,0,3,9.43,0.032592295832627904,3,0.10443333379171925,303
likelihood_scale_0p10,7000303,2,acid,medium,3,1,1,0,3,9.42,0.034500186515763254,3,0.10954290016294757,303
likelihood_scale_0p40,7000303,2,acid,medium,3,1,1,0,4,9.56,0.007557249112726261,3,0.12353682202612679,303
pair_count_prior_favors_k1,7000303,2,acid,medium,3,1,0,0,4,9.31,0.05532301758950364,2,0.1495554995366783,303
pair_count_prior_favors_k3,7000303,2,acid,medium,3,1,1,0,4,9.67,0.01397213960941368,3,0.11792282448147691,303
