comparison,method,training_seed,evaluation_seed,paired_tasks,pf_only_success,comparison_only_success,success_difference_pp,exact_mcnemar_p
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,303,903,3000,1030,534,-16.53333333333334,1.5498141809522046e-36
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,303,904,3000,1021,527,-16.46666666666667,1.2773521404806943e-36
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,303,905,3000,1047,505,-18.06666666666667,8.694177705413228e-44
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,303,901,3000,597,759,5.400000000000006,1.2029507618644673e-05
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,303,902,3000,570,724,5.13333333333334,2.0627486667011595e-05
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,303,903,3000,614,749,4.499999999999986,0.0002809115912603388
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,303,904,3000,576,741,5.5,6.048846154498298e-06
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,303,905,3000,611,715,3.4666666666666686,0.004657601081222466
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,404,901,3000,186,890,23.46666666666667,1.396051854404517e-110
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,404,902,3000,154,882,24.26666666666668,1.5492388891168548e-124
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,404,903,3000,177,869,23.066666666666663,3.7145408235178396e-110
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,404,904,3000,184,894,23.66666666666667,2.1887685136093455e-112
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,404,905,3000,194,842,21.60000000000001,1.0363857093492205e-96
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,404,901,3000,1262,351,-30.366666666666667,1.7249959178450715e-120
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,404,902,3000,1286,359,-30.89999999999999,2.8531353939878575e-122
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,404,903,3000,1319,315,-33.466666666666676,6.569611897066379e-146
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,404,904,3000,1318,346,-32.400000000000006,2.143963097509073e-133
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,404,905,3000,1349,351,-33.266666666666666,1.0795153618236723e-137
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,404,901,3000,355,851,16.53333333333333,1.9823873876148537e-47
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,404,902,3000,368,826,15.26666666666668,6.447107934338879e-41
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,404,903,3000,374,814,14.666666666666657,5.236751701516419e-38
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,404,904,3000,372,836,15.466666666666669,1.7254332399837758e-41
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,404,905,3000,388,807,13.966666666666669,2.429893436736168e-34
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,555,901,3000,158,886,24.266666666666666,2.2748999808513754e-123
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,555,902,3000,144,849,23.500000000000014,3.451283322683073e-122
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,555,903,3000,162,856,23.133333333333326,1.679348413286467e-114
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,555,904,3000,160,861,23.36666666666666,1.2371120325472285e-116
ppo_from_pf_imitation_minus_pf_posterior_direct,ppo_from_pf_imitation,555,905,3000,181,842,22.03333333333333,2.0721098695854386e-102
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,555,901,3000,1220,318,-30.066666666666663,1.8014135569306684e-124
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,555,902,3000,1262,336,-30.866666666666653,5.091847705116823e-126
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,555,903,3000,1238,312,-30.866666666666674,1.9168540262109717e-130
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,555,904,3000,1252,321,-31.03333333333333,9.371908540037698e-130
random_actor_untrained_minus_pf_posterior_direct,random_actor_untrained,555,905,3000,1262,307,-31.833333333333336,2.2606966960586403e-137
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,555,901,3000,259,889,21.0,3.252432501149603e-81
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,555,902,3000,275,877,20.066666666666677,1.2124814922590295e-73
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,555,903,3000,278,844,18.86666666666666,9.402288799005264e-67
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,555,904,3000,265,871,20.200000000000003,8.482321916251848e-76
ppo_from_random_minus_pf_posterior_direct,ppo_from_random,555,905,3000,273,843,19.0,4.098091189888186e-68
