environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean,actor_loss,critic_loss,entropy,post_final_batch
0,500,88.4,29.799999999999997,3.2,2.6,8.081447963800905,12.176,3.568,8.04256,0.11482017455474004,,,,
10013,500,88.4,32.4,4.3999999999999995,3.5999999999999996,7.771493212669683,11.556,3.976,8.3159,0.13120636039973294,-0.06350372814469868,5.128599034415351,4.625574125183953,
20001,500,84.2,30.4,7.199999999999999,2.8000000000000003,9.190023752969122,13.1,3.112,10.313320000000001,0.2501115765034455,-0.09176912885676655,4.774555703004201,4.692451225386725,
30009,500,81.39999999999999,28.599999999999998,10.4,3.8,8.336609336609337,11.744,2.818,11.2973,0.30495910539383986,-0.03778492387694617,5.0088624358177185,4.521875090069241,
40006,500,87.0,32.4,6.0,2.4,8.119540229885057,12.254,3.694,9.00352,0.1562807013578486,-0.045024324383120984,4.068071782588959,4.48372095823288,
50004,500,82.39999999999999,29.799999999999997,6.4,4.2,8.779126213592233,14.352,4.06,8.80718,0.17071878475290278,-0.037900307125204966,4.530061576101515,4.351304199960497,
60002,500,83.39999999999999,31.6,5.800000000000001,4.0,7.047961630695443,11.804,4.15,9.002060000000002,0.1750967614990097,-0.10673255007714033,3.551450334903267,4.433494011561076,
70038,500,86.2,38.6,7.6,2.0,6.654292343387471,11.21,3.788,9.05332,0.18211252495301192,-0.03190652609595822,3.936349239614275,4.286257836553785,
80002,500,83.6,34.8,5.2,2.1999999999999997,8.04066985645933,13.724,3.918,8.18034,0.1687254144227336,-0.003918969512192739,3.6957295652892856,4.109272287951575,
90005,500,87.0,35.199999999999996,5.800000000000001,2.6,6.92183908045977,11.55,3.992,8.627640000000001,0.157897124176401,-0.03599400417361823,3.0648273229599,3.987137794494629,
100002,500,85.6,38.800000000000004,5.6000000000000005,3.0,6.007009345794392,10.828,3.926,8.84926,0.1456750195163077,-0.03998086733433107,2.9853368997573853,4.109285682439804,1
