particles,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,successful_steps_mean,final_abs_error_mean,controller_ms_per_step_median,controller_ms_per_step_mean,peak_tracemalloc_mib_median,time_ratio_vs_first
1000,100,98.0,47.0,0.0,4.918367346938775,0.055461184039940076,65.30524423214956,77.6222371249931,0.15273475646972656,1.0
10000,100,98.0,47.0,0.0,4.653061224489796,0.05311268973104996,175.97017499974754,193.57899701060572,1.391341209411621,2.6945795405680144
100000,100,97.0,50.0,0.0,4.680412371134021,0.050426441224824196,1265.4589750000014,1331.8010069077206,13.779739379882812,19.377601138761534
