a2c/imitation/seed101: 5035 interactions, success=87.40%
a2c/imitation/seed101: 10002 interactions, success=87.70%
a2c/imitation/seed101: 15029 interactions, success=87.00%
a2c/imitation/seed101: 20004 interactions, success=87.60%
a2c/imitation/seed101: 25041 interactions, success=86.40%
a2c/random/seed101: 5008 interactions, success=40.10%
a2c/random/seed101: 10010 interactions, success=31.10%
a2c/random/seed101: 15039 interactions, success=42.70%
a2c/random/seed101: 20022 interactions, success=60.70%
a2c/random/seed101: 25028 interactions, success=58.20%
