ppo/imitation/seed202: 5012 interactions, success=88.40%
ppo/imitation/seed202: 10003 interactions, success=88.30%
ppo/imitation/seed202: 15046 interactions, success=88.20%
ppo/imitation/seed202: 20008 interactions, success=88.20%
ppo/imitation/seed202: 25028 interactions, success=88.30%
ppo/random/seed202: 5017 interactions, success=35.70%
ppo/random/seed202: 10004 interactions, success=34.00%
ppo/random/seed202: 15026 interactions, success=58.00%
ppo/random/seed202: 20016 interactions, success=40.50%
ppo/random/seed202: 25007 interactions, success=58.80%
