ppo/imitation/seed101: 5016 interactions, success=88.00%
ppo/imitation/seed101: 10014 interactions, success=87.60%
ppo/imitation/seed101: 15020 interactions, success=87.30%
ppo/imitation/seed101: 20004 interactions, success=87.80%
ppo/imitation/seed101: 25041 interactions, success=87.90%
ppo/random/seed101: 5041 interactions, success=19.90%
ppo/random/seed101: 10006 interactions, success=19.90%
ppo/random/seed101: 15023 interactions, success=36.10%
ppo/random/seed101: 20008 interactions, success=23.00%
ppo/random/seed101: 25032 interactions, success=19.90%
