a2c/imitation/seed202: 5035 interactions, success=87.30%
a2c/imitation/seed202: 10000 interactions, success=87.80%
a2c/imitation/seed202: 15029 interactions, success=88.10%
a2c/imitation/seed202: 20002 interactions, success=86.80%
a2c/imitation/seed202: 25004 interactions, success=88.00%
a2c/random/seed202: 5039 interactions, success=33.50%
a2c/random/seed202: 10026 interactions, success=36.30%
a2c/random/seed202: 15010 interactions, success=72.30%
a2c/random/seed202: 20005 interactions, success=49.30%
a2c/random/seed202: 25022 interactions, success=49.40%
