a2c/imitation/seed555: 5040 interactions, success=85.90%
a2c/imitation/seed555: 10003 interactions, success=82.50%
a2c/imitation/seed555: 15027 interactions, success=77.80%
a2c/imitation/seed555: 20010 interactions, success=79.00%
a2c/imitation/seed555: 25016 interactions, success=80.80%
a2c/random/seed555: 5033 interactions, success=39.60%
a2c/random/seed555: 10000 interactions, success=34.90%
a2c/random/seed555: 15006 interactions, success=47.10%
a2c/random/seed555: 20032 interactions, success=45.60%
a2c/random/seed555: 25009 interactions, success=45.60%
