a2c/imitation/seed303: 5000 interactions, success=88.10%
a2c/imitation/seed303: 10030 interactions, success=86.80%
a2c/imitation/seed303: 15001 interactions, success=87.10%
a2c/imitation/seed303: 20016 interactions, success=83.90%
a2c/imitation/seed303: 25006 interactions, success=85.30%
a2c/random/seed303: 5010 interactions, success=51.40%
a2c/random/seed303: 10019 interactions, success=54.00%
a2c/random/seed303: 15028 interactions, success=55.80%
a2c/random/seed303: 20012 interactions, success=49.60%
a2c/random/seed303: 25045 interactions, success=49.60%
