ppo/imitation/seed555: 5034 interactions, success=87.80%
ppo/imitation/seed555: 10044 interactions, success=87.90%
ppo/imitation/seed555: 15016 interactions, success=87.90%
ppo/imitation/seed555: 20001 interactions, success=87.40%
ppo/imitation/seed555: 25006 interactions, success=87.50%
ppo/random/seed555: 5021 interactions, success=52.50%
ppo/random/seed555: 10013 interactions, success=66.20%
ppo/random/seed555: 15049 interactions, success=60.40%
ppo/random/seed555: 20023 interactions, success=52.30%
ppo/random/seed555: 25009 interactions, success=47.10%
