ppo/imitation/seed303: 5035 interactions, success=88.50%
ppo/imitation/seed303: 10046 interactions, success=88.60%
ppo/imitation/seed303: 15003 interactions, success=88.60%
ppo/imitation/seed303: 20010 interactions, success=88.50%
ppo/imitation/seed303: 25010 interactions, success=88.60%
ppo/random/seed303: 5012 interactions, success=50.20%
ppo/random/seed303: 10024 interactions, success=35.90%
ppo/random/seed303: 15019 interactions, success=33.60%
ppo/random/seed303: 20007 interactions, success=34.50%
ppo/random/seed303: 25005 interactions, success=36.90%
