algorithm,initialization,seed,task_seed,task_id,acid_type,pka_values,initial_ph,target_ph,true_success,strict_success,severe_failure,measured_success,false_stop,steps,overshoots,final_abs_error,final_measured_abs_error,total_volume_ml,acid_added_ml,base_added_ml,final_true_ph,final_measured_ph
ppo,imitation,101,200101,1,triprotic,"[2.664294825590957, 4.5640348064121445, 7.030719132633347]",1.86,7.83,1,0,0,1,0,8,0,0.09306750360527083,0.09306750360527083,31.190000000000005,0.0,31.190000000000005,7.736932496394729,7.736932496394729
ppo,imitation,101,200101,2,triprotic,"[3.952126665278123, 4.8450968165931005, 7.79703747230857]",2.48,2.76,1,1,0,1,0,2,1,0.007038147649145898,0.007038147649145898,1.0,0.26,0.74,2.7670381476491457,2.7670381476491457
ppo,imitation,101,200101,3,triprotic,"[2.021968104508721, 4.4501176047476925, 6.9751266258394455]",1.58,9.72,1,0,0,1,0,13,6,0.06452201891690557,0.06452201891690557,39.65999999999999,3.33,36.32999999999999,9.655477981083095,9.655477981083095
ppo,imitation,101,200101,4,triprotic,"[3.5037697251652107, 4.323228493807566, 7.055351928865466]",2.26,10.07,1,0,0,1,0,14,7,0.061492225453257277,0.061492225453257277,40.14,3.5399999999999996,36.6,10.131492225453258,10.131492225453258
ppo,imitation,101,200101,5,triprotic,"[2.1329643906716775, 4.811145269359487, 6.116266845325613]",1.62,7.76,1,0,0,1,0,10,2,0.059905245192348744,0.059905245192348744,33.88,0.5800000000000001,33.300000000000004,7.700094754807651,7.700094754807651
ppo,imitation,101,200101,6,triprotic,"[2.14779984139429, 5.485698115163724, 7.105457641222138]",1.63,9.7,1,1,0,1,0,15,7,0.016595614328981156,0.016595614328981156,40.599999999999994,3.8,36.8,9.71659561432898,9.71659561432898
ppo,imitation,101,200101,7,triprotic,"[3.2747843141653457, 4.509575846817149, 6.561194824179966]",2.15,8.95,1,1,0,1,0,10,3,0.006036514602602239,0.006036514602602239,34.82000000000001,0.9299999999999999,33.89000000000001,8.956036514602602,8.956036514602602
ppo,imitation,101,200101,8,diprotic,"[2.0974069331405136, 5.170605643533603]",1.61,7.17,1,0,0,1,0,12,6,0.07715384855866425,0.07715384855866425,26.43,2.2800000000000002,24.15,7.092846151441336,7.092846151441336
ppo,imitation,101,200101,9,monoprotic,[2.771062100409859],1.91,8.97,0,0,1,0,0,50,44,1.3541623067855841,1.3541623067855841,29.460000000000022,9.229999999999993,20.23000000000003,7.6158376932144165,7.6158376932144165
ppo,imitation,101,200101,10,diprotic,"[3.7305758397908093, 4.921833026867874]",2.37,5.74,1,1,0,1,0,8,0,0.03898774098546731,0.03898774098546731,20.400000000000002,0.0,20.400000000000002,5.701012259014533,5.701012259014533
ppo,random,101,200101,1,triprotic,"[2.664294825590957, 4.5640348064121445, 7.030719132633347]",1.86,7.83,0,0,1,0,0,50,0,4.686625991589681,4.686625991589681,8.499999999999998,0.0,8.499999999999998,3.143374008410319,3.143374008410319
ppo,random,101,200101,2,triprotic,"[3.952126665278123, 4.8450968165931005, 7.79703747230857]",2.48,2.76,1,0,0,1,0,2,0,0.07364120717626044,0.07364120717626044,0.34,0.0,0.34,2.6863587928237393,2.6863587928237393
ppo,random,101,200101,3,triprotic,"[2.021968104508721, 4.4501176047476925, 6.9751266258394455]",1.58,9.72,0,0,1,0,0,50,0,7.094570950923954,7.094570950923954,8.499999999999998,0.0,8.499999999999998,2.625429049076047,2.625429049076047
