benchmark_seed,checkpoint_type,observations,tasks,local_rmse_0p1_ml_mean,local_rmse_0p1_ml_median,local_rmse_0p1_ml_le_0p05_percent,local_rmse_0p1_ml_le_0p10_percent,local_rmse_0p5_ml_mean,local_rmse_0p5_ml_median,local_rmse_0p5_ml_le_0p05_percent,local_rmse_0p5_ml_le_0p10_percent,local_rmse_1p0_ml_mean,local_rmse_1p0_ml_median,local_rmse_1p0_ml_le_0p05_percent,local_rmse_1p0_ml_le_0p10_percent
101,fixed_observation_count,0,300,0.028424918441399605,0.00601341115219866,92.33333333333333,95.66666666666667,0.1992452031102499,0.03441924314453184,62.33333333333333,77.33333333333333,0.42218524066050267,0.07848794503261489,36.0,56.333333333333336
101,fixed_observation_count,1,300,0.029853493244366487,0.003052901113144887,93.33333333333333,95.0,0.14683253641104416,0.016678561476150825,75.66666666666667,85.66666666666667,0.3074365976398114,0.03893810545551121,55.666666666666664,71.33333333333334
101,fixed_observation_count,2,300,0.06013393001708877,0.003610208772774173,94.33333333333334,95.33333333333334,0.18428469526754165,0.019218209714819395,72.66666666666667,83.33333333333334,0.3278769294934193,0.04497417865764766,53.0,67.66666666666666
101,fixed_observation_count,3,300,0.04702087465361953,0.004201789671879886,91.0,94.66666666666667,0.21239567789802832,0.022386446809411598,67.66666666666666,81.33333333333333,0.37203191536650093,0.057255636960210896,47.333333333333336,61.0
101,fixed_observation_count,5,300,0.07472073340787266,0.004055901014519674,89.33333333333333,91.66666666666666,0.2048645739201152,0.02555413513784533,65.33333333333333,74.33333333333333,0.3348017974032946,0.0597982461847045,45.33333333333333,61.66666666666667
101,fixed_observation_count,8,300,0.06933086360786445,0.0047378285583526275,84.66666666666667,89.33333333333333,0.1673003018504785,0.028757699829459017,64.66666666666666,73.33333333333333,0.29011622756164096,0.05833419414806483,48.0,65.33333333333333
101,fixed_observation_count,12,300,0.04613484623072655,0.005321546823996406,84.66666666666667,92.66666666666666,0.14675512336136107,0.02819369150405019,65.0,77.33333333333333,0.2759725937687232,0.05031538179810155,50.0,67.0
101,natural_control_end,natural,300,0.056695291735678215,0.005575440021513837,83.66666666666667,90.0,0.15640680284666947,0.02858079554535921,64.0,76.33333333333333,0.2771155829528686,0.05904218891846853,47.66666666666667,66.0
202,fixed_observation_count,0,300,0.024296146603397326,0.006151699714626804,92.33333333333333,97.66666666666667,0.20460055205472066,0.03257196177399113,64.0,77.33333333333333,0.48170711899381774,0.07349269556014607,40.33333333333333,57.333333333333336
202,fixed_observation_count,1,300,0.03019084209725743,0.003662968206738608,95.0,97.0,0.12512454208559368,0.01941257931030562,74.66666666666667,84.33333333333334,0.24523862281968117,0.043883049597860276,54.333333333333336,71.33333333333334
202,fixed_observation_count,2,300,0.034623681548028196,0.0037965739775888186,94.0,96.33333333333334,0.15417178040683488,0.022016525669293983,69.66666666666667,83.66666666666667,0.32519022354546334,0.053698671786855966,49.0,68.66666666666667
202,fixed_observation_count,3,300,0.022526695997217863,0.003922495942717266,95.33333333333334,97.33333333333334,0.1527109632052963,0.02331344197905811,71.33333333333334,82.0,0.3210434409715243,0.056735656792168965,46.33333333333333,66.33333333333333
202,fixed_observation_count,5,300,0.03947673367653918,0.004055492084980867,94.0,96.33333333333334,0.14708895724458582,0.028031324650846602,66.66666666666666,79.33333333333333,0.2745640145329393,0.05976048908294111,44.666666666666664,66.33333333333333
202,fixed_observation_count,8,300,0.036586130948454317,0.004663710304577744,88.66666666666667,94.0,0.11802367287450027,0.029829766987742798,64.33333333333333,78.66666666666666,0.22731719972601355,0.060115540760030575,44.333333333333336,67.66666666666666
202,fixed_observation_count,12,300,0.03491495393680925,0.004667454191779383,89.0,92.33333333333333,0.10324973935554048,0.029390548831451292,66.66666666666666,81.0,0.21944426182436055,0.05655225147138629,46.33333333333333,70.0
202,natural_control_end,natural,300,0.04224571090987283,0.004938850930064303,88.0,92.33333333333333,0.12496024366919338,0.03166475045168991,64.66666666666666,79.33333333333333,0.2412791524882653,0.06043666615782815,44.0,67.33333333333333
303,fixed_observation_count,0,300,0.015128886589826026,0.005931531980613346,96.66666666666667,98.66666666666667,0.10187358563053799,0.03162246936254287,67.33333333333333,83.33333333333334,0.2859019859362881,0.06759961023268457,37.666666666666664,60.333333333333336
303,fixed_observation_count,1,300,0.012677900373523909,0.003266043367185885,93.66666666666667,97.66666666666667,0.12417219314996203,0.017394699140742605,73.33333333333333,83.66666666666667,0.26256928042352895,0.03713265507334265,55.666666666666664,70.0
303,fixed_observation_count,2,300,0.029083033242603307,0.0036322340823401822,94.33333333333334,96.0,0.14369321744524627,0.02128477488637487,75.33333333333333,86.33333333333333,0.29956740999634973,0.04826383219692218,52.666666666666664,71.0
303,fixed_observation_count,3,300,0.026118445290588006,0.004247724104970381,93.66666666666667,97.66666666666667,0.15204165058414137,0.025237977619638197,70.0,80.66666666666666,0.2975059912443216,0.05622207743363647,45.666666666666664,66.66666666666666
303,fixed_observation_count,5,300,0.04670112190405039,0.004407678079078148,91.0,93.33333333333333,0.16075870726679048,0.027156341265917393,65.33333333333333,77.66666666666666,0.29086175968391104,0.059168394533300916,44.333333333333336,63.0
303,fixed_observation_count,8,300,0.03486291341915324,0.004805904984443348,92.33333333333333,94.66666666666667,0.11567378046112002,0.02916925639749314,64.66666666666666,77.33333333333333,0.2275112004198965,0.058261018588151775,43.666666666666664,66.66666666666666
303,fixed_observation_count,12,300,0.027647047698905414,0.005085202346614482,91.33333333333333,94.33333333333334,0.1064965721247003,0.029036412077914873,65.33333333333333,82.0,0.21613847522876,0.055028780138501,46.0,70.0
303,natural_control_end,natural,300,0.03084282685439116,0.005283232101324647,90.0,94.0,0.10262555870969715,0.030170119733102796,65.33333333333333,81.66666666666667,0.21230907082672928,0.0558017666594519,46.33333333333333,69.0
404,fixed_observation_count,0,300,0.02376274300356216,0.007063906099907414,94.0,98.33333333333333,0.1491255879620433,0.037258857942529804,60.333333333333336,77.66666666666666,0.3653293258201504,0.08289937097787234,32.0,55.666666666666664
404,fixed_observation_count,1,300,0.016701537696382,0.0033293387735285253,95.0,97.33333333333334,0.1420729839539904,0.01872827357887148,77.33333333333333,86.0,0.30937137334760745,0.042284602439051244,54.666666666666664,73.66666666666667
404,fixed_observation_count,2,300,0.02146974640565897,0.003980209950737406,93.66666666666667,97.66666666666667,0.15216500392406815,0.020858238532005427,73.66666666666667,85.0,0.33761970725484064,0.05262247824929894,47.0,70.33333333333334
404,fixed_observation_count,3,300,0.02893370319995462,0.004041928495065612,94.0,97.66666666666667,0.1544863095943416,0.021770876274177384,71.0,84.66666666666667,0.34360627771174734,0.04999110601893142,50.0,66.66666666666666
404,fixed_observation_count,5,300,0.03412551025910154,0.0038315905507874176,91.66666666666666,95.66666666666667,0.1863709125396962,0.022641299776622242,68.33333333333333,77.33333333333333,0.31486862055726744,0.053629091815147446,47.333333333333336,65.0
404,fixed_observation_count,8,300,0.024817175298889427,0.0035922381282460832,91.0,95.33333333333334,0.1390311214415462,0.02225438116586734,68.66666666666667,77.0,0.25828938629628884,0.04986561858975311,50.0,69.33333333333334
404,fixed_observation_count,12,300,0.02276144142457555,0.004221212378798038,89.33333333333333,95.0,0.12330206704695058,0.022421855188942984,70.33333333333334,80.0,0.25191853986959434,0.04765857361896368,51.33333333333333,71.66666666666667
404,natural_control_end,natural,300,0.03241123351618944,0.0040823474033619585,87.33333333333333,93.33333333333333,0.13305423401755442,0.022205998995852294,69.0,78.66666666666666,0.2587475364080415,0.04793003158273991,52.0,71.66666666666667
555,fixed_observation_count,0,300,0.024588320812703762,0.0065801254272569,91.66666666666666,97.0,0.19548886940645166,0.034500558764336345,60.0,75.66666666666667,0.4744272376278076,0.08336790768234742,36.333333333333336,52.33333333333333
555,fixed_observation_count,1,300,0.026632473457593252,0.0030945546551519243,92.66666666666666,96.66666666666667,0.15385097685276017,0.01632305967359981,72.66666666666667,85.66666666666667,0.29940606178907125,0.03994049869910879,56.00000000000001,70.0
555,fixed_observation_count,2,300,0.03766050949916149,0.0033702091310749025,93.0,96.0,0.17064286464945078,0.0184420594690667,72.33333333333334,82.33333333333334,0.314183547827793,0.04283565622596445,53.333333333333336,70.33333333333334
555,fixed_observation_count,3,300,0.03570570890228972,0.003847987653503814,92.66666666666666,96.33333333333334,0.17012055136072302,0.02201243963198291,71.0,82.33333333333334,0.32800525700109423,0.05190678403964806,48.66666666666667,64.0
555,fixed_observation_count,5,300,0.046745248783952524,0.004312359870849442,92.66666666666666,94.33333333333334,0.18347100045863982,0.02484889297775797,67.0,77.66666666666666,0.2747456045760013,0.05836185677055972,45.666666666666664,61.66666666666667
555,fixed_observation_count,8,300,0.04671476030728461,0.004706140168879859,87.66666666666667,92.0,0.13831688724404737,0.02906895498882158,64.0,77.0,0.24142324775833301,0.05898374766811222,46.0,64.0
555,fixed_observation_count,12,300,0.02814512949899663,0.004961961046945498,87.66666666666667,94.0,0.11629014068118947,0.02699922690041391,65.0,79.0,0.22875407541050616,0.054009326930075346,47.66666666666667,66.0
555,natural_control_end,natural,300,0.03751973380069542,0.0048987643833601265,88.0,92.33333333333333,0.12305311275132072,0.02593430016109622,64.66666666666666,77.66666666666666,0.23633019760924082,0.05268730886568057,49.0,65.33333333333333
