method,benchmark_seed,task_id,repeats,median_wall_ms,median_process_cpu_ms
pf_10000,101,1,1,100.5473,109.375
pf_10000,101,159,1,98.5972,93.75
pf_10000,101,317,1,130.4199,140.625
pf_10000,101,475,1,98.793,109.375
pf_10000,101,632,1,99.5601,93.75
pf_10000,101,790,1,100.6164,109.375
pf_10000,101,948,1,129.9685,125.0
pf_10000,101,1106,1,98.6256,78.125
pf_10000,101,1264,1,132.6347,140.625
pf_10000,101,1422,1,100.3102,93.75
pf_10000,101,1579,1,101.5479,93.75
pf_10000,101,1737,1,100.4179,109.375
pf_10000,101,1895,1,100.8556,93.75
pf_10000,101,2053,1,100.639,93.75
pf_10000,101,2211,1,101.0522,93.75
pf_10000,101,2369,1,97.9815,93.75
pf_10000,101,2526,1,132.301,140.625
pf_10000,101,2684,1,129.6179,125.0
pf_10000,101,2842,1,95.7377,93.75
pf_10000,101,3000,1,128.006,109.375
pf_10000,202,1,1,102.2754,93.75
pf_10000,202,159,1,102.9769,109.375
pf_10000,202,317,1,131.0973,140.625
pf_10000,202,475,1,130.1595,140.625
pf_10000,202,632,1,101.3882,109.375
pf_10000,202,790,1,128.0636,125.0
pf_10000,202,948,1,128.6423,109.375
pf_10000,202,1106,1,98.5182,93.75
pf_10000,202,1264,1,99.722,93.75
pf_10000,202,1422,1,131.3534,125.0
pf_10000,202,1579,1,97.322,93.75
pf_10000,202,1737,1,101.0678,109.375
pf_10000,202,1895,1,100.0582,93.75
pf_10000,202,2053,1,96.6883,93.75
pf_10000,202,2211,1,131.725,125.0
pf_10000,202,2369,1,131.6426,140.625
pf_10000,202,2526,1,129.3888,125.0
pf_10000,202,2684,1,132.26,109.375
pf_10000,202,2842,1,100.6494,93.75
pf_10000,202,3000,1,98.4309,93.75
pf_10000,303,1,1,96.7927,93.75
pf_10000,303,159,1,98.7174,93.75
pf_10000,303,317,1,100.2946,93.75
pf_10000,303,475,1,96.3009,109.375
pf_10000,303,632,1,101.7566,93.75
pf_10000,303,790,1,101.0751,78.125
pf_10000,303,948,1,123.9978,125.0
pf_10000,303,1106,1,102.1715,109.375
pf_10000,303,1264,1,96.7795,93.75
pf_10000,303,1422,1,125.4679,125.0
pf_10000,303,1579,1,100.1404,93.75
pf_10000,303,1737,1,101.7696,93.75
pf_10000,303,1895,1,99.8033,109.375
pf_10000,303,2053,1,98.5885,78.125
pf_10000,303,2211,1,101.29,109.375
pf_10000,303,2369,1,99.1503,109.375
pf_10000,303,2526,1,126.6898,125.0
pf_10000,303,2684,1,101.829,109.375
pf_10000,303,2842,1,102.9135,93.75
pf_10000,303,3000,1,123.7269,125.0
pf_10000,404,1,1,127.7347,125.0
pf_10000,404,159,1,129.2902,109.375
pf_10000,404,317,1,99.6095,93.75
pf_10000,404,475,1,99.1988,109.375
pf_10000,404,632,1,101.737,78.125
pf_10000,404,790,1,127.3968,109.375
pf_10000,404,948,1,96.9602,93.75
pf_10000,404,1106,1,99.4746,109.375
pf_10000,404,1264,1,97.4192,93.75
pf_10000,404,1422,1,99.9053,109.375
pf_10000,404,1579,1,96.8361,109.375
pf_10000,404,1737,1,98.1346,93.75
pf_10000,404,1895,1,131.4635,109.375
pf_10000,404,2053,1,132.3831,125.0
pf_10000,404,2211,1,123.6433,125.0
pf_10000,404,2369,1,103.3051,78.125
pf_10000,404,2526,1,100.0385,93.75
pf_10000,404,2684,1,99.3297,93.75
pf_10000,404,2842,1,130.9987,109.375
pf_10000,404,3000,1,101.9016,109.375
pf_10000,555,1,1,127.9584,125.0
pf_10000,555,159,1,128.3769,125.0
pf_10000,555,317,1,131.4054,109.375
pf_10000,555,475,1,102.275,109.375
pf_10000,555,632,1,100.714,93.75
pf_10000,555,790,1,96.9884,109.375
pf_10000,555,948,1,102.2826,109.375
pf_10000,555,1106,1,124.7028,125.0
pf_10000,555,1264,1,100.8208,78.125
pf_10000,555,1422,1,97.1465,93.75
pf_10000,555,1579,1,101.6547,109.375
pf_10000,555,1737,1,99.6045,109.375
pf_10000,555,1895,1,96.6291,93.75
pf_10000,555,2053,1,101.8383,109.375
pf_10000,555,2211,1,101.944,109.375
pf_10000,555,2369,1,102.224,109.375
pf_10000,555,2526,1,103.2785,62.5
pf_10000,555,2684,1,101.0925,78.125
pf_10000,555,2842,1,101.5129,93.75
pf_10000,555,3000,1,131.5833,109.375
