training_seed,benchmark_sets,evaluations,success_rate_percent_mean,success_rate_percent_sd,strict_success_rate_percent_mean,strict_success_rate_percent_sd,severe_failure_rate_percent_mean,severe_failure_rate_percent_sd,false_stop_rate_percent_mean,false_stop_rate_percent_sd,steps_mean_mean,steps_mean_sd,successful_steps_mean_mean,successful_steps_mean_sd,overshoots_mean_mean,overshoots_mean_sd,total_volume_mean_ml_mean,total_volume_mean_ml_sd,final_abs_error_mean_mean,final_abs_error_mean_sd,cap_activation_rate_percent_mean,cap_activation_rate_percent_sd
101,5,15000,91.68,0.4093355048802334,39.39333333333333,0.5663724726518574,1.9666666666666668,0.3711842908553348,2.28,0.11925695879998872,9.634466666666667,0.316188112082384,6.770233622922572,0.18999029839856704,2.8478000000000003,0.20311266714696935,7.362564000000001,0.0969895453816204,0.08497751829906401,0.003681741214257755,54.126666666666665,0.9426322483108478
202,5,15000,90.46,0.6435146549311139,42.00666666666667,1.2826621621542507,2.6399999999999997,0.25538641745837265,1.7466666666666668,0.2734552573599157,9.491066666666665,0.3166881045375014,5.942062161750044,0.08046101007473563,2.8880000000000003,0.19353064643903597,7.299844,0.10514416807412591,0.09548193824850554,0.004668393521237763,58.839999999999996,0.8763560920082666
303,5,15000,93.94666666666667,0.6291970191354129,45.28666666666667,1.0905146593339432,1.7933333333333334,0.30858098162754977,1.42,0.09006170724070858,7.325066666666666,0.2918279934786548,5.196878903640021,0.09855909882133843,3.0491333333333333,0.2052695517822575,7.523136666666666,0.1107881824072902,0.07850947507271246,0.00454954340718307,64.60666666666665,1.4238835782620878
404,5,15000,92.58666666666666,0.5737788966337352,42.30666666666666,1.081254415533694,1.9,0.2549509756796393,2.1666666666666665,0.3704351795148811,8.748133333333334,0.2962847354226077,6.251493372177256,0.1183450861711285,2.954133333333333,0.18234865870999253,7.446468,0.08911046099582713,0.0831338616108025,0.004144265460541044,57.986666666666665,1.247352752387587
555,5,15000,90.29333333333334,0.4329485471097531,34.42666666666666,1.1417335746817454,2.16,0.31304951684997046,2.7466666666666666,0.38987177379235843,11.1712,0.17439332938313162,7.995774316080589,0.0793915116792397,2.9049333333333336,0.21720118681893882,7.428692000000001,0.10719772428658303,0.09251577492563295,0.0025197992471558597,49.63333333333334,0.4422166387140535
