benchmark_seed,method,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,steps_mean,successful_steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean,cap_activation_rate_percent,training_seed
101,ppo,3000,91.46666666666667,39.36666666666667,2.433333333333333,2.4,9.748666666666667,6.795918367346939,3.073,7.463183333333334,0.09121103697639599,55.00000000000001,101
202,ppo,3000,91.2,38.800000000000004,1.9,2.3,9.884333333333334,6.845760233918129,3.0353333333333334,7.275723333333333,0.08462297644958965,55.233333333333334,101
303,ppo,3000,92.0,39.43333333333333,1.4333333333333333,2.1,9.420666666666667,6.6405797101449275,2.594,7.279363333333333,0.08186152120099024,53.166666666666664,101
404,ppo,3000,91.53333333333333,39.06666666666666,2.166666666666667,2.2333333333333334,9.925,7.030225782957029,2.736,7.32437,0.08452121815595325,53.36666666666666,101
555,ppo,3000,92.2,40.300000000000004,1.9,2.3666666666666667,9.193666666666667,6.538684020245842,2.800666666666667,7.47018,0.08267083871239092,53.86666666666666,101
101,ppo,3000,90.03333333333333,43.46666666666666,3.0666666666666664,1.4000000000000001,9.852666666666666,6.002591632728619,3.127666666666667,7.361933333333333,0.10296368283369813,59.36666666666667,202
202,ppo,3000,89.73333333333333,42.43333333333334,2.6,2.033333333333333,9.722333333333333,5.9669390787518575,3.0603333333333333,7.2138599999999995,0.09462865036831178,60.0,202
303,ppo,3000,91.16666666666666,42.3,2.4,1.5333333333333332,9.195666666666666,5.811700182815357,2.6903333333333332,7.21596,0.09091374694335419,57.766666666666666,202
404,ppo,3000,90.26666666666667,39.96666666666667,2.6333333333333333,1.9666666666666666,9.549,6.007016248153619,2.763,7.253413333333333,0.09638574860263353,58.766666666666666,202
555,ppo,3000,91.10000000000001,41.86666666666667,2.5,1.7999999999999998,9.135666666666667,5.922063666300768,2.7986666666666666,7.454053333333333,0.09251786249453005,58.3,202
101,ppo,3000,92.93333333333334,44.166666666666664,2.3,1.3666666666666667,7.835666666666667,5.254662840746055,3.308666666666667,7.626743333333333,0.0847437554929965,64.8,303
202,ppo,3000,93.73333333333333,46.6,1.7666666666666668,1.4333333333333333,7.256,5.027382645803699,3.1976666666666667,7.3905199999999995,0.08186417848741318,66.93333333333334,303
303,ppo,3000,94.33333333333334,44.166666666666664,1.4666666666666666,1.5666666666666667,7.158333333333333,5.217314487632509,2.79,7.451396666666668,0.0746750604317204,63.16666666666667,303
404,ppo,3000,94.3,45.53333333333333,1.7666666666666668,1.3333333333333335,7.257,5.275715800636267,2.953666666666667,7.500873333333333,0.07479170711694245,64.1,303
555,ppo,3000,94.43333333333334,45.96666666666667,1.6666666666666667,1.4000000000000001,7.118333333333333,5.209318743381575,2.9956666666666667,7.646149999999999,0.07647267383448973,64.03333333333333,303
101,ppo,3000,91.8,42.16666666666667,2.3333333333333335,2.6,9.037,6.331880900508351,3.1683333333333334,7.5173,0.0888075519659847,57.8,404
202,ppo,3000,92.16666666666666,43.233333333333334,1.8333333333333333,1.9666666666666666,9.057,6.362748643761302,3.1306666666666665,7.34507,0.08267059050501373,59.86666666666667,404
303,ppo,3000,92.96666666666667,43.3,1.7000000000000002,2.433333333333333,8.409666666666666,6.136608103262819,2.771333333333333,7.3927266666666664,0.07725117405668365,58.06666666666666,404
404,ppo,3000,93.13333333333334,40.63333333333333,1.9,1.6666666666666667,8.728333333333333,6.315676449534717,2.828666666666667,7.417833333333333,0.08261490007564432,56.36666666666667,404
555,ppo,3000,92.86666666666666,42.199999999999996,1.7333333333333332,2.166666666666667,8.508666666666667,6.110552763819095,2.8716666666666666,7.559409999999999,0.0843250914506861,57.833333333333336,404
101,ppo,3000,90.33333333333333,34.266666666666666,2.5,2.5,11.270666666666667,8.01660516605166,3.163666666666667,7.522276666666667,0.09596544246301075,49.93333333333334,555
202,ppo,3000,89.8,34.93333333333333,2.1,2.9000000000000004,11.313666666666666,7.994432071269488,3.0986666666666665,7.299493333333333,0.0924159685995847,50.06666666666667,555
303,ppo,3000,90.06666666666666,34.66666666666667,1.7000000000000002,3.3666666666666663,10.924,7.861213915618061,2.6536666666666666,7.384833333333333,0.08887084742070797,48.93333333333334,555
404,ppo,3000,90.3,32.6,2.1,2.5,11.297,8.048357327427095,2.7836666666666665,7.380583333333333,0.09238192133878394,49.53333333333333,555
555,ppo,3000,90.96666666666667,35.66666666666667,2.4,2.466666666666667,11.050666666666666,8.058263100036644,2.825,7.556273333333333,0.09294469480607741,49.7,555
