seed,variant,tasks,success_rate_percent,successful_steps_mean,overshoot_rate_percent,final_abs_error_mean
101,full,300,98.33333333333333,8.508474576271187,42.028985507246375,0.059166666666666645
101,no_ph_rate_bonus,300,98.33333333333333,9.00677966101695,37.702098383212935,0.06306666666666662
101,no_uncertainty_factor,300,98.33333333333333,8.454237288135593,42.60204081632653,0.05936666666666667
101,no_buffering_factor,300,98.33333333333333,8.477966101694916,42.23918575063613,0.062466666666666636
101,no_required_volume_term,300,98.33333333333333,8.545762711864407,40.129916997473835,0.060733333333333306
101,no_tanh_linear_clip,300,98.33333333333333,8.359322033898305,44.329896907216494,0.05719999999999995
202,full,300,98.0,9.051020408163266,43.262411347517734,0.05883333333333331
202,no_ph_rate_bonus,300,97.33333333333333,9.780821917808218,40.72481572481573,0.06126666666666664
202,no_uncertainty_factor,300,98.0,8.928571428571429,43.8974358974359,0.05976666666666666
202,no_buffering_factor,300,98.33333333333333,8.932203389830509,43.327556325823224,0.06099999999999999
202,no_required_volume_term,300,98.0,9.255102040816327,41.31082423038729,0.05859999999999997
202,no_tanh_linear_clip,300,97.66666666666667,8.733788395904437,46.098315572361635,0.057566666666666655
303,full,300,99.33333333333333,8.788590604026846,42.88341301949246,0.05406666666666667
303,no_ph_rate_bonus,300,99.33333333333333,9.5,38.65574889116343,0.056933333333333294
303,no_uncertainty_factor,300,99.33333333333333,8.768456375838927,43.38370807224475,0.05419999999999992
303,no_buffering_factor,300,99.33333333333333,8.85234899328859,44.046749452154856,0.055599999999999955
303,no_required_volume_term,300,99.33333333333333,8.845637583892618,40.49707602339181,0.05710000000000002
303,no_tanh_linear_clip,300,99.33333333333333,8.738255033557047,42.89940828402367,0.057533333333333304
404,full,300,97.0,7.903780068728523,43.74545454545454,0.06413333333333328
404,no_ph_rate_bonus,300,97.33333333333333,8.599315068493151,39.677086911714184,0.06539999999999993
404,no_uncertainty_factor,300,97.0,7.831615120274914,45.1080982044705,0.0662
404,no_buffering_factor,300,97.0,7.70446735395189,44.687964338781576,0.06439999999999999
404,no_required_volume_term,300,97.0,8.0,41.50467962562995,0.0661666666666666
404,no_tanh_linear_clip,300,97.33333333333333,7.780821917808219,44.23652694610779,0.06666666666666662
555,full,300,97.66666666666667,8.839590443686006,42.755102040816325,0.06256666666666662
555,no_ph_rate_bonus,300,97.33333333333333,9.523972602739725,40.144608613643506,0.07089999999999994
555,no_uncertainty_factor,300,97.33333333333333,8.756849315068493,44.03111261413595,0.06293333333333337
555,no_buffering_factor,300,97.33333333333333,8.61986301369863,44.77202605416524,0.06600000000000002
555,no_required_volume_term,300,97.66666666666667,8.979522184300341,40.75813485407581,0.06346666666666663
555,no_tanh_linear_clip,300,97.33333333333333,8.503424657534246,45.26534859521332,0.06766666666666664
