seed,algorithm,reward_variant,environment_steps,success_rate_percent,successful_steps_mean,overshoot_rate_percent,final_abs_error_mean
101,reinforce,full,0,94.6,8.869978858350951,41.11166253101737,0.06791447445501005
101,reinforce,full,5001,93.9,8.847710330138446,40.13404297260004,0.07160364222793941
101,reinforce,full,10006,94.5,8.936507936507937,40.910452231206946,0.06390311460419935
101,reinforce,full,15002,94.3,8.773064687168612,41.89831193773375,0.06461410195464617
101,reinforce,full,20000,94.8,8.70042194092827,41.86996019189548,0.062025570890186066
101,reinforce,full,25012,94.5,8.673015873015872,41.83357423084865,0.06299628988248047
101,reinforce,step_penalty_minus_0p005,0,94.6,8.869978858350951,41.11166253101737,0.06791447445501005
101,reinforce,step_penalty_minus_0p005,5005,94.1,8.701381509032943,39.369350862777324,0.06604334908999124
101,reinforce,step_penalty_minus_0p005,10015,94.0,8.773404255319148,38.51590106007067,0.06779832401074251
101,reinforce,step_penalty_minus_0p005,15001,94.6,8.681818181818182,38.14875357580711,0.06322105475430173
101,reinforce,step_penalty_minus_0p005,20016,94.7,8.37064413938754,37.107051826677996,0.0636687379372613
101,reinforce,step_penalty_minus_0p005,25017,94.2,8.237791932059448,37.54841411075055,0.07462405731451406
101,reinforce,no_dense,0,94.6,8.869978858350951,41.11166253101737,0.06791447445501005
101,reinforce,no_dense,5007,92.7,8.817691477885653,36.90687143138413,0.07442217165732157
101,reinforce,no_dense,10008,92.8,8.797413793103448,36.977523659305994,0.07347726596822278
101,reinforce,no_dense,15001,91.4,8.939824945295404,32.194056773948546,0.08295138450760407
101,reinforce,no_dense,20000,90.6,9.187637969094922,29.46650695660186,0.08905463057672852
101,reinforce,no_dense,25006,93.2,9.003218884120171,32.84574468085106,0.08276019805676595
101,reinforce,no_overshoot,0,94.6,8.869978858350951,41.11166253101737,0.06791447445501005
101,reinforce,no_overshoot,5003,94.5,9.385185185185184,38.062935745242136,0.06976991361314808
101,reinforce,no_overshoot,10001,89.7,10.770345596432552,27.09337684491582,0.15720759289674663
101,reinforce,no_overshoot,15004,82.2,10.78345498783455,17.205002074319918,0.35223162148744813
101,reinforce,no_overshoot,20035,80.5,11.366459627329192,15.241594910327429,0.4983310158017916
101,reinforce,no_overshoot,25033,69.8,10.87679083094556,9.54832355969381,0.7529853489499232
101,reinforce,no_volume_shaping,0,94.6,8.869978858350951,41.11166253101737,0.06791447445501005
101,reinforce,no_volume_shaping,5001,88.8,9.847972972972974,26.02121417287294,0.29275978954867604
101,reinforce,no_volume_shaping,10000,90.4,9.554203539823009,30.890522875816995,0.20057849396462188
101,reinforce,no_volume_shaping,15010,84.5,8.885207100591716,23.913495529216053,0.42883707553426903
101,reinforce,no_volume_shaping,20002,83.2,9.016826923076923,20.29101056408212,0.4913215780171801
101,reinforce,no_volume_shaping,25003,86.5,11.945664739884393,20.248645987198426,0.22623854292063203
101,reinforce,no_terminal,0,94.6,8.869978858350951,41.11166253101737,0.06791447445501005
101,reinforce,no_terminal,5013,86.4,9.996527777777779,23.811790303936903,0.24505747373737524
101,reinforce,no_terminal,10000,78.2,9.301790281329923,17.271829431243827,0.4428474279199951
101,reinforce,no_terminal,15002,76.4,10.571989528795811,15.567043274355148,0.4272101777565102
101,reinforce,no_terminal,20005,74.2,11.45687331536388,12.809393880335218,0.529255631416389
101,reinforce,no_terminal,25025,80.9,13.098887515451175,15.002858182196123,0.3430499370998467
101,reinforce,simple_progress,0,94.6,8.869978858350951,41.11166253101737,0.06791447445501005
