variant,seeds,success_rate_percent_mean,success_rate_percent_seed_sd,successful_steps_mean_mean,successful_steps_mean_seed_sd,overshoot_rate_percent_mean,overshoot_rate_percent_seed_sd,final_abs_error_mean_mean,final_abs_error_mean_seed_sd
full,5,98.06666666666666,0.8628119403696496,8.618291220175164,0.4437949012279052,42.935073292105486,0.6363806815162973,0.059753333333333304,0.0038931991986025853
no_ph_rate_bonus,5,97.93333333333332,0.8944271909999159,9.282177850011609,0.47347197348571446,39.38087170490995,1.2063691395880625,0.06351333333333328,0.005163956278324237
no_uncertainty_factor,5,97.99999999999999,0.9128709291752756,8.54794590557787,0.43561806370413875,43.80447912092272,0.9195559484475957,0.06049333333333333,0.004469986328589613
no_buffering_factor,5,98.06666666666666,0.9249624617007726,8.517369770492905,0.48917426963029453,43.8146963843122,1.0550432262223017,0.06189333333333332,0.003996276044297037
no_required_volume_term,5,98.06666666666666,0.8628119403696496,8.725204904174738,0.47908609303435684,40.840126346191745,0.5683289116253644,0.06121333333333331,0.0036603430318907135
no_tanh_linear_clip,5,97.99999999999999,0.8498365855987966,8.42312240774045,0.39334806038910897,44.56589926098458,1.2019676089241114,0.06132666666666663,0.005344800172961461
