algorithm,initialization,training_seeds,untrained_success_rate_percent_mean,untrained_success_rate_percent_sd,final_success_rate_percent_mean,final_success_rate_percent_sd,training_change_percentage_points_mean,training_change_percentage_points_sd,seeds_improved,seeds_unchanged,seeds_degraded
a2c,imitation,5,88.2,0.15811388300842122,85.72,2.987808561471094,-2.479999999999998,2.9252350332921875,0,0,5
a2c,random,5,31.380000000000003,13.177898163212523,53.0,6.909413868049879,21.62,17.57034433356387,4,0,1
ppo,imitation,5,88.2,0.15811388300842122,88.12,0.46583258795408744,-0.0799999999999983,0.34205262752974297,1,2,2
ppo,random,5,31.380000000000003,13.177898163212523,43.0,13.772980795746435,11.620000000000001,18.855423622926114,4,0,1
reinforce,imitation,5,88.2,0.15811388300842122,72.38,10.456672510889877,-15.820000000000004,10.539307377622123,0,0,5
reinforce,random,5,31.380000000000003,13.177898163212523,40.56,13.993319834835477,9.179999999999996,13.25884610363964,3,0,2
