algorithm,initialization,training_seeds,success_rate_percent_mean,success_rate_percent_sd,strict_success_rate_percent_mean,strict_success_rate_percent_sd,severe_failure_rate_percent_mean,severe_failure_rate_percent_sd,false_stop_rate_percent_mean,false_stop_rate_percent_sd,successful_steps_mean_mean,successful_steps_mean_sd,steps_mean_mean,steps_mean_sd,overshoots_mean_mean,overshoots_mean_sd,total_volume_mean_ml_mean,total_volume_mean_ml_sd,final_abs_error_mean_mean,final_abs_error_mean_sd
a2c,imitation,5,85.72,2.987808561471094,33.14,2.674509300787717,8.86,3.0599019592137253,0.0,0.0,7.916594468314368,0.7552370837894773,13.909799999999999,1.8372059492609965,6.4846,0.2858186487967502,19.160818,1.1749497315715267,0.20037742013278667,0.07943208595786025
a2c,random,5,53.0,6.909413868049879,21.84,6.6908893280340545,34.720000000000006,5.397869950267423,0.0,0.0,17.834975529025005,4.231355132993124,33.001799999999996,2.9791152545680415,13.018600000000001,5.1850574538764755,28.042600000000004,9.846367897846905,0.8517683466937171,0.16234462696124702
ppo,imitation,5,88.12,0.46583258795408744,35.480000000000004,2.4873680869545622,6.4,0.5477225575051662,0.0,0.0,7.588799544146693,0.11526260068947498,12.6272,0.23227074718956753,7.0428,0.0782317071269698,19.779074,0.3520728497484585,0.12881659582229185,0.006633132452424502
ppo,random,5,43.0,13.772980795746435,17.080000000000002,9.176709649978037,44.379999999999995,18.159900880786765,0.0,0.0,16.244066772991175,6.102201631384637,35.365,5.265140928788137,12.149,10.01278754892962,38.14627,31.956763603892217,1.1471197402142805,0.5951991887330833
reinforce,imitation,5,72.38,10.456672510889877,26.74,4.483079298874826,22.72,10.798009075750954,0.0,0.0,8.686949691828108,1.6010407654925898,20.023,4.949690495374433,4.5456,1.6244812402733373,16.055218000000004,2.249063878854934,0.6631522353812558,0.44369398680397226
reinforce,random,5,40.56,13.993319834835477,17.12,9.42427716061025,48.339999999999996,15.076902864978598,0.0,0.0,17.540684366674846,4.389458440747021,36.899,4.929005376341152,12.7652,5.7814847314509095,52.269676000000004,63.2054636229407,1.3410045350738928,0.5373194097347446
