"spectrum_number","wavelength_nm","absorbance"
"4","767.982666","0.091243707"
"5","767.982666","0.090579808"
"6","767.982666","0.083915427"
"7","767.982666","0.06430608"
"8","767.982666","0.060432456"
"9","767.982666","0.03923565149"
"10","767.982666","0.034553792"
"11","767.982666","0.02050229"
"1","766.9984741","0.094700731"
"2","766.9984741","0.093982935"
"3","766.9984741","0.091096438"
"4","766.9984741","0.089824885"
"5","766.9984741","0.089341566"
"6","766.9984741","0.082307808"
"7","766.9984741","0.062249973"
"8","766.9984741","0.057128128"
"9","766.9984741","0.04115244001"
"10","766.9984741","0.033321116"
"11","766.9984741","0.017408043"
"1","766.013916","0.0935212"
"2","766.013916","0.092663117"
"3","766.013916","0.087042809"
"4","766.013916","0.089277148"
"5","766.013916","0.088746227"
"6","766.013916","0.081754118"
"7","766.013916","0.061650161"
"8","766.013916","0.055432796"
"9","766.013916","0.04111925885"
"10","766.013916","0.030815244"
"11","766.013916","0.018403711"
"1","764.9937744","0.093749017"
"2","764.9937744","0.094298862"
"3","764.9937744","0.088280097"
"4","764.9937744","0.089136608"
"5","764.9937744","0.088189416"
"6","764.9937744","0.081555523"
"7","764.9937744","0.06199554"
"8","764.9937744","0.056665331"
"9","764.9937744","0.04200713336"
"10","764.9937744","0.031567458"
"11","764.9937744","0.017041536"
"1","764.0084839","0.092619702"
"2","764.0084839","0.09291812"
"3","764.0084839","0.088094823"
"4","764.0084839","0.090515271"
"5","764.0084839","0.088085786"
"6","764.0084839","0.0813834"
"7","764.0084839","0.063147195"
"8","764.0084839","0.056852125"
"9","764.0084839","0.04170623422"
"10","764.0084839","0.031084495"
"11","764.0084839","0.018305391"
"1","762.9876709","0.091744594"
"2","762.9876709","0.09054786"
"3","762.9876709","0.088805296"
"4","762.9876709","0.089706734"
"5","762.9876709","0.088070184"
"6","762.9876709","0.081365794"
"7","762.9876709","0.062222939"
"8","762.9876709","0.055545423"
"9","762.9876709","0.04099412635"
"10","762.9876709","0.029995089"
"11","762.9876709","0.016915882"
"1","762.0016479","0.091592774"
"2","762.0016479","0.094245791"
"3","762.0016479","0.088081665"
"4","762.0016479","0.08949247"
"5","762.0016479","0.087469369"
"6","762.0016479","0.081613027"
"7","762.0016479","0.061534807"
"8","762.0016479","0.0575222"
"9","762.0016479","0.03980723023"
"10","762.0016479","0.031701628"
"11","762.0016479","0.017080171"
"1","761.0152588","0.093136705"
"2","761.0152588","0.091871746"
"3","761.0152588","0.088039145"
"4","761.0152588","0.091425121"
"5","761.0152588","0.088375807"
"6","761.0152588","0.083198167"
"7","761.0152588","0.064323343"
