environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean,actor_loss,critic_loss,entropy,post_final_batch
0,500,88.4,29.799999999999997,3.2,2.6,8.081447963800905,12.176,3.568,8.04256,0.11482017455474004,,,,
10008,500,88.8,34.599999999999994,3.5999999999999996,3.0,8.434684684684685,12.028,3.814,8.47524,0.12982964232419894,-0.048005291933400765,4.396831985976961,4.6037855876816645,
20000,500,82.39999999999999,31.4,9.8,4.3999999999999995,7.077669902912621,10.144,2.6,11.61184,0.32354232998182736,-0.04535894551210933,4.59362577398618,4.608567032549116,
30004,500,85.39999999999999,32.0,8.0,3.0,6.540983606557377,9.472,3.23,11.217740000000001,0.24015754892483096,-0.0473959558585193,4.853695243597031,4.54289910197258,
40009,500,85.8,29.799999999999997,7.000000000000001,3.8,8.393939393939394,11.678,2.878,9.84184,0.22452134475053134,-0.03504961829942962,5.23337377442254,4.26834315723843,
50004,500,85.8,31.8,7.3999999999999995,3.5999999999999996,7.1491841491841495,11.094,3.572,9.24616,0.18314104453336644,-0.04138732642038829,3.6056002891725965,4.084185540676117,
60000,500,90.8,36.0,3.2,0.8,6.226872246696035,9.802,3.632,8.4078,0.12527001370236496,-0.034997028385987505,3.1791949793696404,3.9958577752113342,
70006,500,87.6,34.599999999999994,3.2,2.0,6.1506849315068495,10.67,2.728,8.21494,0.12688777556536684,-0.030471090641286638,3.3707418541113534,4.084446185164982,
80000,500,88.0,37.6,3.4000000000000004,1.6,6.1863636363636365,10.802,3.032,7.9445,0.13549137342085016,-0.026431215707109205,3.3299477613634534,3.8564351002375283,
90004,500,86.0,39.0,3.0,3.5999999999999996,6.534883720930233,11.406,3.032,8.0613,0.12149095157110437,-0.07091898530618185,2.9503696229722767,3.7838120659192405,
100008,500,90.2,44.0,4.0,1.4000000000000001,5.694013303769402,9.404,3.616,8.532739999999999,0.13302956772337166,-0.030845337454229592,2.0476616621017456,4.029126369953156,1
