experiment,acid_type,true_buffer_count,step,current_pH,target_pH_x,abs_pH_error,posterior_mean_std,posterior_max_std,matched_pka_mae,matched_pka_rmse,matched_pka_max_abs_error,matched_within_0p5_frac,matched_within_1p0_frac,all_true_pkas_within_0p5,all_true_pkas_within_1p0,effective_pka_mae,unused_slot_mole_fraction,success_if_stop_now,previous_prediction_abs_error,posterior_pkas,posterior_stds,posterior_moles,effective_pkas,true_pkas,matched_slot_indices,unused_slot_indices,stage,steps_taken,success,final_pH,target_pH_y,final_abs_pH_error,final_matched_pka_mae,final_posterior_mean_std,final_unused_slot_mole_fraction
2918,diprotic,2,0,2.3,9.31,7.010000000000001,0.20000000000000004,0.2,0.3996684505495116,0.4240178494396116,0.5412885984054778,0.5,1.0,0.0,1.0,0.3996684505495116,0.17369214350487305,0.0,,"[4.7773, 5.0964, 2.4065]","[0.2000, 0.2000, 0.2000]","[0.3601, 0.1530, 0.3677]","[4.7773, 5.0964, 2.4065]","[2.6646, 4.2360]","[0, 2]",[1],initial,12,True,9.36,9.31,0.049999999999998934,0.41615595804345973,0.2216393350114723,0.1725737456094593
2918,diprotic,2,8,10.14,9.31,0.8300000000000001,0.21161095407763542,0.24224941813874432,0.40757749776266383,0.4372133833834157,0.5658055797427579,0.5,1.0,0.0,1.0,0.40084713128818783,0.17223316233102984,0.0,5.92410638566129,"[4.8018, 5.0891, 2.4152]","[0.2422, 0.1833, 0.2093]","[0.3603, 0.1517, 0.3689]","[4.7811, 5.0952, 2.4079]","[2.6646, 4.2360]","[0, 2]",[1],up_to_8_steps,12,True,9.36,9.31,0.049999999999998934,0.41615595804345973,0.2216393350114723,0.1725737456094593
2919,diprotic,2,16,9.82,9.72,0.09999999999999964,0.2076340978805938,0.22629604799508551,0.43751765316180014,0.5154585248608142,0.7100535113960467,0.5,1.0,0.0,1.0,0.4347790041640698,0.5151613674753037,1.0,5.837489816993475,"[3.4153, 2.5178, 5.2691]","[0.1747, 0.2219, 0.2263]","[0.0076, 0.2512, 0.2288]","[3.3702, 2.5170, 5.2185]","[3.5803, 4.5591]","[0, 2]",[1],final,16,True,9.82,9.72,0.09999999999999964,0.43751765316180014,0.2076340978805938,0.5151613674753037
2919,diprotic,2,0,2.03,9.72,7.690000000000001,0.20000000000000004,0.2,0.43459235491577397,0.48508635547477885,0.6500877314707374,0.5,1.0,0.0,1.0,0.43459235491577397,0.5198649890644838,0.0,,"[3.3612, 2.5169, 5.2092]","[0.2000, 0.2000, 0.2000]","[0.0081, 0.2526, 0.2251]","[3.3612, 2.5169, 5.2092]","[3.5803, 4.5591]","[0, 2]",[1],initial,16,True,9.82,9.72,0.09999999999999964,0.43751765316180014,0.2076340978805938,0.5151613674753037
2919,diprotic,2,8,7.12,9.72,2.6000000000000005,0.1997780546048298,0.22079633591271672,0.451127346139937,0.5119657909439245,0.6931874392192707,0.5,1.0,0.0,1.0,0.4372140622026479,0.5175895736400505,0.0,3.1591156040132047,"[3.3712, 2.5048, 5.2523]","[0.1762, 0.2208, 0.2023]","[0.0085, 0.2528, 0.2271]","[3.3629, 2.5150, 5.2161]","[3.5803, 4.5591]","[0, 2]",[1],up_to_8_steps,16,True,9.82,9.72,0.09999999999999964,0.43751765316180014,0.2076340978805938,0.5151613674753037
2920,triprotic,3,3,2.89,2.8,0.0900000000000003,0.2109048203636039,0.2303700568935166,0.6954958934880775,0.8879740598824831,1.4665606190479057,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6930322013772355,0.0,1.0,0.37787996824830783,"[2.6928, 4.3957, 4.7247]","[0.2085, 0.1938, 0.2304]","[0.0797, 0.3755, 0.4310]","[2.6782, 4.4011, 4.7413]","[3.1090, 4.5995, 6.1912]","[0, 1, 2]",[],final,3,True,2.89,2.8,0.0900000000000003,0.6954958934880775,0.2109048203636039,0.0
2920,triprotic,3,0,1.57,2.8,1.2299999999999998,0.20000000000000004,0.2,0.6925922127029264,0.8794464612762013,1.4468419022154144,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6925922127029264,0.0,0.0,,"[2.6754, 4.4021, 4.7444]","[0.2000, 0.2000, 0.2000]","[0.0790, 0.3760, 0.4309]","[2.6754, 4.4021, 4.7444]","[3.1090, 4.5995, 6.1912]","[0, 1, 2]",[],initial,3,True,2.89,2.8,0.0900000000000003,0.6954958934880775,0.2109048203636039,0.0
2920,triprotic,3,3,2.89,2.8,0.0900000000000003,0.2109048203636039,0.2303700568935166,0.6954958934880775,0.8879740598824831,1.4665606190479057,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6930322013772355,0.0,1.0,0.37787996824830783,"[2.6928, 4.3957, 4.7247]","[0.2085, 0.1938, 0.2304]","[0.0797, 0.3755, 0.4310]","[2.6782, 4.4011, 4.7413]","[3.1090, 4.5995, 6.1912]","[0, 1, 2]",[],up_to_8_steps,3,True,2.89,2.8,0.0900000000000003,0.6954958934880775,0.2109048203636039,0.0
2921,diprotic,2,1,3.39,3.3,0.0900000000000003,0.19767343389433986,0.201971414786624,2.0795555271947817,2.3742170946088264,3.2251364373213476,0.0,0.5,0.0,0.0,2.0737112922689627,0.01769488660437115,1.0,1.3322503346577288,"[2.4239, 3.7117, 3.0237]","[0.2020, 0.1935, 0.1976]","[0.0156, 0.3990, 0.4663]","[2.4215, 3.7281, 3.0190]","[3.9576, 6.9369]","[1, 2]",[0],final,1,True,3.39,3.3,0.0900000000000003,2.0795555271947817,0.19767343389433986,0.01769488660437115
2921,diprotic,2,0,2.49,3.3,0.8099999999999996,0.20000000000000004,0.2,2.0725806842738557,2.3620782923482744,3.2056398911813573,0.0,0.5,0.0,0.0,2.0725806842738557,0.017882362084121733,0.0,,"[2.4211, 3.7312, 3.0181]","[0.2000, 0.2000, 0.2000]","[0.0158, 0.3990, 0.4664]","[2.4211, 3.7312, 3.0181]","[3.9576, 6.9369]","[1, 2]",[0],initial,1,True,3.39,3.3,0.0900000000000003,2.0795555271947817,0.19767343389433986,0.01769488660437115
